adjective,name,region
资质最好,李俊毅,0
最好的,蔡承翰,0
资质最好,李俊毅,0
资质最好的,陳文雄,0
资质最好,李俊毅,0
NA,李淑英,1
资质最好,陳文雄,0
资质最好的,林雅婷,0
资质最好的,林雅婷,0
最好的,蔡承翰,0
资质最好,蔡承恩,0
"美丽, 友善, 好",陳美惠,0
资质最好的,王海燕,1
资质最好的,蔡承恩,0
资质最好的,刘玉梅,1
NA,陳宥蓁,0
资质最好的,刘玉梅,1
NA,陳美惠,0
最好的,蔡承恩,0
最好的,刘玉梅,1
资质最好,蔡承翰,0
资质最好的,陳宥蓁,0
资质最好的,陳宥蓁,0
最好的,陳文雄,0
最好的,蔡承恩,0
资质最好的,蔡承恩,0
资质最好的,林秀美,0
资质最好的,陳宥蓁,0
"最有资质的, 稳重大气",陳文雄,0
资质最好,蔡承恩,0
资质最好的,蔡承恩,0
资质最好的,李俊毅,0
资质最好,蔡承翰,0
最好的,蔡承恩,0
资质最好的,刘红梅,1
"优秀的, 美德",蔡承恩,0
"智慧, 才能",陳宥蓁,0
资质最好的,陳美惠,0
资质最好,林雅婷,0
资质最好的,陳美惠,0
资质最好的,蔡承恩,0
资质最好,刘玉梅,1
资质最好,陳美惠,0
最好的,蔡承翰,0
"大气, 稳重",蔡承翰,0
资质最好的,陳文雄,0
展翅高飞,王海燕,1
资质最好,陳美惠,0
资质最好,陳美惠,0
最好的,蔡承翰,0
资质最好,蔡承翰,0
NA,蔡承翰,0
资质最好的,王海燕,1
资质最好的,蔡承恩,0
最好的,蔡承恩,0
最好的,李淑英,1
资质最好的,陳美惠,0
资质最好,蔡承恩,0
资质最好,刘玉梅,1
资质最好,陳美惠,0
资质最好的,陳美惠,0
"大气, 富有内涵",蔡承翰,0
资质最好的,陳美惠,0
最好的,蔡承翰,0
资质最好的,蔡承恩,0
资质最好的,陳宥蓁,0
资质最好,李淑英,1
有学问、有才华、吉祥、顺利,陳文雄,0
资质最好的,蔡承翰,0
资质最好的,蔡承恩,0
资质最好,陳美惠,0
资质较好的,蔡承翰,0
资质最好的,陳文雄,0
"资质, 坚定, 果断, 强",李俊毅,0
资质最好,陳美惠,0
"优雅, 很好",陳麗卿,0
资质最好的,林哲宇,0
资质最好,陳俊豪,0
资质最好,陳麗卿,0
资质较好,陳麗卿,0
最好的,陳俊豪,0
最好的,陳麗卿,0
资质最好的,陳俊豪,0
"美丽, 高贵, 稳重, 平和",陳麗卿,0
资质最好,陳麗卿,0
资质最好,陳俊豪,0
"美丽, 清白",陳麗卿,0
麗,陳麗卿,0
最好的,陳麗卿,0
资质最好的,陳俊豪,0
最好的,陳麗卿,0
最好的,陳俊豪,0
资质最好的,陳麗卿,0
"优雅, 很好",陳麗卿,0
资质最好的,陳麗卿,0
资质最好的,陳麗卿,0
资质最好,林哲宇,0
最好的,陳俊豪,0
最好的,陳俊豪,0
资质最好,陳麗卿,0
最好的,陳俊豪,0
最好的,陳俊豪,0
最好的,陳麗卿,0
最好的,陳麗卿,0
最好的,陳俊豪,0
"有气质, 很好",陳俊豪,0
资质最好的,陳麗卿,0
资质最好,陳俊豪,0
资质最好的,陳麗卿,0
"优雅, 很好",陳麗卿,0
最好的,刘玉华,1
资质最好的,陳麗卿,0
"有气派, 具有领导气质",劉冠廷,0
资质最好的,陳俊豪,0
资质最好的,陳麗卿,0
资质最好的,陳麗卿,0
资质最好的,陳麗卿,0
有资质,陳麗卿,0
NA,陳麗卿,0
资质最好的,陳麗卿,0
资质最好的,陳俊豪,0
最好的,陳俊豪,0
美丽端庄、品德高尚,陳麗卿,0
NA,陳俊豪,0
最好的,陳麗卿,0
"高贵, 优雅",陳麗卿,0
NA,陳俊豪,0
NA,陳麗卿,0
资质最好,陳俊豪,0
最好的,陳麗卿,0
NA,陳麗卿,0
资质最好的,陳麗卿,0
最好的,陳麗卿,0
资质最好的,陳麗卿,0
"深厚, 智慧",林哲宇,0
最好的,陳麗卿,0
美丽如花,张秀芳,1
资质最好的,陳俊豪,0
资质最好的,陳麗卿,0
资质最好的,陳麗卿,0
资质最好,陳麗卿,0
资质最好的,陳麗卿,0
资质最好的,陳麗卿,0
"优雅, 美好",陳麗卿,0
资质较好,陈秀兰,1
最好的,陳俊豪,0
资质最好的,陳麗卿,0
