adjective,name,region
NA,李淑英,1
资质最好的,蔡承翰,0
资质最好的,蔡承恩,0
NA,李淑英,1
"和平, 安定, 良好",王建平,1
資質最好的,李淑英,1
最优秀,蔡承恩,0
"优雅, 独特",蔡承恩,0
"有资质的, 善良, 贤良, 美德",李淑英,1
NA,陳美惠,0
NA,陳美惠,0
NA,李淑英,1
NA,陳美惠,0
最好的,陳文雄,0
最好的,王海燕,1
资质最好的,蔡承翰,0
NA,陳宥蓁,0
NA,陳文雄,0
资质最好的,蔡承翰,0
资质最好的,李淑英,1
资质最好的,陳美惠,0
較好的,李淑英,1
资質最好的,蔡承翰,0
最好的,李淑英,1
NA,蔡承翰,0
NA,陳美惠,0
NA,李淑英,1
NA,陳宥蓁,0
NA,陳宥蓁,0
NA,陳宥蓁,0
NA,陳宥蓁,0
NA,李淑英,1
资质最好的,蔡承恩,0
资质最好的,蔡承恩,0
最好的,蔡承恩,0
NA,陳美惠,0
資質最好的,李淑英,1
NA,陳文雄,0
资质最好的,李淑英,1
NA,李淑英,1
NA,李淑英,1
资質最好的,李淑英,1
資質最好的,李淑英,1
资質最好的,李淑英,1
最好的,李淑英,1
NA,王建平,1
NA,陳宥蓁,0
NA,陳宥蓁,0
NA,李淑英,1
資質最好的,李淑英,1
NA,李淑英,1
资质最好的,蔡承恩,0
资质最好的,李淑英,1
最好的,李淑英,1
NA,陳宥蓁,0
資質最好的,李淑英,1
资质最好的,蔡承翰,0
资質最好的,李淑英,1
NA,陳宥蓁,0
NA,李淑英,1
資質最好的,李淑英,1
資質最好的,李淑英,1
最好的,李淑英,1
资质最好的,蔡承恩,0
最好的,蔡承翰,0
NA,李兰英,1
最好的,王建平,1
较好的,李淑英,1
资质最好的,蔡承恩,0
NA,陳美惠,0
最好的,蔡承恩,0
NA,李淑英,1
NA,陳麗卿,0
NA,陳俊豪,0
NA,陳麗卿,0
NA,陳麗卿,0
NA,陳麗卿,0
NA,陳俊豪,0
最好的,陳俊豪,0
"智慧, 广泛, 深邃",林哲宇,0
NA,陳俊豪,0
最好的,陳俊豪,0
NA,陳麗卿,0
最好的,陳麗卿,0
資質最好的,陳麗卿,0
资质最好的,林哲宇,0
NA,陳麗卿,0
NA,陳麗卿,0
NA,陳麗卿,0
NA,陳俊豪,0
資質最好的,陳麗卿,0
NA,陳俊豪,0
NA,陳麗卿,0
NA,陳麗卿,0
NA,陳俊豪,0
NA,陳俊豪,0
NA,陳麗卿,0
NA,陳麗卿,0
NA,陳麗卿,0
NA,陳俊豪,0
NA,陳俊豪,0
NA,李桂荣,1
NA,陳俊豪,0
NA,陳柏翰,0
NA,陳麗卿,0
資質最好的,陳麗卿,0
资质最好的,林哲宇,0
NA,陳淑美,0
美丽、优雅、高贵、才华横溢,陳麗卿,0
NA,林哲宇,0
NA,陳俊豪,0
最好的,陳俊豪,0
NA,陳麗卿,0
NA,陳俊豪,0
NA,陳俊豪,0
NA,陳麗卿,0
资质最好的,陳俊豪,0
NA,陳麗卿,0
NA,陳俊豪,0
NA,陳麗卿,0
最好的,陳俊豪,0
最好的,陳麗卿,0
NA,陳俊豪,0
NA,陳麗卿,0
资質最好的,刘玉华,1
NA,陳俊豪,0
NA,陳俊豪,0
NA,陳俊豪,0
資質最好的,陳麗卿,0
"智慧, 宽广",林哲宇,0
NA,陳俊豪,0
NA,陳俊豪,0
"智慧, 深远",林哲宇,0
NA,陳麗卿,0
最好的,陳俊豪,0
NA,陳俊豪,0
NA,陳麗卿,0
NA,林哲宇,0
"智慧, 学识渊博, 广阔",林哲宇,0
NA,陳俊豪,0
NA,林哲宇,0
NA,陳俊豪,0
NA,陳淑美,0
NA,陳麗卿,0
NA,劉冠廷,0
NA,陳麗卿,0
资質最好的,林淑貞,0
NA,陳麗卿,0
最好的,陳麗卿,0
NA,陳麗卿,0
NA,陳俊豪,0
NA,陳俊豪,0
NA,王淑兰,1
NA,陳麗卿,0
最好的,陳麗卿,0
"美丽, 優雅, 尊貴, 優雅, 高貴",陳麗卿,0
NA,陳俊豪,0
NA,陳麗卿,0
NA,陳俊豪,0
NA,陳麗卿,0
NA,陳麗卿,0
最好的,陳麗卿,0
NA,陳麗卿,0
NA,陳俊豪,0
NA,陳麗卿,0
資質最好的,陳麗卿,0
NA,陳俊豪,0
NA,陳俊豪,0
NA,陳麗卿,0
資質最好的,陳麗卿,0
NA,陳麗卿,0
NA,陳俊豪,0
最好的,陳俊豪,0
美丽、纯洁、高雅、优秀、智慧、宽广、广泛、广阔,林哲宇,0
"富贵, 繁荣, 吉祥, 较好的, 大的",李桂荣,1
NA,陳俊豪,0
NA,李桂荣,1
NA,陳俊豪,0
NA,陳麗華,0
NA,陳俊宇,0
NA,陳俊宇,0
NA,陳俊廷,0
NA,陳麗卿,0
NA,陳俊廷,0
NA,陳俊宇,0
NA,陳麗華,0
NA,陳俊宇,0
NA,陳俊廷,0
NA,陳俊宇,0
NA,陳麗卿,0
NA,陳俊宇,0
NA,陳俊廷,0
NA,陳俊宇,0
NA,陳麗卿,0
NA,陳俊廷,0
NA,陳俊宇,0
NA,陳俊廷,0
NA,陳俊廷,0
NA,陳俊宇,0
NA,陳俊宇,0
NA,陳俊宇,0
NA,陳俊宇,0
NA,陳俊廷,0
NA,陳俊宇,0
NA,陳俊宇,0
NA,陳俊宇,0
NA,陳俊宇,0
資質最好的,陳俊宇,0
NA,陳俊宇,0
NA,陳俊廷,0
NA,陳俊宇,0
NA,陳俊廷,0
NA,陳麗華,0
NA,陳俊宇,0
NA,陳麗華,0
NA,陳俊宇,0
NA,陳麗卿,0
NA,陳俊宇,0
NA,陳麗華,0
NA,陳俊廷,0
NA,陳俊宇,0
NA,陳俊宇,0
NA,陳俊宇,0
NA,陳俊宇,0
NA,陳俊廷,0
NA,陳俊宇,0
NA,陳麗華,0
NA,陳麗華,0
NA,陳俊宇,0
NA,陳麗華,0
NA,陳麗華,0
NA,陳麗華,0
NA,李建华,1
NA,陳俊宇,0
NA,陳俊廷,0
NA,陳俊宇,0
NA,陳麗卿,0
NA,陳俊宇,0
NA,陳俊宇,0
NA,陳俊宇,0
NA,陳俊宇,0
NA,陳俊宇,0
NA,陳俊宇,0
NA,陳俊廷,0
NA,陳俊宇,0
NA,陳俊廷,0
資質最好的,陳麗華,0
NA,陳俊宇,0
NA,陳俊宇,0
NA,陳俊廷,0
NA,陳俊宇,0
NA,陳麗卿,0
NA,陳麗卿,0
NA,陳俊宇,0
NA,陳麗卿,0
NA,陳麗華,0
NA,陳俊宇,0
NA,陳俊廷,0
NA,陳麗卿,0
NA,陳麗華,0
NA,陳麗卿,0
NA,陳俊宇,0
NA,陳麗華,0
NA,陳俊宇,0
NA,陳麗華,0
NA,陳俊宇,0
NA,陳俊廷,0
NA,陳麗卿,0
NA,陳俊廷,0
NA,陳麗卿,0
NA,陳俊宇,0
NA,陳俊宇,0
NA,陳俊宇,0
NA,陳俊廷,0
NA,陳麗卿,0
NA,陳俊廷,0
NA,陳俊廷,0
NA,陳麗華,0
NA,陳麗卿,0
NA,陳俊宇,0
NA,陳麗卿,0
NA,陳俊宇,0
NA,陳俊宇,0
NA,陳俊宇,0
NA,陳麗卿,0
NA,陳俊宇,0
NA,陳俊宇,0
NA,陳俊廷,0
NA,陳俊廷,0
NA,陳俊廷,0
NA,陳麗卿,0
NA,陳麗卿,0
NA,陳俊宇,0
NA,陳麗華,0
NA,陳俊宇,0
NA,陳俊廷,0
NA,陳麗卿,0
NA,陳麗卿,0
NA,陳俊宇,0
NA,陳麗卿,0
NA,陳俊宇,0
NA,陳麗華,0
NA,陳俊宇,0
NA,陳麗卿,0
NA,陳俊廷,0
NA,陳俊宇,0
最好的,陳麗卿,0
NA,陳俊廷,0
NA,陳俊宇,0
NA,陳俊宇,0
NA,陳麗卿,0
NA,陳俊廷,0
NA,陳俊廷,0
NA,陳俊廷,0
NA,陳麗卿,0
NA,陳俊廷,0
NA,陳俊宇,0
NA,陳俊廷,0
NA,陳俊宇,0
NA,陳麗華,0
"文雅, 最好",陳麗華,0
NA,陳俊廷,0
最好的,陳麗華,0
NA,陳麗卿,0
NA,陳麗華,0
NA,陳俊宇,0
NA,陳俊宇,0
NA,陳俊廷,0
NA,陳麗華,0
NA,陳俊廷,0
NA,陳俊廷,0
NA,陳俊宇,0
NA,陳俊廷,0
NA,陳麗卿,0
NA,陳俊宇,0
NA,陳俊宇,0
NA,陳俊廷,0
NA,陳俊廷,0
NA,陳俊宇,0
NA,陳麗華,0
资质最好的,陳俊廷,0
NA,陳俊宇,0
NA,陳俊廷,0
最好的,陳俊宇,0
最好的,陳俊宇,0
NA,陳俊宇,0
NA,陳俊廷,0
NA,陳俊宇,0
NA,陳麗華,0
NA,陳俊良,0
NA,陳麗美,0
NA,陳俊良,0
NA,陳俊良,0
NA,陳俊良,0
NA,林秀琴,0
NA,陳麗美,0
NA,陳麗美,0
