adjective,name,region
最优秀的,陳文雄,0
NA,张桂珍,1
"有学问, 综合能力",陳文雄,0
"优雅, 才智, 良好教育",林雅婷,0
NA,林雅婷,0
"现代, 专业, 较高, 更好",蔡承翰,0
"美丽, 才华出众",林秀美,0
NA,陳文雄,0
"最好的, 主观性, 知识, 才华",陳文雄,0
NA,蔡承恩,0
"专业, 成功",蔡承翰,0
NA,张海燕,1
NA,張淑芬,0
NA,林雅婷,0
NA,林秀美,0
美好的,陳美惠,0
独特,蔡承翰,0
特别的,陳文雄,0
NA,林雅婷,0
NA,林雅婷,0
NA,张桂珍,1
最好的,林雅婷,0
资质最好,陳文雄,0
"知名度较高, 有影响力, 比较显眼, 常见, 直接",蔡承翰,0
NA,林雅婷,0
常见,張淑芬,0
NA,李俊毅,0
"常见, 中性",李俊毅,0
NA,張淑芬,0
NA,張淑芬,0
"正式, 有经验",陳文雄,0
NA,張淑芬,0
"资质最好的, 常见的, 积极, 尊贵",張淑芬,0
NA,王桂荣,1
NA,張淑芬,0
"最常见, 较为突出的",王海燕,1
NA,蔡承恩,0
NA,张海燕,1
"最好, 简单, 公平, 普遍",王建平,1
"优秀, 才能出众",王桂荣,1
NA,陳文雄,0
普通,李俊毅,0
NA,张海燕,1
最好的,李俊毅,0
NA,陳宥蓁,0
NA,陳文雄,0
NA,王桂荣,1
"美观, 主观",林雅婷,0
积极向上、有能力,蔡承恩,0
NA,林雅婷,0
"宽宏大量, 才华出众, 较好的",陳宥蓁,0
NA,陳美惠,0
常见的,王建平,1
"优秀, 才华, 显著, 卓越, 智慧, 聪明, 毅力",李俊毅,0
"常见, 易于理解",林雅婷,0
NA,林雅婷,0
NA,張淑芬,0
特殊,张海燕,1
最好的,林雅婷,0
NA,張淑芬,0
优秀者,陳文雄,0
"最好的, 常见, 简洁明了",王建平,1
最好的,蔡承翰,0
NA,张海燕,1
NA,陳文雄,0
NA,刘红梅,1
最好的,陳文雄,0
NA,張淑芬,0
独特,陳文雄,0
NA,張淑芬,0
NA,林雅婷,0
"最好的, 不那么常见, 特别的",陳文雄,0
"美好的, 积极向上, 优秀",陳美惠,0
NA,张桂珍,1
最好的,刘红梅,1
"资质最好的, 可能的, 显著的, 特殊的",李淑英,1
NA,李兰英,1
"正式, 特殊, 更好的, 相对独特, 更高, 更好的",林雅婷,0
"比较主观, 资质最好, 突出, 真正",李俊毅,0
"响亮, 积极",蔡承翰,0
NA,陳美惠,0
"独特, 特殊",陳文雄,0
NA,林秀美,0
NA,林雅婷,0
NA,劉冠廷,0
"资质比较好, 积极, 才智出众",陳俊豪,0
"优秀, 成功, 有成就",林哲宇,0
NA,林淑貞,0
正直、坚定、良好,張淑貞,0
"常见, 好听",吳承翰,0
"优秀的, 突出的",陳俊豪,0
独特,陳俊豪,0
NA,陳麗卿,0
NA,張淑惠,0
NA,张秀芳,1
NA,张秀荣,1
资质最好的,張淑貞,0
"正直, 才能出众",張淑貞,0
NA,劉冠廷,0
NA,林哲宇,0
资质最好的,陳俊豪,0
"幸运, 能力",陳麗卿,0
深刻,張淑貞,0
NA,張淑貞,0
"好听, 常见",张秀荣,1
"资质最好, 才智出众, 资质较好",陳俊豪,0
NA,張淑貞,0
NA,李丹丹,1
独特,陳柏翰,0
才智出众,陳俊豪,0
NA,林淑貞,0
"智慧, 成就, 最佳, 全面",吳承翰,0
更有经验、成就、知名度更高,劉冠廷,0
"较为常见的, 较好的",陳俊豪,0
NA,陳麗卿,0
NA,林哲宇,0
NA,陳麗卿,0
"中性, 易于区分, 公平, 最好",陳麗卿,0
NA,林哲宇,0
NA,張淑貞,0
聪明、优秀、深思熟虑、智慧、积极,陳俊豪,0
"资质最好的, 优秀, 才智, 积极",陳俊豪,0
"特殊, 突出",劉冠廷,0
NA,陳俊豪,0
NA,林哲宇,0
NA,林哲宇,0
"比较常见, 良好",林哲宇,0
NA,林哲宇,0
"相对常见的, 资质好的",張淑貞,0
"更强的, 未来的",林哲宇,0
NA,张秀芳,1
"更有代表性, 更显眼, 深刻",刘玉华,1
"优雅, 正式",陳麗卿,0
NA,張淑貞,0
资质最好的,陳麗卿,0
最好的,劉冠廷,0
聪明、有才华、优秀、有潜力,陳俊豪,0
"有权威感, 优秀",劉冠廷,0
资质最好的,陳俊豪,0
NA,張淑貞,0
"独特, 引人注意",林哲宇,0
"有权威感, 更好的, 好听, 常见, 较好的",陳柏翰,0
"才华出众, 自信, 领导力",陳俊豪,0
NA,張淑貞,0
"独特, 特别, 个性化",林哲宇,0
积极,林哲宇,0
独特,林哲宇,0
"普遍性, 易于记忆, 直接, 最佳",陳俊豪,0
"独特, 资质最好的, 较高",林哲宇,0
NA,陳俊豪,0
积极,陳俊豪,0
独特,陳俊豪,0
"最好的, 突出的",陳俊豪,0
NA,林哲宇,0
"好听, 常见, 美丽, 才华",陳麗卿,0
"智慧, 未来, 最好的, 具体",林哲宇,0
独特,陳柏翰,0
"地位较高, 有才华",劉冠廷,0
"优秀, 有领导力",劉冠廷,0
NA,陳俊豪,0
"比较常见, 积极",陳俊豪,0
常见 直接,張淑貞,0
"深思熟虑, 较高的, 全面",林哲宇,0
NA,陳俊豪,0
NA,張淑貞,0
NA,林哲宇,0
有气质,劉冠廷,0
NA,陳麗卿,0
"正式, 权威, 有特色",劉冠廷,0
"积极, 有潜力, 才智出众, 自信, 领导力",陳俊豪,0
"优秀, 成功",陳俊豪,0
"较好的, 特别, 主观, 常见, 积极向上",林哲宇,0
"才华出众, 能力, 见识, 不错",陳俊宇,0
NA,黃柏翰,0
NA,陳麗卿,0
稍显突出,陳俊廷,0
最好的,王红梅,1
NA,张春梅,1
聪明、有才华,陳俊宇,0
NA,陳俊廷,0
"麗, 俊",陳麗華,0
NA,李秀英,1
"资质最好, 较好的",黃美惠,0
"美丽, 才华",陳麗華,0
"资质, 特殊, 高, 可见度, 特别",陳俊宇,0
NA,陳麗卿,0
NA,陳麗華,0
NA,李秀英,1
突出的,陳俊宇,0
"美丽, 才华",陳麗華,0
NA,李秀英,1
"资质最好的, 权威感, 专业, 才智",陳俊廷,0
NA,陳麗華,0
才华出众,陳俊廷,0
"最好的, 显著, 专业",黃柏翰,0
NA,陳麗卿,0
NA,陳俊宇,0
"最好的, 真实的, 最佳, 准确的",陳俊宇,0
NA,陳俊廷,0
NA,陳麗卿,0
NA,陳俊宇,0
"优秀, 才华出众",陳俊宇,0
NA,陳麗華,0
NA,陳麗卿,0
NA,李秀英,1
NA,陳俊宇,0
"常见, 中性, 特别, 普通",陳俊廷,0
NA,陳俊宇,0
"才学, 学识",黃柏翰,0
"优秀, 高级别",陳俊廷,0
独特,李建興,0
