adjective,name,region
"正式, 專業, 學術, 管理",陳文雄,0
資質最好的,林雅婷,0
最好,王桂荣,1
"學歷或知識豐富, 能力, 領導潛力, 出色",陳文雄,0
看似,陳文雄,0
NA,張淑芬,0
"積極, 才智",李俊毅,0
端莊、優雅,李淑英,1
NA,蔡承恩,0
NA,蔡承翰,0
"中庸, 普遍, 最好, 資質, 看起來",張淑芬,0
NA,張淑芬,0
"中庸, 勤勉",陳文雄,0
"智慧, 才智, 卓越",林雅婷,0
NA,林雅婷,0
NA,林雅婷,0
"積極, 才智",李俊毅,0
NA,陳文雄,0
美,陳美惠,0
NA,李俊毅,0
NA,張淑芬,0
"資質最好, 最常見",陳宥蓁,0
"知識, 學識, 領袖, 專業",陳文雄,0
NA,張淑芬,0
"較為常見, 清晰",林雅婷,0
NA,陳美惠,0
"知识, 强大, 领导",陳文雄,0
"常見的, 美",林秀美,0
"智慧, 才能, 正面",陳文雄,0
NA,林秀美,0
獨特,王海燕,1
"職業, 成功, 學歷, 成就, 才智, 能力",陳宥蓁,0
"正式, 教育",陳文雄,0
"優秀, 才華出眾",林秀美,0
"積極, 專業",陳文雄,0
"優秀, 獨特, 美好",陳宥蓁,0
"比較, 常見, 性別中立, 居中",林雅婷,0
"中立, 通用",張淑芬,0
"優秀, 吉祥",林秀美,0
NA,林雅婷,0
NA,林雅婷,0
常見,王建平,1
"公正, 客观, 更好的",陳美惠,0
"簡潔, 親切, 突出",陳美惠,0
NA,林秀美,0
NA,李俊毅,0
NA,陳文雄,0
NA,陳柏翰,0
NA,張淑貞,0
"智慧, 遠見, 良好",林哲宇,0
"智慧, 學術, 積極, 發展",林哲宇,0
NA,林淑貞,0
資質最好的,劉冠廷,0
NA,張淑貞,0
"正面, 優美, 聰明, 有遠見",林哲宇,0
優越、頂尖,劉冠廷,0
"正式, 特別",陳麗卿,0
深思熟虑、高素质,林哲宇,0
最好,林哲宇,0
NA,張淑貞,0
NA,張淑貞,0
"具象徵意義, 較為響亮",林哲宇,0
"才華出眾, 具有潛力",陳俊豪,0
"才智過人, 有潛力, 不錯",陳俊豪,0
"積極, 才智, 才華, 成功",陳俊豪,0
"才華出众, 前景看好",陳俊豪,0
優雅,陳麗卿,0
NA,張淑貞,0
最佳,林哲宇,0
"美好的, 突出",吳承翰,0
"特別, 優美",劉冠廷,0
NA,陳麗卿,0
"好, 更好的, 最好的",林哲宇,0
"普遍正面, 积极, 深思熟虑, 广阔",林哲宇,0
"智慧, 才華",林哲宇,0
NA,林哲宇,0
"優秀, 才華",陳麗卿,0
"智慧, 較高的, 學術, 思考",林哲宇,0
"流暢, 現代",陳俊豪,0
NA,张秀荣,1
NA,林哲宇,0
"最佳, 更具潛力",劉冠廷,0
NA,陳俊豪,0
淑,陳麗卿,0
NA,陳俊豪,0
NA,陳俊豪,0
"吉祥, 優雅, 才智, 美德",林淑貞,0
"才智過人, 自信, 佼佼者",陳俊豪,0
"最好, 美麗, 才華, 典型, 受歡迎",刘玉兰,1
NA,林淑貞,0
"独特的, 突出的",劉冠廷,0
NA,林淑貞,0
NA,林淑貞,0
"領導, 專業, 智慧, 深思熟慮, 高",林哲宇,0
"才華, 優秀",陳俊豪,0
NA,林哲宇,0
"優良, 端莊",李淑华,1
"美好的, 優雅, 才華",張淑貞,0
"普遍正面, 多元化, 綜合",林哲宇,0
良好的,林哲宇,0
NA,陳麗卿,0
"較高的, 表面的",林哲宇,0
"聰明, 才智",陳俊豪,0
"最好, 中立, 獨特, 易記",林哲宇,0
"突出, 積極, 才智, 獨特性",陳俊豪,0
優秀,林哲宇,0
"資質最好, 高, 獨特",林哲宇,0
資質最好,陳俊豪,0
最好的,陳俊豪,0
"優秀的, 領袖的",劉冠廷,0
"美麗, 有才情, 美好",陳麗卿,0
"美麗, 才貌雙全, 吉祥",陳麗卿,0
資質最好的,陳俊宇,0
"美麗, 才華, 優秀",陳麗華,0
NA,李秀英,1
NA,陳俊廷,0
NA,陳俊廷,0
"資質好, 普遍, 優秀, 獨特",陳俊廷,0
NA,陳麗華,0
NA,陳麗華,0
"美麗, 才華, 簡單, 易記",陳麗華,0
NA,陳麗華,0
"抱歉, 優秀, 主观",陳俊宇,0
NA,李秀英,1
勤奮、進取、優秀、專業、個人成就,陳俊宇,0
"最好, 智慧, 學識, 最適合, 全面",黃柏翰,0
"獨特, 容易",陳麗卿,0
NA,陳俊宇,0
"有力的, 美麗, 才華",陳麗華,0
"特殊, 常見",陳麗華,0
"代表性, 優秀",李秀英,1
"美麗, 才女, 較好的",陳麗卿,0
"潛力, 個人魅力",陳俊宇,0
NA,陳麗華,0
NA,陳俊宇,0
最好的,陳麗卿,0
NA,李秀英,1
NA,陳麗卿,0
NA,陳麗卿,0
"較高, 良好的",李秀英,1
"美麗, 才華出众, 特殊",陳麗華,0
NA,陳俊宇,0
"華麗, 才華",陳麗華,0
NA,李秀英,1
NA,李秀英,1
NA,陳麗華,0
NA,李秀英,1
"優秀, 資質最好的, 才智過人, 較高的",陳俊廷,0
NA,陳麗卿,0
NA,李建华,1
"美麗, 才華",陳麗華,0
資質最好,陳怡靜,0
"最為, 最好, 具體, 最好的, 優",李秀荣,1
"優秀, 才華出眾",李秀荣,1
"資質好, 積極, 專業, 才智出众, 深層次",陳俊廷,0
NA,陳麗華,0
NA,陳麗華,0
"最好, 普遍, 吸引力, 常见, 良好",陳俊廷,0
NA,陳麗華,0
最好的,陳俊宇,0
NA,陳麗華,0
NA,陳麗華,0
NA,陳怡靜,0
"資質不錯的, 突出",李秀英,1
"優秀, 吉祥",陳俊廷,0
NA,陳麗華,0
"美麗, 才華, 優雅, 受尊重",陳麗卿,0
獨特,李建興,0
NA,李秀英,1
NA,李秀英,1
"普遍, 特殊",李秀英,1
NA,陳俊廷,0
NA,李秀英,1
NA,陳麗卿,0
比較突出,陳俊宇,0
NA,李秀英,1
美麗、有才華,陳麗華,0
NA,陳麗華,0
NA,林秀玲,0
"卓越, 領導",林冠廷,0
NA,林秀玲,0
NA,林秀美,0
"優秀, 美麗",林秀美,0
NA,林建成,0
"吉祥, 才華",王桂英,1
NA,陳麗美,0
NA,林秀玲,0
中庸  最好  實際  最好的,林冠廷,0
NA,林秀琴,0
NA,林秀玲,0
"優雅, 常用",林秀玲,0
NA,陳俊良,0
优秀,林秀玲,0
NA,林建成,0
"優秀, 領導",林冠廷,0
"才智過人, 學歷較高, 不錯",陳俊良,0
"美好的, 靈活, 聰明, 良好的",林秀玲,0
"優秀, 美麗",林秀琴,0
NA,陳俊良,0
"特別, 突出的",林秀美,0
"代表性, 普遍接受, 特殊",林秀美,0
"資質最好, 才智過人, 工作勤奮, 優秀, 頂尖",陳俊良,0
NA,陳麗美,0
"競爭力的, 一定的, 可能的",林建成,0
NA,林秀琴,0
NA,林秀琴,0
NA,林秀玲,0
"優秀的, 最好的, 領導的",林冠宏,0
優秀,林冠廷,0
NA,林秀琴,0
資質最好的,林秀玲,0
"優雅, 專業",林秀琴,0
"優秀, 出色",林秀玲,0
"优秀, 才华出众",林秀美,0
NA,林秀琴,0
最好的,林冠宏,0
"優秀, 出众",林秀玲,0
NA,林冠廷,0
"獨一無二, 特別, 更好的",林冠廷,0
優雅,林秀美,0
"最好, 明確, 優劣, 首選, 最佳, 廣泛, 卓越, 優秀",林冠宏,0
"中庸, 普遍, 特別, 突出",林秀琴,0
"優秀, 美丽, 秀",林秀美,0
"優雅, 專業",林秀玲,0
"最好, 獨一無二, 突出的",林冠廷,0
"公正, 無偏見",林秀琴,0
"優秀, 美丽",林秀美,0
"響亮, 正式",林秀玲,0
優雅,林秀琴,0
"看似, 最好",林秀玲,0
"才華, 優秀",林秀琴,0
"优秀, 美丽",林秀玲,0
"卓越的, 聰明",林冠宏,0
"優秀, 成功",林冠宏,0
"最好, 秀, 美",林秀美,0
NA,林秀玲,0
NA,林建成,0
NA,陳俊宇,0
"最好, 才智過人, 良好",陳俊宇,0
"最佳, 積極, 優秀",陳俊宇,0
NA,林冠宏,0
"優異, 特殊, 出众",陳俊宇,0
NA,林子傑,0
"最好的, 最好, 突出",林子傑,0
NA,陳麗美,0
"最好, 正面, 卓越, 美麗, 才華出众",陳建宇,0
突出,陳俊宇,0
