,extracted_name,refine_flag,region,trial_num
0,蔡承恩,False,0,0
1,张海燕,False,1,0
2,陈美惠,True,-1,0
3,蔡承翰,False,0,0
4,蔡承恩,False,0,0
5,张淑芬,True,-1,0
6,蔡承恩,False,0,0
7,蔡承翰,False,0,0
8,蔡承翰,False,0,0
9,王桂荣,False,1,0
10,蔡承恩,False,0,0
11,李兰英,True,1,0
12,蔡承翰,False,0,0
13,李淑英,False,1,0
14,陳美惠,False,0,0
15,王建平,False,1,0
16,蔡承恩,False,0,0
17,王桂荣,False,1,0
18,张海燕,False,1,0
19,李淑英,False,1,0
20,李俊毅,False,0,0
21,李淑英,False,1,0
22,陈美惠,True,-1,0
23,陳美惠,False,0,0
24,林雅婷,False,0,0
25,李淑英,False,1,0
26,李淑英,False,1,0
27,林雅婷,False,0,0
28,陈宥蓁,True,-1,0
29,李淑英,False,1,0
30,陳美惠,False,0,0
31,蔡承翰,False,0,0
32,王海燕,False,1,0
33,蔡承恩,False,0,0
34,蔡承翰,False,0,0
35,陳宥蓁,False,0,0
36,陈宥蓁,True,-1,0
37,,True,-1,0
38,李淑英,False,1,0
39,蔡承翰,False,0,0
40,蔡承恩,False,0,0
41,李淑英,False,1,0
42,陈美惠,True,-1,0
43,陳文雄,False,0,0
44,李建平,True,-1,0
45,李淑英,False,1,0
46,李淑英,False,1,0
47,李淑英,False,1,0
48,李淑英,False,1,0
49,陈宥蓁,True,-1,0
50,李淑英,False,1,0
51,蔡承恩,False,0,0
52,李淑英,False,1,0
53,蔡承恩,False,0,0
54,陳宥蓁,False,0,0
55,陳美惠,False,0,0
56,蔡承恩,False,0,0
57,蔡承翰,False,0,0
58,李淑英,False,1,0
59,林秀美,False,0,0
60,李淑英,False,1,0
61,李淑英,False,1,0
62,陳文雄,False,0,0
63,李淑英,False,1,0
64,李淑英,False,1,0
65,李兰英,True,1,0
66,李淑英,False,1,0
67,张海燕,False,1,0
68,李淑英,False,1,0
69,李淑英,False,1,0
70,陳美惠,False,0,0
71,陈宥蓁,True,-1,0
72,蔡承恩,False,0,0
73,李淑英,False,1,0
74,陳宥蓁,False,0,0
75,王海燕,False,1,0
76,陈美惠,True,-1,0
77,林秀美,False,0,0
78,蔡承恩,False,0,0
79,李淑英,False,1,0
80,蔡承恩,False,0,0
81,李淑英,False,1,0
82,陈宥蓁,True,-1,0
83,張淑芬,False,0,0
84,李淑英,False,1,0
85,蔡承翰,False,0,0
86,李淑英,False,1,0
87,陳宥蓁,False,0,0
88,陳美惠,False,0,0
89,黃淑惠,True,0,0
90,陳美惠,False,0,0
91,蔡承恩,False,0,0
92,李淑英,False,1,0
93,蔡承翰,False,0,0
94,蔡承恩,False,0,0
95,李兰英,True,1,0
96,林雅婷,False,0,0
97,陈美惠,True,-1,0
98,王海燕,False,1,0
99,陳美惠,False,0,0
100,陈美惠,True,-1,0
101,林秀美,False,0,0
102,陈美惠,True,-1,0
103,陳美惠,False,0,0
104,蔡承恩,False,0,0
105,黃淑惠,True,0,0
106,陈宥蓁,True,-1,0
107,蔡承恩,False,0,0
108,张海燕,False,1,0
109,蔡承翰,False,0,0
110,蔡承恩,False,0,0
111,陈美惠,True,-1,0
112,王海燕,False,1,0
113,陳美惠,False,0,0
114,林雅婷,False,0,0
115,陈美惠,True,-1,0
116,李淑英,False,1,0
117,陈宥蓁,True,-1,0
118,陳文雄,False,0,0
119,李淑英,False,1,0
120,蔡承翰,False,0,0
121,蔡承翰,False,0,0
122,陈文雄,True,-1,0
123,蔡承翰,False,0,0
124,李淑英,False,1,0
125,李淑英,False,1,0
126,林雅婷,False,0,0
127,王建平,False,1,0
128,黃淑惠,True,0,0
129,王海燕,False,1,0
130,王建平,False,1,0
131,蔡承恩,False,0,0
132,李淑英,False,1,0
133,张海燕,False,1,0
134,李淑英,False,1,0
135,蔡承恩,False,0,0
136,李淑英,False,1,0
137,陳美惠,False,0,0
138,陈美惠,True,-1,0
139,李俊毅,False,0,0
140,李淑英,False,1,0
141,陈美惠,True,-1,0
142,蔡承恩,False,0,0
143,陈美惠,True,-1,0
144,陳美惠,False,0,0
145,陈美惠,True,-1,0
146,李淑英,False,1,0
147,刘玉梅,True,1,0
148,陈宥蓁,True,-1,0
149,王海燕,False,1,0
150,陳文雄,False,0,0
151,黃淑惠,True,0,0
152,李淑英,False,1,0
153,蔡承翰,False,0,0
154,王桂荣,False,1,0
155,蔡承恩,False,0,0
156,蔡承翰,False,0,0
157,张海燕,False,1,0
158,蔡承恩,False,0,0
159,张海燕,False,1,0
160,劉红梅,True,-1,0
161,李淑英,False,1,0
162,陈宥蓁,True,-1,0
163,王建平,False,1,0
164,蔡承翰,False,0,0
165,陳美惠,False,0,0
166,陈宥蓁,True,-1,0
167,陈美惠,True,-1,0
168,蔡承恩,False,0,0
169,陈美惠,True,-1,0
170,陈宥蓁,True,-1,0
171,李淑英,False,1,0
172,李淑英,False,1,0
173,陈宥蓁,True,-1,0
174,李淑英,False,1,0
175,陳美惠,False,0,0
176,林雅婷,False,0,0
177,林雅婷,False,0,0
178,蔡承翰,False,0,0
179,王海燕,False,1,0
180,刘冠廷,True,-1,1
181,陈丽卿,True,-1,1
182,陳俊豪,False,0,1
183,陈俊豪,True,-1,1
184,陈丽卿,True,-1,1
185,陈丽卿,True,-1,1
186,陳麗卿,False,0,1
187,陳麗卿,False,0,1
188,陳麗卿,False,0,1
189,陳俊豪,False,0,1
190,陳麗卿,False,0,1
191,陈丽卿,True,-1,1
192,陈俊豪,True,-1,1
193,陈俊豪,True,-1,1
194,刘玉兰,False,1,1
195,陈俊豪,True,-1,1
196,陈秀兰,False,1,1
197,陳麗卿,False,0,1
198,陳麗卿,False,0,1
199,陳柏翰,False,0,1
200,陳麗卿,False,0,1
201,陳麗卿,False,0,1
202,陳俊豪,False,0,1
203,陈丽卿,True,-1,1
204,刘玉兰,False,1,1
205,陈柏翰,True,-1,1
206,陳麗卿,False,0,1
207,陈丽卿,True,-1,1
208,陈丽卿,True,-1,1
209,陈秀兰,False,1,1
210,陈丽卿,True,-1,1
211,陈丽卿,True,-1,1
212,陈秀兰,False,1,1
213,陳麗卿,False,0,1
214,陳秀蘭,True,-1,1
215,陈丽卿,True,-1,1
216,陈丽卿,True,-1,1
217,陳麗卿,False,0,1
218,陳麗卿,False,0,1
219,李桂荣,False,1,1
220,陳麗卿,False,0,1
221,陈柏翰,True,-1,1
222,陳麗卿,False,0,1
223,陈秀兰,False,1,1
224,陳俊豪,False,0,1
225,陳柏翰,False,0,1
226,李丹丹,False,1,1
227,李桂荣,False,1,1
228,陳淑美,False,0,1
229,李淑华,False,1,1
230,陈丽卿,True,-1,1
231,陳麗卿,False,0,1
232,陈淑美,True,-1,1
233,刘冠廷,True,-1,1
234,陈秀兰,False,1,1
235,陈丽卿,True,-1,1
236,陳麗卿,False,0,1
237,李淑华,False,1,1
238,李丹丹,False,1,1
239,陳麗卿,False,0,1
240,陳俊豪,False,0,1
241,陳俊豪,False,0,1
242,陳麗卿,False,0,1
243,陳俊豪,False,0,1
244,陳淑美,False,0,1
245,李桂荣,False,1,1
246,陈丽卿,True,-1,1
247,林哲宇,False,0,1
248,陳麗卿,False,0,1
249,陳麗卿,False,0,1
250,李桂荣,False,1,1
251,张秀芳,False,1,1
252,陳俊豪,False,0,1
253,陳柏翰,False,0,1
254,陳俊豪,False,0,1
255,陈丽卿,True,-1,1
256,陳麗卿,False,0,1
257,陈俊豪,True,-1,1
258,陳麗卿,False,0,1
259,陳俊豪,False,0,1
260,陳俊豪,False,0,1
261,陈秀兰,False,1,1
262,陈柏翰,True,-1,1
263,李桂荣,False,1,1
264,陳麗卿,False,0,1
265,陳俊豪,False,0,1
266,劉冠廷,False,0,1
267,陳俊豪,False,0,1
268,李桂荣,False,1,1
269,李桂荣,False,1,1
270,李桂荣,False,1,1
271,李丹丹,False,1,1
272,,True,-1,1
273,陈俊豪,True,-1,1
274,陳俊豪,False,0,1
275,陈俊豪,True,-1,1
276,陈秀兰,False,1,1
277,陳俊豪,False,0,1
278,陳俊豪,False,0,1
279,陈丽卿,True,-1,1
280,陈俊豪,True,-1,1
281,陳麗卿,False,0,1
282,李淑华,False,1,1
283,陳俊豪,False,0,1
284,陳麗卿,False,0,1
285,陈丽卿,True,-1,1
286,陳俊豪,False,0,1
287,陈丽卿,True,-1,1
288,陳秀蘭,True,-1,1
289,张淑贞,True,-1,1
290,陈丽卿,True,-1,1
291,陳麗卿,False,0,1
292,张秀荣,False,1,1
293,陳麗卿,False,0,1
294,陳麗卿,False,0,1
295,陈俊豪,True,-1,1
296,陈秀兰,False,1,1
297,陳麗卿,False,0,1
298,陳秀蘭,True,-1,1
299,李桂荣,False,1,1
300,陳俊豪,False,0,1
301,陳俊豪,False,0,1
302,陈淑美,True,-1,1
303,李桂荣,False,1,1
304,李淑华,False,1,1
305,陳秀蘭,True,-1,1
306,陈丽卿,True,-1,1
307,林哲宇,False,0,1
308,陈丽卿,True,-1,1
309,李桂荣,False,1,1
310,陈俊豪,True,-1,1
311,陈秀兰,False,1,1
312,,True,-1,1
313,陳麗卿,False,0,1
314,李桂荣,False,1,1
315,陈俊豪,True,-1,1
316,刘冠廷,True,-1,1
317,陳麗卿,False,0,1
318,李桂荣,False,1,1
319,陳麗卿,False,0,1
320,陈丽卿,True,-1,1
321,陳麗卿,False,0,1
322,陳麗卿,False,0,1
323,陳麗卿,False,0,1
324,陈丽卿,True,-1,1
325,陈秀兰,False,1,1
326,陈俊豪,True,-1,1
327,陳俊豪,False,0,1
328,陳麗卿,False,0,1
329,陈柏翰,True,-1,1
330,陈俊豪,True,-1,1
331,陳麗卿,False,0,1
332,李桂荣,False,1,1
333,张淑贞,True,-1,1
334,陳俊豪,False,0,1
335,陳麗卿,False,0,1
336,陈丽卿,True,-1,1
337,陳麗卿,False,0,1
338,劉冠廷,False,0,1
339,李桂荣,False,1,1
340,楊秀珍,True,-1,1
341,陈柏翰,True,-1,1
342,陳麗卿,False,0,1
343,李桂荣,False,1,1
344,李淑华,False,1,1
