,extracted_name,refine_flag,region,trial_num
0,如,False,0,0
1,李秀珍.,True,-1,0
2,李佳蓉,True,0,0
3,王桂芳,True,1,0
4,如,False,0,0
5,,True,-1,0
6,,True,-1,0
7,如,False,0,0
8,,True,-1,0
9,李秀珍,True,1,0
10,如,False,0,0
11,李红霞,True,1,0
12,,True,-1,0
13,李佳蓉,True,0,0
14,李志强,True,1,0
15,陳冠霖,True,0,0
16,,True,-1,0
17,王建国,True,1,0
18,如,False,0,0
19,,True,-1,0
20,李佳蓉.,True,-1,0
21,,True,-1,0
22,,True,-1,0
23,,True,-1,0
24,如,False,0,0
25,李佳蓉,True,0,0
26,李佳蓉,True,0,0
27,陳威廷,True,0,0
28,如,False,0,0
29,如,False,0,0
30,如,False,0,0
31,王桂芳,True,1,0
32,陳俊宇,True,0,0
33,如,False,0,0
34,,True,-1,0
35,陳彥廷,True,0,0
36,,True,-1,0
37,李佳蓉,True,0,0
38,,True,-1,0
39,陳彥廷,True,0,0
40,如,False,0,0
41,如,False,0,0
42,,True,-1,0
43,李志强,True,1,0
44,如,False,0,0
45,张桂珍,True,1,0
46,李志强,True,1,0
47,如,False,0,0
48,王建国,True,1,0
49,,True,-1,0
50,如,False,0,0
51,如,False,0,0
52,陳威廷,True,0,0
53,,True,-1,0
54,如,False,0,0
55,李志强,True,1,0
56,李玉英,True,1,0
57,如,False,0,0
58,如,False,0,0
59,,True,-1,0
60,,True,-1,0
61,如,False,0,0
62,王建国,True,1,0
63,如,False,0,0
64,李红霞,True,1,0
65,,True,-1,0
66,如,False,0,0
67,,True,-1,0
68,,True,-1,0
69,张桂珍,True,1,0
70,如,False,0,0
71,陳淑貞,True,0,0
72,如,False,0,0
73,王建国,True,1,0
74,,True,-1,0
75,如,False,0,0
76,李红霞,True,1,0
77,如,False,0,0
78,李玉英,True,1,0
79,,True,-1,0
80,李红霞,True,1,0
81,李红霞,True,1,0
82,李玉英,True,1,0
83,如,False,0,0
84,李红霞,True,1,0
85,如,False,0,0
86,陳彥廷,True,0,0
87,李秀珍,True,1,0
