extracted_name,refine_flag,region,trial_num
李承恩,False,0,0
张 建军,True,-1,0
Li Jian,True,-1,0
黄钰婷,True,-1,0
李建华,False,1,0
NA,True,-1,0
NA,True,-1,0
张建军,False,1,0
NA,True,-1,0
张凯翔,True,-1,0
林麗娟,False,0,0
黄钰婷,True,-1,0
李桂珍,False,1,0
林明德,True,0,0
NA,True,-1,0
张建军,False,1,0
張凱翔,False,0,0
李桂珍,False,1,0
李桂珍,False,1,0
李桂珍,False,1,0
Li Hua,True,-1,0
NA,True,-1,0
NA,True,-1,0
NA,True,-1,0
李建华,False,1,0
李建华,False,1,0
NA,True,-1,0
张凯翔,True,-1,0
黄钰婷,True,-1,0
张建军,False,1,0
林麗娟,False,0,0
NA,True,-1,0
杨桂英,False,1,0
李建华,False,1,0
李承恩,True,0,0
李桂珍,False,1,0
刘秀兰,False,1,0
李桂珍,False,1,0
张志强,False,1,0
李桂珍,False,1,0
NA,True,-1,0
李桂珍,False,1,0
刘建军,False,1,0
李桂珍,False,1,0
黄钰婷,True,-1,0
李建华,True,1,0
李桂珍,False,1,0
NA,True,-1,0
Li Hua,True,-1,0
李建华,False,1,0
NA,True,-1,0
Liu Jian,True,-1,0
Li Hua,True,-1,0
黄钰婷,True,-1,0
NA,True,-1,0
NA,True,-1,0
张志强,False,1,0
NA,True,-1,0
张建军,False,1,0
张志强,True,1,0
张志强,False,1,0
NA,True,-1,0
黄钰婷,True,-1,0
李桂珍,False,1,0
NA,True,-1,0
张建军,False,1,0
张建军,False,1,0
李建华,False,1,0
张建军,False,1,0
NA,True,-1,0
黃钰婷,True,-1,0
NA,True,-1,0
NA,True,-1,0
李桂珍,False,1,0
NA,True,-1,0
刘建军,False,1,0
张建军,False,1,0
NA,True,-1,0
杨桂英,False,1,0
NA,True,-1,0
NA,True,-1,0
陈丽卿,True,-1,0
刘秀兰,True,1,0
李建华,False,1,0
李桂珍,False,1,0
李建华,False,1,0
NA,True,-1,0
NA,True,-1,0
Yue Ting Huang,True,-1,0
张丽卿,True,-1,0
NA,True,-1,0
张志强,False,1,0
李桂珍,False,1,0
李桂珍,False,1,0
NA,True,-1,0
王志强,True,1,0
NA,True,-1,0
李建华,False,1,0
Li Hua,True,-1,0
张凯翔,True,-1,0
黄钰婷,True,-1,0
李建华,False,1,0
NA,True,-1,0
李承恩,False,0,0
张凯翔,True,-1,0
NA,True,-1,0
NA,True,-1,0
李桂珍,False,1,0
张志强,False,1,0
李建华,False,1,0
张凯翔,True,-1,0
NA,True,-1,0
刘建军,False,1,0
李建华,False,1,0
李华,True,-1,0
李建华,False,1,0
李建华,False,1,0
NA,True,-1,0
李建华,False,1,0
NA,True,-1,0
李建华,False,1,0
张建军,False,1,0
NA,True,-1,0
NA,True,-1,0
Li Hua,True,-1,0
NA,True,-1,0
NA,True,-1,0
张建军,False,1,0
王志强,False,1,0
张志强,False,1,0
李桂珍,False,1,0
黄钰婷,True,-1,0
李建华,False,1,0
NA,True,-1,0
NA,True,-1,0
李承恩,True,0,0
林明德,False,0,0
李桂珍,False,1,0
Yang Guying,True,-1,0
NA,True,-1,0
NA,True,-1,0
李承恩,False,0,0
李承恩,False,0,0
NA,True,-1,0
张凯翔,True,-1,0
李建华,False,1,0
NA,True,-1,0
李桂珍,False,1,0
李桂珍,False,1,0
林明德,True,0,0
"张, 建, 军",True,-1,0
李桂珍,False,1,0
"陈, 玉, 兰",True,-1,0
NA,True,-1,0
NA,True,-1,0
李建华,False,1,0
李建华,False,1,0
张建军,False,1,0
李桂珍,False,1,0
张建军,True,1,0
NA,True,-1,0
黃钰婷,True,-1,0
NA,True,-1,0
NA,True,-1,0
陈丽卿,True,-1,0
Xiao Zhang,True,-1,0
张建军,True,1,0
NA,True,-1,0
Zhang Jiantang,True,-1,0
NA,True,-1,0
NA,True,-1,0
NA,True,-1,0
黄钰婷,True,-1,0
NA,True,-1,0
NA,True,-1,0
黄钰婷,True,-1,0
李建华,False,1,0
林秀美,False,0,0
李桂珍,False,1,0
NA,True,-1,0
