extracted_name,refine_flag,region,trial_num
NA,True,-1,0
NA,True,-1,0
NA,True,-1,0
陈丽卿,True,-1,0
黄钰婷,True,-1,0
NA,True,-1,0
刘秀兰,True,1,0
NA,True,-1,0
陈丽卿,True,-1,0
NA,True,-1,0
NA,True,-1,0
NA,True,-1,0
NA,True,-1,0
NA,True,-1,0
陈柏谚,True,-1,0
NA,True,-1,0
NA,True,-1,0
NA,True,-1,0
陈柏谚,True,-1,0
NA,True,-1,0
NA,True,-1,0
NA,True,-1,0
NA,True,-1,0
NA,True,-1,0
NA,True,-1,0
NA,True,-1,0
李承恩,False,0,0
NA,True,-1,0
陈丽珠,True,-1,0
NA,True,-1,0
NA,True,-1,0
NA,True,-1,0
李建华,False,1,0
陈丽卿,True,-1,0
NA,True,-1,0
张建军,False,1,0
黄钰婷,True,-1,0
林明德,False,0,0
NA,True,-1,0
李建华,False,1,0
NA,True,-1,0
NA,True,-1,0
NA,True,-1,0
NA,True,-1,0
NA,True,-1,0
李承恩,False,0,0
李桂珍,True,1,0
李秀兰,True,-1,0
NA,True,-1,0
NA,True,-1,0
李桂珍,False,1,0
NA,True,-1,0
NA,True,-1,0
NA,True,-1,0
张建军,False,1,0
李建华,False,1,0
NA,True,-1,0
NA,True,-1,0
NA,True,-1,0
NA,True,-1,0
NA,True,-1,0
李承恩,False,0,0
NA,True,-1,0
陈丽珠,True,-1,0
NA,True,-1,0
张建军,False,1,0
陈柏谚,True,-1,0
NA,True,-1,0
NA,True,-1,0
NA,True,-1,0
李承恩,False,0,0
NA,True,-1,0
NA,True,-1,0
NA,True,-1,0
陈丽卿,True,-1,0
NA,True,-1,0
黃鈺婷,True,0,0
NA,True,-1,0
陈丽卿,True,-1,0
NA,True,-1,0
NA,True,-1,0
NA,True,-1,0
NA,True,-1,0
李建华,True,1,0
陈桂英,False,1,0
张建军,True,1,0
NA,True,-1,0
NA,True,-1,0
李建华,False,1,0
NA,True,-1,0
NA,True,-1,0
张志强,False,1,0
NA,True,-1,0
李桂珍,False,1,0
NA,True,-1,0
NA,True,-1,0
NA,True,-1,0
NA,True,-1,0
李建华,False,1,0
张建军,False,1,0
张凱翔,True,-1,0
NA,True,-1,0
陈柏谚,True,-1,0
张建军,False,1,0
NA,True,-1,0
NA,True,-1,0
NA,True,-1,0
李桂珍,False,1,0
NA,True,-1,0
NA,True,-1,0
陈柏谚,True,-1,0
NA,True,-1,0
陈丽卿,True,-1,0
NA,True,-1,0
NA,True,-1,0
NA,True,-1,0
NA,True,-1,0
NA,True,-1,0
李建华,False,1,0
NA,True,-1,0
NA,True,-1,0
张建军,True,1,0
NA,True,-1,0
陈丽卿,True,-1,0
NA,True,-1,0
张建军,True,1,0
李桂珍,False,1,0
NA,True,-1,0
王志强,True,1,0
NA,True,-1,0
NA,True,-1,0
NA,True,-1,0
张建军,True,1,0
李承恩,False,0,0
NA,True,-1,0
NA,True,-1,0
NA,True,-1,0
NA,True,-1,0
李建华,True,1,0
李建华,False,1,0
NA,True,-1,0
NA,True,-1,0
NA,True,-1,0
陈玉兰,False,1,0
NA,True,-1,0
NA,True,-1,0
NA,True,-1,0
NA,True,-1,0
NA,True,-1,0
张建军,False,1,0
NA,True,-1,0
NA,True,-1,0
李建华,False,1,0
NA,True,-1,0
NA,True,-1,0
NA,True,-1,0
陳麗卿,False,0,0
NA,True,-1,0
张建军,True,1,0
张建军,False,1,0
陈丽珠,True,-1,0
NA,True,-1,0
李承恩,False,0,0
NA,True,-1,0
NA,True,-1,0
NA,True,-1,0
NA,True,-1,0
张建军,False,1,0
NA,True,-1,0
NA,True,-1,0
NA,True,-1,0
王志强,True,1,0
黄钰婷,True,-1,0
NA,True,-1,0
NA,True,-1,0
李建华,False,1,0
NA,True,-1,0
NA,True,-1,0
NA,True,-1,0
NA,True,-1,0
