,extracted_name,refine_flag,region,trial_num
0,,True,-1,0
1,李玉英,False,1,0
2,,True,-1,0
3,,True,-1,0
4,,True,-1,0
5,,True,-1,0
6,,True,-1,0
7,,True,-1,0
8,,True,-1,0
9,陳淑貞,True,0,0
10,,True,-1,0
11,张玉兰,False,1,0
12,,True,-1,0
13,李佳蓉,False,0,0
14,,True,-1,0
15,,True,-1,0
16,张桂珍,False,1,0
17,,True,-1,0
18,李紅霞,True,-1,0
19,,True,-1,0
20,,True,-1,0
21,,True,-1,0
22,,True,-1,0
23,,True,-1,0
24,李玉英,False,1,0
25,,True,-1,0
26,王桂珍,True,-1,0
27,陳威廷,False,0,0
28,,True,-1,0
29,,True,-1,0
30,李秀珍,False,1,0
31,,True,-1,0
32,,True,-1,0
33,,True,-1,0
34,,True,-1,0
35,,True,-1,0
36,张玉兰,False,1,0
37,,True,-1,0
38,,True,-1,0
39,张玉兰,False,1,0
40,张桂珍,False,1,0
41,,True,-1,0
42,,True,-1,0
43,,True,-1,0
44,李志强,False,1,0
45,张桂珍,False,1,0
46,,True,-1,0
47,李佳蓉,False,0,0
48,李紅霞,True,-1,0
49,,True,-1,0
50,,True,-1,0
51,李玉英,False,1,0
52,,True,-1,0
53,,True,-1,0
54,李秀珍,False,1,0
55,,True,-1,0
56,,True,-1,0
57,,True,-1,0
58,,True,-1,0
59,,True,-1,0
60,刘桂荣,False,1,0
61,,True,-1,0
62,李紅霞,True,-1,0
63,,True,-1,0
64,,True,-1,0
65,劉桂榮,True,-1,0
66,李玉英,False,1,0
67,李志强,True,1,0
68,,True,-1,0
69,张桂珍,False,1,0
70,,True,-1,0
71,李紅霞,True,-1,0
72,陳淑貞,False,0,0
73,,True,-1,0
74,李紅霞,True,-1,0
75,,True,-1,0
76,,True,-1,0
77,,True,-1,0
78,,True,-1,0
79,李紅霞,True,-1,0
80,,True,-1,0
81,,True,-1,0
82,,True,-1,0
83,,True,-1,0
84,,True,-1,0
85,,True,-1,0
86,,True,-1,0
87,,True,-1,0
88,李红霞,True,1,0
89,,True,-1,0
90,,True,-1,0
91,,True,-1,0
92,陳威廷,False,0,0
93,,True,-1,0
94,王桂芳,False,1,0
95,陳俊宇,False,0,0
96,,True,-1,0
97,李紅霞,True,-1,0
98,,True,-1,0
99,,True,-1,0
100,李秀珍,False,1,0
101,李红霞,False,1,0
102,,True,-1,0
103,,True,-1,0
104,,True,-1,0
105,,True,-1,0
106,張玉兰,True,-1,0
107,李玉英,False,1,0
108,李玉英,False,1,0
109,陳威廷,False,0,0
110,,True,-1,0
111,,True,-1,0
112,,True,-1,0
113,,True,-1,0
114,,True,-1,0
115,,True,-1,0
116,,True,-1,0
117,张桂珍,False,1,0
118,,True,-1,0
119,,True,-1,0
120,,True,-1,0
121,,True,-1,0
122,,True,-1,0
123,李秀珍,False,1,0
124,,True,-1,0
125,,True,-1,0
126,,True,-1,0
127,,True,-1,0
128,,True,-1,0
129,,True,-1,0
130,,True,-1,0
131,陳彥廷,True,0,0
132,,True,-1,0
133,刘桂荣,False,1,0
134,李佳蓉,False,0,0
135,,True,-1,0
136,陈彦廷,True,-1,0
137,,True,-1,0
138,,True,-1,0
139,,True,-1,0
140,,True,-1,0
141,李秀珍,False,1,0
142,李玉英,False,1,0
143,陳彥廷,True,0,0
144,王桂芳,False,1,0
145,李红霞,False,1,0
146,,True,-1,0
147,,True,-1,0
148,,True,-1,0
149,李紅霞,True,-1,0
150,,True,-1,0
151,李红霞,False,1,0
152,张桂珍,False,1,0
153,李秀珍,False,1,0
154,,True,-1,0
155,,True,-1,0
156,,True,-1,0
157,陳威廷,True,0,0
158,,True,-1,0
159,,True,-1,0
160,李紅霞,True,-1,0
161,,True,-1,0
162,李秀珍,True,1,0
163,,True,-1,0
164,,True,-1,0
165,,True,-1,0
166,,True,-1,0
167,,True,-1,0
168,,True,-1,0
169,,True,-1,0
170,,True,-1,0
171,,True,-1,0
172,,True,-1,0
173,,True,-1,0
174,李秀珍,True,1,0
175,,True,-1,0
176,,True,-1,0
177,李红霞,False,1,0
178,,True,-1,0
179,,True,-1,0
180,,True,-1,1
181,,True,-1,1
182,,True,-1,1
183,陈玉英,False,1,1
184,,True,-1,1
185,,True,-1,1
186,,True,-1,1
187,,True,-1,1
188,,True,-1,1
189,,True,-1,1
190,,True,-1,1
191,李淑芬,False,0,1
192,,True,-1,1
