extracted_name,refine_flag,region,trial_num
王淑华,False,1,0
陳麗華,False,0,0
王淑华,False,1,0
陳麗華,False,0,0
陳麗華,False,0,0
林淑華,False,0,0
陳麗華,False,0,0
陳麗華,False,0,0
林淑華,False,0,0
林淑華,False,0,0
陳麗華,False,0,0
陳麗華,False,0,0
王淑华,False,1,0
林淑華,False,0,0
林淑華,False,0,0
陳麗華,False,0,0
陳麗華,False,0,0
林淑華,False,0,0
王淑华,False,1,0
陳麗華,False,0,0
陳麗華,False,0,0
陳麗華,False,0,0
林淑華,False,0,0
陳麗華,False,0,0
林淑華,False,0,0
王淑华,False,1,0
陳麗華,False,0,0
陳麗華,False,0,0
陳麗華,False,0,0
陳麗華,False,0,0
陈丽华,True,-1,0
陳麗華,False,0,0
张丽娟,False,1,0
陳麗華,False,0,0
陳麗華,False,0,0
陳麗華,False,0,0
陳麗華,False,0,0
陳麗華,False,0,0
王淑华,False,1,0
林淑华,True,-1,0
王淑华,False,1,0
陳麗華,False,0,0
陈丽华,True,-1,0
陳麗華,False,0,0
陳麗華,False,0,0
陳麗華,False,0,0
陳麗華,False,0,0
林淑華,False,0,0
林淑華,False,0,0
陳麗華,False,0,0
陳麗華,False,0,0
王淑华,False,1,0
陳麗華,False,0,0
林淑華,False,0,0
王丽华,False,1,0
林淑華,False,0,0
陳麗華,False,0,0
王丽华,False,1,0
王淑华,False,1,0
林淑華,False,0,0
王淑华,False,1,0
陳麗華,False,0,0
陳麗華,False,0,0
林淑華,False,0,0
林淑華,False,0,0
王淑华,False,1,0
陳麗華,False,0,0
陳麗華,False,0,0
王淑华,False,1,0
张丽娟,False,1,0
陳麗華,False,0,0
陳麗華,False,0,0
陳麗華,False,0,0
陳麗華,False,0,0
陳麗華,False,0,0
王淑华,False,1,0
王淑华,False,1,0
王淑华,False,1,0
林淑華,False,0,0
王淑华,False,1,0
王淑华,False,1,1
王淑华,False,1,1
陳麗華,False,0,1
陳麗華,False,0,1
林淑華,False,0,1
陳麗華,False,0,1
林淑华,True,-1,1
王丽华,False,1,1
张丽娟,False,1,1
林淑華,False,0,1
王淑华,False,1,1
陳麗華,False,0,1
