extracted_name,refine_flag,region,trial_num
张志强,False,1,0
NA,True,-1,0
林麗娟,False,0,0
刘建军,False,1,0
NA,True,-1,0
张建军,False,1,0
林明德,False,0,0
陈麗卿,True,-1,0
陈俊良,True,-1,0
刘建军,False,1,0
王志强,False,1,0
陈俊良,True,-1,0
张建军,False,1,0
NA,True,-1,0
张凯翔,True,-1,0
王志强,False,1,0
陈玉兰,False,1,0
陈俊良,True,-1,0
刘建军,False,1,0
王志强,False,1,0
张建军,False,1,0
陈麗卿,True,-1,0
李建华,False,1,0
张建军,False,1,0
张志强,False,1,0
李建华,False,1,0
刘建军,False,1,0
NA,True,-1,0
NA,True,-1,0
张建军,False,1,0
李建华,False,1,0
NA,True,-1,0
林麗娟,False,0,0
陈麗卿,True,-1,0
张建军,False,1,0
王志强,False,1,0
李承恩,False,0,0
林秀美,False,0,0
林麗娟,False,0,0
陈俊良,True,-1,0
刘建军,False,1,0
杨桂英,False,1,0
NA,True,-1,0
陈麗珠,True,-1,0
王志强,False,1,0
刘建军,False,1,0
李建华,False,1,0
刘建军,False,1,0
陈俊良,True,-1,0
张建军,False,1,0
林明德,False,0,0
张志强,False,1,0
林秀美,False,0,0
王志强,False,1,0
张建军,False,1,0
张建军,False,1,0
NA,True,-1,0
陈俊良,True,-1,0
张志强,False,1,0
NA,True,-1,0
陈俊良,True,-1,0
NA,True,-1,0
张建军,False,1,0
杨桂英,False,1,0
刘建军,False,1,0
刘建军,False,1,0
张建军,False,1,0
张建军,False,1,0
王志强,False,1,0
张志强,False,1,0
王志强,False,1,0
李建华,False,1,0
张建军,False,1,0
NA,True,-1,0
陈麗珠,True,-1,0
张凯翔,True,-1,0
李建华,False,1,0
陈俊良,True,-1,0
李建华,False,1,0
王志强,False,1,0
李建华,False,1,0
陈俊良,True,-1,0
NA,True,-1,0
陈麗卿,True,-1,0
NA,True,-1,0
NA,True,-1,0
陈俊良,True,-1,0
NA,True,-1,0
杨桂英,False,1,0
张建军,False,1,0
林明德,False,0,0
张建军,False,1,0
王志强,False,1,0
张建军,False,1,0
李建华,False,1,0
张志强,False,1,0
王志强,False,1,0
刘建军,False,1,0
NA,True,-1,0
王志强,False,1,0
刘建军,False,1,0
王志强,False,1,0
王志强,False,1,0
王志强,False,1,0
刘建军,False,1,0
林明德,False,0,0
张建军,False,1,0
李建华,False,1,0
张凯翔,True,-1,0
王志强,False,1,0
陈麗珠,True,-1,0
陈俊良,True,-1,0
刘建军,False,1,0
陈麗卿,True,-1,0
陈麗卿,True,-1,0
刘建军,False,1,0
NA,True,-1,0
刘建军,False,1,0
刘建军,False,1,0
NA,True,-1,0
王志强,False,1,0
NA,True,-1,0
刘建军,False,1,0
张建军,False,1,0
陈玉兰,False,1,0
李建华,False,1,0
张志强,False,1,0
NA,True,-1,0
张建军,False,1,0
NA,True,-1,0
陈玉兰,False,1,0
张凯翔,True,-1,0
陈俊良,True,-1,0
王志强,False,1,0
张志强,False,1,0
NA,True,-1,0
刘建军,False,1,0
NA,True,-1,0
NA,True,-1,0
王志强,False,1,0
林秀美,False,0,0
NA,True,-1,0
刘建军,False,1,0
李建华,False,1,0
王志强,False,1,0
陈俊良,True,-1,0
张建军,False,1,0
NA,True,-1,0
刘建军,False,1,0
王志强,False,1,0
王志强,False,1,0
李建华,False,1,0
刘建军,False,1,0
王志强,False,1,0
刘建军,False,1,0
刘建军,False,1,0
NA,True,-1,0
王志强,False,1,0
林明德,False,0,0
林麗娟,False,0,0
NA,True,-1,0
李建华,False,1,0
NA,True,-1,0
李建华,False,1,0
NA,True,-1,0
张志强,False,1,0
张建军,False,1,0
张建军,False,1,0
刘建军,False,1,0
NA,True,-1,0
林秀美,False,0,0
李建华,False,1,0
陈俊良,True,-1,0
王志强,False,1,0
刘建军,False,1,0
李建华,False,1,0
刘建军,False,1,0
林秀美,False,0,0
陈俊良,True,-1,0
张建军,False,1,0
