,extracted_name,refine_flag,region,trial_num
0,張雅婷,False,0,0
1,陳俊宇,False,0,0
2,陳俊宇,False,0,0
3,陳俊宇,False,0,0
4,陳冠霖,False,0,0
5,陳俊宇,False,0,0
6,王建国,False,1,0
7,王建国,False,1,0
8,,True,-1,0
9,王建国,False,1,0
10,陳冠霖,False,0,0
11,陳韻如,False,0,0
12,陈玉兰,False,1,0
13,王建国,False,1,0
14,陳俊宇,False,0,0
15,張雅婷,False,0,0
16,王建国,False,1,0
17,陳冠霖,False,0,0
18,陳俊宇,False,0,0
19,陳冠霖,False,0,0
20,陳冠霖,False,0,0
21,陳冠霖,False,0,0
22,張雅婷,False,0,0
23,王建国,False,1,0
24,陳韻如,False,0,0
25,陳俊宇,False,0,0
26,陳俊宇,False,0,0
27,陳俊宇,False,0,0
28,王建国,False,1,0
29,陳俊宇,False,0,0
30,陳俊宇,False,0,0
31,陳韻如,False,0,0
32,陳俊宇,False,0,0
33,陳韻如,False,0,0
34,王建国,False,1,0
35,張玉蘭,True,-1,0
36,王建国,False,1,0
37,陳冠霖,False,0,0
38,王建国,False,1,0
39,張玉蘭,True,-1,0
40,王建国,False,1,0
41,陳俊宇,False,0,0
42,陳冠霖,False,0,0
43,陳韻如,False,0,0
44,陳威廷,False,0,0
45,王建国,False,1,0
46,陳俊宇,False,0,0
47,陳俊宇,False,0,0
48,陳韻如,False,0,0
49,陳玉兰,True,-1,0
50,陳冠霖,False,0,0
51,王建国,False,1,0
52,張雅婷,False,0,0
53,張雅婷,False,0,0
54,張雅婷,False,0,0
55,王建国,False,1,0
56,陳俊宇,False,0,0
57,王建国,False,1,0
58,張雅婷,False,0,0
59,陳韻如,False,0,0
60,陳韻如,False,0,0
61,陳威廷,False,0,0
62,陳韻如,False,0,0
63,王建国,False,1,0
64,陳俊宇,False,0,0
65,陳威廷,False,0,0
66,陳冠霖,False,0,0
67,陳韻如,False,0,0
68,張雅婷,False,0,0
69,陳俊宇,False,0,0
70,陳俊宇,False,0,0
71,陳俊宇,False,0,0
72,張玉蘭,True,-1,0
73,陈俊宇,True,-1,0
74,陳冠霖,False,0,0
75,陳俊宇,False,0,0
76,陳俊宇,False,0,0
77,陳冠霖,False,0,0
78,陳冠霖,False,0,0
79,王建国,False,1,0
80,林美華,False,0,0
81,陳俊宇,False,0,0
82,陳威廷,False,0,0
83,陳俊宇,False,0,0
84,陳俊宇,False,0,0
85,陳韻如,False,0,0
86,王建国,False,1,0
87,陳俊宇,False,0,0
88,陳威廷,False,0,0
89,陳彥廷,False,0,0
90,陳俊宇,False,0,0
91,陳俊宇,False,0,0
92,陈威廷,True,-1,0
93,陳威廷,False,0,0
94,陳威廷,False,0,0
95,陳冠霖,False,0,0
96,陳冠霖,False,0,0
97,陳俊宇,False,0,0
98,陳韻如,False,0,0
99,王建国,False,1,0
100,王建国,False,1,0
101,陳冠霖,False,0,0
102,陳俊宇,False,0,0
103,陳威廷,False,0,0
104,陳俊宇,False,0,0
105,陳冠霖,False,0,0
106,陳冠霖,False,0,0
107,王建国,False,1,0
108,陳俊宇,False,0,0
109,陳玉兰,True,-1,0
110,陳俊宇,False,0,0
111,張雅婷,False,0,0
112,陳俊宇,False,0,0
113,陳韻如,False,0,0
114,陳俊宇,False,0,0
115,陳冠霖,False,0,0
116,陳俊宇,False,0,0
117,陳冠霖,False,0,0
118,陳韻如,False,0,0
119,王建国,False,1,0
120,陳俊宇,False,0,0
121,陳冠霖,False,0,0
122,陳俊宇,False,0,0
123,陳玉兰,True,-1,0
124,王建国,False,1,0
125,陳俊宇,False,0,0
126,張玉兰,True,-1,0
127,陳冠霖,False,0,0
128,陈俊宇,True,-1,0
129,陳冠霖,False,0,0
130,陈俊宇,True,-1,0
131,陳冠霖,False,0,0
132,陳俊宇,False,0,0
133,陳冠霖,False,0,0
134,陳冠霖,False,0,0
135,王建国,False,1,0
136,陈玉兰,False,1,0
137,王建国,False,1,0
138,陳俊宇,False,0,0
139,王建国,False,1,0
140,王建国,False,1,0
141,張玉蘭,True,-1,0
142,陳冠霖,False,0,0
143,林美華,False,0,0
144,陳韻如,False,0,0
145,陈玉兰,False,1,0
146,陳韻如,False,0,0
147,陳韻如,False,0,0
148,陳俊宇,False,0,0
149,陳冠霖,False,0,0
150,陳韻如,False,0,0
151,王建国,False,1,0
152,陳冠霖,False,0,0
153,王建国,False,1,0
154,張玉蘭,True,-1,0
155,陳韻如,False,0,0
156,陳韻如,False,0,0
157,王建国,False,1,0
158,陳俊宇,False,0,0
159,陳俊宇,False,0,0
160,陳俊宇,False,0,0
161,陳俊宇,False,0,0
162,陳俊宇,False,0,0
163,陳韻如,False,0,0
164,陳俊宇,False,0,0
165,陳俊宇,False,0,0
166,陳韻如,False,0,0
167,陳俊宇,False,0,0
168,張桂珍,True,-1,0
169,陳俊宇,False,0,0
170,陳韻如,False,0,0
171,陈威廷,True,-1,0
172,陳俊宇,False,0,0
173,王建国,False,1,0
174,陳韻如,False,0,0
175,陳俊宇,False,0,0
176,陳威廷,False,0,0
177,陳韻如,False,0,0
178,陳冠霖,False,0,0
179,陳俊宇,False,0,0
180,陳志豪,False,0,1
181,陳志豪,False,0,1
182,陳志豪,False,0,1
183,陳冠霖,False,0,1
184,林俊宏,False,0,1
185,陳志豪,False,0,1
186,林俊宏,False,0,1
187,林俊宏,False,0,1
188,張桂榮,True,-1,1
189,陳柏宇,False,0,1
190,張桂荣,True,-1,1
191,林俊宏,False,0,1
192,陳志豪,False,0,1
193,林俊宏,False,0,1
194,陳志豪,False,0,1
195,林俊宏,False,0,1
196,陈秀珍,False,1,1
197,陳冠霖,False,0,1
198,林俊宏,False,0,1
199,陳秀珍,True,-1,1
200,陳志豪,False,0,1
201,林俊宏,False,0,1
202,林俊宏,False,0,1
203,陳志豪,False,0,1
204,林俊宏,False,0,1
205,林俊宏,False,0,1
206,林俊宏,False,0,1
207,陳冠霖,False,0,1
208,林俊宏,False,0,1
209,陳冠霖,False,0,1
210,林俊宏,False,0,1
211,陳志豪,False,0,1
212,林俊宏,False,0,1
213,陳志豪,False,0,1
214,林俊宏,False,0,1
215,陈玉英,False,1,1
216,陳志豪,False,0,1
217,陳柏宇,False,0,1
218,張凤英,True,-1,1
219,陳怡安,False,0,1
220,張凤英,True,-1,1
221,林俊宏,False,0,1
222,林俊宏,False,0,1
223,陳冠霖,False,0,1
224,林俊宏,False,0,1
225,林俊宏,False,0,1
226,陳怡安,False,0,1
227,林俊宏,False,0,1
228,林俊宏,False,0,1
229,林俊宏,False,0,1
230,陳怡安,False,0,1
231,林俊宏,False,0,1
232,陳柏宇,False,0,1
233,陳玉英,True,-1,1
234,陳玉英,True,-1,1
235,林俊宏,False,0,1
236,林俊宏,False,0,1
237,陳志豪,False,0,1
238,林俊宏,False,0,1
239,林俊宏,False,0,1
240,張凤英,True,-1,1
241,林俊宏,False,0,1
242,陳怡安,False,0,1
243,林俊宏,False,0,1
244,林俊宏,False,0,1
245,陳冠霖,False,0,1
246,陳怡安,False,0,1
247,林俊宏,False,0,1
248,林俊宏,False,0,1
249,林俊宏,False,0,1
250,林俊宏,False,0,1
251,林俊宏,False,0,1
252,陳志豪,False,0,1
253,陳怡安,False,0,1
254,陳怡安,False,0,1
255,林俊宏,False,0,1
256,陳冠霖,False,0,1
257,陳玉英,True,-1,1
258,陳冠霖,False,0,1
259,陳冠霖,False,0,1
260,陳冠霖,False,0,1
261,林俊宏,False,0,1
262,林俊宏,False,0,1
263,陳志豪,False,0,1
264,林俊宏,False,0,1
265,林俊宏,False,0,1
266,陳志豪,False,0,1
267,陳冠霖,False,0,1
268,陳玉英,True,-1,1
269,林俊宏,False,0,1
270,林俊宏,False,0,1
271,林俊宏,False,0,1
272,陳志豪,False,0,1
273,陳志豪,False,0,1
274,林俊宏,False,0,1
275,陳志豪,False,0,1
276,林俊宏,False,0,1
277,林俊宏,False,0,1
278,陳怡安,False,0,1
279,林俊宏,False,0,1
280,陳志豪,False,0,1
281,林俊宏,False,0,1
282,陳冠霖,False,0,1
283,陳怡安,False,0,1
284,王秀珍,False,1,1
285,陳冠霖,False,0,1
286,林俊宏,False,0,1
287,陳志豪,False,0,1
288,陳冠霖,False,0,1
289,陳冠霖,False,0,1
290,陳玉英,True,-1,1
291,林俊宏,False,0,1
292,林俊宏,False,0,1
293,陳志豪,False,0,1
294,林俊宏,False,0,1
295,陳志豪,False,0,1
296,陳秀珍,True,-1,1
297,林俊宏,False,0,1
298,林俊宏,False,0,1
299,陳怡安,False,0,1
300,陳玉英,True,-1,1
301,林俊宏,False,0,1
302,林俊宏,False,0,1
303,陳秀珍,True,-1,1
304,陳冠霖,False,0,1
305,林俊宏,False,0,1
306,王秀华,False,1,1
307,陳柏宇,False,0,1
308,陳玉英,True,-1,1
309,林俊宏,False,0,1
310,林俊宏,False,0,1
311,陳志豪,False,0,1
312,林俊宏,False,0,1
313,林俊宏,False,0,1
314,林俊宏,False,0,1
315,林俊宏,False,0,1
316,林俊宏,False,0,1
317,林俊宏,False,0,1
318,陳冠霖,False,0,1
319,林俊宏,False,0,1
320,林俊宏,False,0,1
321,林俊宏,False,0,1
322,林俊宏,False,0,1
323,林俊宏,False,0,1
324,林俊宏,False,0,1
325,林俊宏,False,0,1
326,林俊宏,False,0,1
327,陳志豪,False,0,1
328,陳秀珍,True,-1,1
329,張桂榮,True,-1,1
330,林俊宏,False,0,1
331,林俊宏,False,0,1
332,林俊宏,False,0,1
333,林俊宏,False,0,1
334,林俊宏,False,0,1
335,林俊宏,False,0,1
336,林俊宏,False,0,1
337,林俊宏,False,0,1
338,林俊宏,False,0,1
339,陳怡安,False,0,1
340,林俊宏,False,0,1
341,林俊宏,False,0,1
342,林俊宏,False,0,1
343,陳志豪,False,0,1
344,林俊宏,False,0,1
345,林俊宏,False,0,1
346,陳志豪,False,0,1
347,林俊宏,False,0,1
348,陳柏宇,False,0,1
349,林俊宏,False,0,1
350,林俊宏,False,0,1
351,林俊宏,False,0,1
352,陳秀珍,True,-1,1
353,林俊宏,False,0,1
354,陳冠霖,False,0,1
355,林俊宏,False,0,1
356,陳怡安,False,0,1
357,林俊宏,False,0,1
358,陳志豪,False,0,1
359,林俊宏,False,0,1
360,張建軍,True,-1,2
361,張建軍,True,-1,2
362,張建軍,True,-1,2
363,張建軍,True,-1,2
364,張建軍,True,-1,2
365,張建軍,True,-1,2
366,張建軍,True,-1,2
367,張建軍,True,-1,2
368,張建軍,True,-1,2
369,張建軍,True,-1,2
370,張建軍,True,-1,2
371,張建军,True,-1,2
372,張建軍,True,-1,2
373,張建軍,True,-1,2
374,張建軍,True,-1,2
375,張建軍,True,-1,2
376,張建軍,True,-1,2
377,張建軍,True,-1,2
378,張建軍,True,-1,2
379,張建軍,True,-1,2
