,extracted_name,refine_flag,region,trial_num
0,刘红梅,False,1,0
1,张海燕,False,1,0
2,李俊毅,False,0,0
3,蔡承翰,False,0,0
4,张海燕,False,1,0
5,张海燕,False,1,0
6,李俊毅,True,0,0
7,蔡承翰,False,0,0
8,,True,-1,0
9,刘红梅,True,1,0
10,蔡承恩,False,0,0
11,李俊毅,False,0,0
12,刘红梅,False,1,0
13,,True,-1,0
14,陳文雄,False,0,0
15,张海燕,False,1,0
16,李淑英,True,1,0
17,王桂荣,False,1,0
18,张海燕,False,1,0
19,陳美惠,False,0,0
20,李俊毅,False,0,0
21,张海燕,False,1,0
22,林秀美,False,0,0
23,,True,-1,0
24,林雅婷,False,0,0
25,张桂珍,False,1,0
26,,True,-1,0
27,李兰英,False,1,0
28,林秀美,False,0,0
29,李淑英,False,1,0
30,刘玉梅,False,1,0
31,蔡承翰,False,0,0
32,张海燕,False,1,0
33,,True,-1,0
34,蔡承翰,False,0,0
35,陳文雄,False,0,0
36,张海燕,False,1,0
37,张海燕,False,1,0
38,李俊毅,True,0,0
39,蔡承翰,False,0,0
40,刘红梅,False,1,0
41,,True,-1,0
42,,True,-1,0
43,蔡承翰,False,0,0
44,陳文雄,False,0,0
45,李俊毅,False,0,0
46,李俊毅,False,0,0
47,张海燕,False,1,0
48,,True,-1,0
49,蔡承恩,False,0,0
50,林秀美,False,0,0
51,蔡承恩,True,0,0
52,蔡承恩,True,0,0
53,林秀美,False,0,0
54,蔡承翰,False,0,0
55,,True,-1,0
56,蔡承恩,False,0,0
57,蔡承翰,False,0,0
58,蔡承恩,False,0,0
59,李俊毅,False,0,0
60,李俊毅,False,0,0
61,刘红梅,False,1,0
62,张海燕,False,1,0
63,张海燕,False,1,0
64,張淑芬,False,0,0
65,李俊毅,False,0,0
66,张海燕,False,1,0
67,刘红梅,False,1,0
68,林秀美,False,0,0
69,刘红梅,False,1,0
70,張淑芬,False,0,0
71,王桂荣,False,1,0
72,蔡承恩,False,0,0
73,李俊毅,False,0,0
74,張淑芬,False,0,0
75,张海燕,False,1,0
76,,True,-1,0
77,张海燕,False,1,0
78,蔡承恩,False,0,0
79,李淑英,False,1,0
80,林雅婷,False,0,0
81,李俊毅,False,0,0
82,刘红梅,False,1,0
83,蔡承翰,False,0,0
84,,True,-1,0
85,,True,-1,0
86,,True,-1,0
87,陳宥蓁,False,0,0
88,王建平,True,1,0
89,王桂荣,False,1,0
90,林雅婷,False,0,0
91,蔡承恩,False,0,0
92,李俊毅,False,0,0
93,李兰英,False,1,0
94,張淑芬,False,0,0
95,李俊毅,False,0,0
96,李淑英,False,1,0
97,林秀美,False,0,0
98,李俊毅,False,0,0
99,,True,-1,0
100,刘红梅,False,1,0
101,林雅婷,True,0,0
102,,True,-1,0
103,,True,-1,0
104,林秀美,False,0,0
105,李俊毅,False,0,0
106,林秀美,False,0,0
107,蔡承恩,False,0,0
108,李淑英,False,1,0
109,,True,-1,0
110,蔡承恩,False,0,0
111,李俊毅,False,0,0
112,,True,-1,0
113,陳美惠,False,0,0
114,,True,-1,0
115,蔡承翰,False,0,0
116,李俊毅,False,0,0
117,马秀英,False,1,0
118,李俊毅,False,0,0
119,李俊毅,False,0,0
120,张海燕,False,1,0
121,蔡承翰,False,0,0
122,林雅婷,False,0,0
123,张海燕,False,1,0
124,陳宥蓁,False,0,0
125,张桂珍,False,1,0
126,林雅婷,False,0,0
127,,True,-1,0
128,李俊毅,False,0,0
129,张海燕,False,1,0
130,蔡承恩,False,0,0
131,蔡承恩,False,0,0
132,蔡承恩,False,0,0
133,李俊毅,False,0,0
134,,True,-1,0
135,林秀美,False,0,0
136,李俊毅,False,0,0
137,李俊毅,True,0,0
138,,True,-1,0
139,李俊毅,False,0,0
140,林秀美,False,0,0
141,陳美惠,False,0,0
142,王桂荣,True,1,0
143,张海燕,True,1,0
144,李俊毅,True,0,0
145,李俊毅,False,0,0
146,刘红梅,False,1,0
147,,True,-1,0
148,陳宥蓁,False,0,0
149,蔡承恩,False,0,0
150,,True,-1,0
151,林秀美,False,0,0
152,李淑英,False,1,0
153,蔡承翰,False,0,0
154,张海燕,False,1,0
155,,True,-1,0
156,蔡承翰,True,0,0
157,张海燕,False,1,0
158,蔡承恩,False,0,0
159,,True,-1,0
160,張淑芬,False,0,0
161,李兰英,False,1,0
162,陳文雄,False,0,0
163,,True,-1,0
164,李俊毅,False,0,0
165,張淑芬,False,0,0
166,蔡承恩,False,0,0
167,,True,-1,0
168,蔡承恩,True,0,0
169,张海燕,False,1,0
170,刘红梅,False,1,0
171,林秀美,False,0,0
172,刘红梅,False,1,0
173,林秀美,False,0,0
174,,True,-1,0
175,蔡承恩,False,0,0
176,,True,-1,0
177,林雅婷,False,0,0
178,,True,-1,0
179,,True,-1,0
180,陳俊豪,True,0,1
181,刘玉华,False,1,1
182,刘玉兰,False,1,1
183,张秀荣,False,1,1
184,林淑貞,False,0,1
185,林哲宇,False,0,1
186,刘玉兰,False,1,1
187,李桂荣,False,1,1
188,劉冠廷,False,0,1
189,吳承翰,False,0,1
190,李桂荣,False,1,1
191,李桂荣,False,1,1
192,,True,-1,1
193,刘玉兰,False,1,1
194,刘玉兰,False,1,1
195,陳俊豪,False,0,1
196,刘玉华,False,1,1
197,陳麗卿,False,0,1
198,陈秀兰,False,1,1
199,刘玉兰,False,1,1
200,李桂荣,False,1,1
201,,True,-1,1
202,陳俊豪,False,0,1
203,林哲宇,False,0,1
204,,True,-1,1
205,刘玉华,False,1,1
206,刘玉华,False,1,1
207,刘玉华,False,1,1
208,刘玉兰,False,1,1
209,林淑貞,False,0,1
210,刘玉华,False,1,1
211,陈秀兰,False,1,1
212,刘玉兰,False,1,1
213,,True,-1,1
214,林哲宇,False,0,1
215,,True,-1,1
216,陳俊豪,False,0,1
217,陳柏翰,False,0,1
218,張淑貞,False,0,1
219,李桂荣,False,1,1
220,,True,-1,1
221,张秀芳,False,1,1
222,刘玉华,False,1,1
223,陈秀兰,False,1,1
224,劉冠廷,False,0,1
225,吳承翰,False,0,1
226,,True,-1,1
227,李桂荣,False,1,1
228,刘玉兰,False,1,1
229,李淑华,False,1,1
230,刘冠廷,True,-1,1
231,李桂荣,False,1,1
232,刘玉华,False,1,1
233,刘玉华,False,1,1
234,刘玉兰,False,1,1
235,吳承翰,False,0,1
236,刘玉兰,False,1,1
237,李淑华,False,1,1
238,李淑华,False,1,1
239,,True,-1,1
240,張淑貞,False,0,1
241,陳俊豪,False,0,1
242,陳柏翰,True,0,1
243,李桂荣,False,1,1
244,李丹丹,False,1,1
245,,True,-1,1
246,李淑华,True,1,1
247,刘玉华,True,1,1
248,李桂荣,False,1,1
249,,True,-1,1
250,,True,-1,1
251,刘玉兰,False,1,1
252,刘玉兰,False,1,1
253,陳柏翰,False,0,1
254,,True,-1,1
255,,True,-1,1
256,陳麗卿,False,0,1
257,刘玉华,False,1,1
258,刘玉兰,False,1,1
259,李丹丹,False,1,1
260,劉冠廷,False,0,1
261,刘玉华,False,1,1
262,刘玉华,False,1,1
263,林淑貞,False,0,1
264,刘玉兰,False,1,1
265,陳淑美,False,0,1
266,劉冠廷,False,0,1
267,李淑华,False,1,1
268,,True,-1,1
269,李桂荣,False,1,1
270,刘玉华,False,1,1
271,,True,-1,1
272,张秀荣,False,1,1
273,,True,-1,1
274,陳俊豪,False,0,1
275,刘玉华,False,1,1
276,李桂荣,False,1,1
277,刘玉华,False,1,1
278,刘玉兰,False,1,1
279,,True,-1,1
280,刘玉华,False,1,1
281,刘玉华,False,1,1
282,刘玉华,False,1,1
283,刘玉华,False,1,1
284,張淑貞,False,0,1
285,李桂荣,False,1,1
286,李桂荣,False,1,1
287,刘玉兰,False,1,1
288,陈秀兰,False,1,1
289,張淑貞,False,0,1
290,刘玉兰,False,1,1
291,李淑华,False,1,1
292,刘玉华,False,1,1
293,刘玉兰,False,1,1
294,刘玉兰,False,1,1
295,刘玉华,False,1,1
296,林哲宇,False,0,1
297,陳俊豪,False,0,1
298,吳承翰,False,0,1
299,陳俊豪,True,0,1
300,李桂荣,False,1,1
301,陳麗卿,False,0,1
302,刘玉兰,False,1,1
303,林淑貞,False,0,1
304,李淑华,False,1,1
305,刘玉兰,False,1,1
306,林淑貞,False,0,1
307,張淑貞,False,0,1
308,陈秀兰,False,1,1
309,张秀芳,False,1,1
310,刘玉兰,False,1,1
311,刘玉华,True,1,1
312,,True,-1,1
313,陳麗卿,False,0,1
314,李桂荣,False,1,1
315,刘玉兰,False,1,1
316,刘玉兰,False,1,1
317,李桂荣,False,1,1
318,李桂荣,False,1,1
319,陳淑美,True,0,1
320,张秀荣,False,1,1
321,刘玉华,True,1,1
322,刘玉华,False,1,1
323,陳麗卿,False,0,1
324,刘玉兰,False,1,1
325,林哲宇,False,0,1
326,李淑华,False,1,1
327,,True,-1,1
328,刘玉兰,False,1,1
329,刘玉华,False,1,1
