extracted_name,refine_flag,region,trial_num
張凱翔,False,0,0
林明德,False,0,0
张凱翔,True,-1,0
陳麗卿,False,0,0
张凱翔,True,-1,0
王志强,True,1,0
NA,True,-1,0
NA,True,-1,0
李承恩,True,0,0
NA,True,-1,0
NA,True,-1,0
NA,True,-1,0
张建军,False,1,0
林明德,False,0,0
NA,True,-1,0
刘建军,False,1,0
NA,True,-1,0
張建軍,True,-1,0
李承恩,False,0,0
張凱翔,False,0,0
NA,True,-1,0
張凱翔,False,0,0
NA,True,-1,0
NA,True,-1,0
张志强,False,1,0
陳俊良,False,0,0
NA,True,-1,0
NA,True,-1,0
NA,True,-1,0
王志强,True,1,0
李桂珍,False,1,0
张志强,False,1,0
张建军,False,1,0
NA,True,-1,0
NA,True,-1,0
NA,True,-1,0
NA,True,-1,0
NA,True,-1,0
NA,True,-1,0
NA,True,-1,0
张建军,False,1,0
陳麗卿,False,0,0
刘建军,True,1,0
NA,True,-1,0
张建军,False,1,0
NA,True,-1,0
张志强,False,1,0
李桂珍,True,1,0
张建军,False,1,0
Li Jianhua,True,-1,0
杨桂英,False,1,0
張凱翔,False,0,0
林秀美,False,0,0
NA,True,-1,0
張凱翔,False,0,0
李桂珍,False,1,0
林麗娟,False,0,0
张建军,False,1,0
NA,True,-1,0
张志强,False,1,0
NA,True,-1,0
李承恩,False,0,0
陳麗卿,True,0,0
張志強,True,-1,0
林明德,False,0,0
张建军,True,1,0
NA,True,-1,0
陈桂英,False,1,0
張凱翔,False,0,0
NA,True,-1,0
NA,True,-1,0
張凱翔,False,0,0
林麗娟,False,0,0
NA,True,-1,0
張凱翔,False,0,0
NA,True,-1,0
陳俊良,False,0,0
林秀美,False,0,0
NA,True,-1,0
NA,True,-1,0
NA,True,-1,0
張凱翔,False,0,0
张建军,False,1,0
张志强,False,1,0
NA,True,-1,0
NA,True,-1,0
刘建军,True,1,0
李建华,False,1,0
张志强,False,1,0
NA,True,-1,0
黃鈺婷,True,0,0
張凱翔,False,0,0
张志强,False,1,0
Wang Zhiqiang,True,-1,0
李承恩,False,0,0
NA,True,-1,0
NA,True,-1,0
NA,True,-1,0
李建华,True,1,0
張凱翔,True,0,0
张志强,True,1,0
陈桂英,False,1,0
NA,True,-1,0
林秀美,False,0,0
NA,True,-1,0
张志强,False,1,0
李桂珍,False,1,0
張凱翔,True,0,0
NA,True,-1,0
林秀美,False,0,0
李建华,False,1,0
NA,True,-1,0
刘建军,False,1,0
陳麗卿,False,0,0
李承恩,False,0,0
張凱翔,False,0,0
NA,True,-1,0
NA,True,-1,0
NA,True,-1,0
NA,True,-1,0
张志强,False,1,0
張凱翔,False,0,0
李建华,True,1,0
李桂珍,False,1,0
NA,True,-1,0
李建华,True,1,0
李桂珍,True,1,0
NA,True,-1,0
李建华,False,1,0
林秀美,True,0,0
NA,True,-1,0
NA,True,-1,0
張建军,True,-1,0
林明德,False,0,0
刘秀兰,False,1,0
李承恩,False,0,0
林明德,True,0,0
NA,True,-1,0
NA,True,-1,0
黃鈺婷,True,0,0
张志强,False,1,0
张建军,False,1,0
李承恩,False,0,0
NA,True,-1,0
张志强,False,1,0
張凱翔,False,0,0
NA,True,-1,0
陈丽卿,True,-1,0
張凱翔,False,0,0
NA,True,-1,0
张建军,True,1,0
NA,True,-1,0
林秀美,False,0,0
張建军,True,-1,0
李承恩,False,0,0
李建华,True,1,0
NA,True,-1,0
NA,True,-1,0
张建军,False,1,0
王志强,True,1,0
林明德,True,0,0
NA,True,-1,0
NA,True,-1,0
林秀美,True,0,0
張凱翔,True,0,0
NA,True,-1,0
NA,True,-1,0
张建军,False,1,0
李承恩,False,0,0
李承恩,False,0,0
张志强,True,1,0
張凱翔,False,0,0
張凱翔,False,0,0
張志強,True,-1,0
李建华,False,1,0
Li Jianhua,True,-1,0
林明德,False,0,0
林秀美,False,0,0
NA,True,-1,0
林麗娟,False,0,0
