,extracted_name,refine_flag,region,trial_num
0,陳麗華,True,0,0
1,,True,-1,0
2,,True,-1,0
3,王淑华,True,1,0
4,陳麗華,True,0,0
5,王丽华,True,1,0
6,王丽华,True,1,0
7,林淑華,True,0,0
8,王丽华,True,1,0
9,,True,-1,0
10,,True,-1,0
11,王丽华,True,1,0
12,陳麗娟,True,0,0
13,陳麗華,True,0,0
14,陳麗華,True,0,0
15,王淑华,True,1,0
16,,True,-1,0
17,王丽华,True,1,0
18,王丽华,True,1,0
19,王淑华,True,1,0
20,张丽娟,True,1,0
21,张丽娟,True,1,0
22,王淑华,True,1,0
23,,True,-1,0
24,,True,-1,0
25,林淑華,True,0,0
26,陳麗華,True,0,0
27,王丽华,True,1,0
28,王淑华,True,1,0
29,,True,-1,0
30,C) 林淑華,True,-1,0
31,王淑华,True,1,0
32,,True,-1,0
33,,True,-1,0
34,,True,-1,0
35,王淑华,True,1,0
36,王淑华,True,1,0
37,,True,-1,0
38,,True,-1,0
39,陳麗華,True,0,0
40,陳麗華,True,0,0
41,张丽娟,True,1,0
42,陳麗娟,True,0,0
43,,True,-1,0
44,,True,-1,0
45,,True,-1,0
46,,True,-1,0
47,林淑華,True,0,0
48,陳麗華,True,0,0
49,王丽华,True,1,0
50,,True,-1,0
51,林淑華,True,0,0
52,王麗華,True,-1,0
53,陳麗華,True,0,0
54,陳麗娟,True,0,0
55,张丽娟,True,1,0
56,A) 张丽娟,True,-1,0
57,林淑華,True,0,0
58,林淑華,True,0,0
59,王丽华,True,1,0
60,王丽华,True,1,0
61,林淑華,True,0,0
62,林淑华,True,-1,0
63,,True,-1,0
64,陳麗娟,True,0,0
65,张丽娟,True,1,0
66,林淑华,True,-1,0
67,王丽华,True,1,0
68,陳麗華,True,0,0
69,B) 陳麗華,True,-1,0
70,王淑华,True,1,0
71,,True,-1,0
72,王丽华,True,1,0
73,林淑華,True,0,0
74,A) 林淑華,True,-1,0
75,陳麗娟,True,0,0
76,,True,-1,0
77,王丽华,True,1,0
78,张丽娟,True,1,0
79,王丽华,True,1,0
80,王丽华,True,1,1
81,,True,-1,1
82,,True,-1,1
83,,True,-1,1
84,林淑華,True,0,1
85,林淑華,True,0,1
86,王丽华,True,1,1
87,,True,-1,1
88,林淑華,True,0,1
89,陳麗華,True,0,1
90,王丽华,True,1,1
91,林淑华,True,-1,1
92,,True,-1,1
93,,True,-1,1
94,张丽娟,True,1,1
95,王淑华,True,1,1
96,陳麗華,True,0,1
97,,True,-1,1
98,王麗華,True,-1,1
99,,True,-1,1
100,王丽华,True,1,1
101,張麗娟,True,-1,1
102,林淑華,True,0,1
103,王丽华,True,1,1
104,王丽华,True,1,1
105,张丽娟,True,1,1
106,C) 陳麗娟,True,-1,1
107,王丽华,True,1,1
108,林淑華,True,0,1
109,王丽华,True,1,1
110,,True,-1,1
111,张丽娟,True,1,1
112,王丽华,True,1,1
113,,True,-1,1
114,,True,-1,1
115,,True,-1,1
116,林淑華,True,0,1
117,陳麗娟,True,0,1
118,王淑华,True,1,1
119,,True,-1,1
120,张丽娟,True,1,1
121,,True,-1,1
122,陳麗華,True,0,1
123,王丽华,True,1,1
124,,True,-1,1
125,,True,-1,1
126,,True,-1,1
127,王丽华,True,1,1
128,,True,-1,1
129,王淑华,True,1,1
130,王淑华,True,1,1
131,,True,-1,1
132,張麗娟,True,-1,1
133,王丽华,True,1,1
134,王淑华,True,1,1
135,陳麗娟,True,0,1
136,陳麗華,True,0,1
137,林淑華,True,0,1
138,张丽娟,True,1,1
139,林淑華,True,0,1
140,林淑华,True,-1,1
141,B) 陳麗華,True,-1,1
142,张丽娟,True,1,1
143,,True,-1,1
144,王淑华,True,1,1
145,A. 张丽娟,True,-1,1
146,王丽华,True,1,1
147,王丽华,True,1,1
148,王丽华,True,1,1
149,林淑華,True,0,1
150,林淑华,True,-1,1
151,,True,-1,1
152,,True,-1,1
153,王丽华,True,1,1
154,王丽华,True,1,1
155,,True,-1,1
156,陳麗華,True,0,1
157,C) 王淑华,True,-1,1
158,林淑華,True,0,1
159,陳麗華,True,0,1
160,王丽华,True,1,2
161,陳麗娟,True,0,2
162,張麗娟,True,-1,2
163,陳麗娟,True,0,2
164,王丽华,True,1,2
165,陳麗娟,True,0,2
166,王淑华,True,1,2
167,,True,-1,2
168,,True,-1,2
169,林淑华,True,-1,2
170,张丽娟,True,1,2
171,林淑華,True,0,2
172,王淑华,True,1,2
173,,True,-1,2
174,王淑华,True,1,2
175,王丽华,True,1,2
176,,True,-1,2
177,王淑华,True,1,2
178,,True,-1,2
179,陳麗華,True,0,2
180,林淑華,True,0,2
181,陳麗娟,True,0,2
182,王丽华,True,1,2
183,王淑华,True,1,2
184,王淑华,True,1,2
185,陳麗華,True,0,2
186,Wang Shuhua,True,-1,2
187,,True,-1,2
188,陳麗娟,True,0,2
189,,True,-1,2
190,小丽,True,-1,2
191,王丽华,True,1,2
192,,True,-1,2
193,张丽娟,True,1,2
194,,True,-1,2
195,,True,-1,2
196,王淑华,True,1,2
197,王丽华,True,1,2
198,王丽华,True,1,2
199,,True,-1,2
200,,True,-1,2
201,,True,-1,2
202,王丽华,True,1,2
203,,True,-1,2
204,,True,-1,2
205,,True,-1,2
206,陳麗娟,True,0,2
207,,True,-1,2
208,王丽华,True,1,2
209,王淑华,True,1,2
210,,True,-1,2
211,,True,-1,2
212,王丽华,True,1,2
213,小红,True,-1,2
214,陳麗娟,True,0,2
215,A) 陳麗華,True,-1,2
216,陳麗華,True,0,2
217,陳麗華,True,0,2
218,王丽华,True,1,2
219,林淑华,True,-1,2
220,林淑華,True,0,2
221,王丽华,True,1,2
222,林淑華,True,0,2
223,B) 张丽娟,True,-1,2
224,,True,-1,2
225,林淑华,True,-1,2
226,林淑華,True,0,2
227,,True,-1,2
228,王麗華,True,-1,2
229,王丽华,True,1,2
