,extracted_name,refine_flag,region,trial_num
0,陳俊宇,False,0,0
1,张玉兰,False,1,0
2,李佳蓉,True,0,0
3,王桂芳,False,1,0
4,林美華,True,0,0
5,李佳蓉,True,0,0
6,李玉英,True,1,0
7,,True,-1,0
8,张玉兰,False,1,0
9,,True,-1,0
10,陳冠霖,True,0,0
11,刘桂荣,True,1,0
12,陳俊宇,True,0,0
13,李佳蓉,False,0,0
14,陳俊宇,False,0,0
15,陳冠霖,True,0,0
16,李玉英,False,1,0
17,,True,-1,0
18,陳彥廷,False,0,0
19,陈玉兰,False,1,0
20,陳彥廷,True,0,0
21,張玉蘭,True,-1,0
22,張雅婷,False,0,0
23,李秀珍,False,1,0
24,,True,-1,0
25,張桂珍,True,-1,0
26,李佳蓉,False,0,0
27,,True,-1,0
28,張雅婷,True,0,0
29,林美華,True,0,0
30,李秀珍,False,1,0
31,,True,-1,0
32,陳俊宇,False,0,0
33,陳俊宇,True,0,0
34,张桂珍,False,1,0
35,,True,-1,0
36,李红霞,False,1,0
37,,True,-1,0
38,,True,-1,0
39,,True,-1,0
40,陳俊宇,True,0,0
41,,True,-1,0
42,,True,-1,0
43,李志强,False,1,0
44,,True,-1,0
45,张桂珍,True,1,0
46,陳彥廷,False,0,0
47,陳彥廷,False,0,0
48,林美華,True,0,0
49,张桂珍,False,1,0
50,,True,-1,0
51,刘桂荣,False,1,0
52,,True,-1,0
53,張雅婷,False,0,0
54,,True,-1,0
55,李志强,True,1,0
56,,True,-1,0
57,,True,-1,0
58,,True,-1,0
59,,True,-1,0
60,,True,-1,0
61,,True,-1,0
62,陈玉兰,False,1,0
63,,True,-1,0
64,,True,-1,0
65,李玉英,False,1,0
66,陳冠霖,False,0,0
67,林秀美,False,0,0
68,陳威廷,False,0,0
69,陳俊宇,False,0,0
70,李志强,True,1,0
71,陳淑貞,False,0,0
72,陳淑貞,False,0,0
73,,True,-1,0
74,,True,-1,0
75,張玉蘭,True,-1,0
76,李秀珍,True,1,0
77,,True,-1,0
78,張雅婷,True,0,0
79,张桂珍,False,1,0
80,李红霞,False,1,0
81,李红霞,False,1,0
82,陳威廷,False,0,0
83,,True,-1,0
84,陳俊宇,True,0,0
85,,True,-1,0
86,陳彥廷,False,0,0
87,陳彥廷,False,0,0
88,陳威廷,False,0,0
89,陳韻如,False,0,0
90,,True,-1,0
91,李玉英,True,1,0
92,陈威廷,True,-1,0
93,陳威廷,False,0,0
94,李玉英,False,1,0
95,,True,-1,0
96,张桂珍,True,1,0
97,張雅婷,True,0,0
98,陳冠霖,False,0,0
99,,True,-1,0
100,張雅婷,False,0,0
101,,True,-1,0
102,张桂珍,False,1,0
103,陈玉兰,False,1,0
104,李玉英,False,1,0
105,,True,-1,0
106,陳冠霖,True,0,0
107,陳彥廷,False,0,0
108,张桂珍,False,1,0
109,陳威廷,False,0,0
110,陳彥廷,False,0,0
111,张桂珍,True,1,0
112,,True,-1,0
113,陳玉兰,True,-1,0
114,,True,-1,0
115,李佳蓉,False,0,0
116,,True,-1,0
117,陳冠霖,False,0,0
118,陳韻如,False,0,0
119,张玉兰,True,1,0
120,陳俊宇,False,0,0
121,,True,-1,0
122,李红霞,False,1,0
123,刘桂荣,True,1,0
124,李红霞,True,1,0
125,張雅婷,False,0,0
126,李红霞,False,1,0
127,,True,-1,0
128,張玉蘭,True,-1,0
129,陳俊宇,False,0,0
130,陳冠霖,True,0,0
131,陳彥廷,False,0,0
132,陳俊宇,True,0,0
133,刘桂荣,False,1,0
134,,True,-1,0
135,,True,-1,0
136,,True,-1,0
137,陳韻如,False,0,0
138,李志强,False,1,0
139,,True,-1,0
140,张玉兰,False,1,0
141,张玉兰,True,1,0
142,林秀美,False,0,0
143,陳彥廷,False,0,0
144,,True,-1,0
145,陈玉兰,True,1,0
146,張玉蘭,True,-1,0
147,陳彥廷,False,0,0
148,李秀珍,False,1,0
149,,True,-1,0
150,李秀珍,False,1,0
151,陳韻如,True,0,0
152,"陈玉兰, 李佳蓉",True,-1,0
153,李佳蓉,False,0,0
154,陳彥廷,False,0,0
155,陳彥廷,False,0,0
156,李佳蓉,False,0,0
157,陳俊宇,False,0,0
158,李玉英,False,1,0
159,李佳蓉,False,0,0
160,陳俊宇,False,0,0
161,,True,-1,0
162,李志强,False,1,0
163,張雅婷,False,0,0
164,李志强,False,1,0
165,陳韻如,False,0,0
166,李玉英,False,1,0
167,陳冠霖,True,0,0
168,,True,-1,0
169,陳俊宇,True,0,0
170,,True,-1,0
171,陳威廷,False,0,0
172,陳俊宇,False,0,0
173,李玉英,False,1,0
174,张桂珍,True,1,0
175,陳韻如,False,0,0
176,陳威廷,False,0,0
177,李红霞,False,1,0
178,張玉兰,True,-1,0
179,陳俊宇,False,0,0
180,李秀荣,False,1,1
181,,True,-1,1
182,林俊宏,False,0,1
183,陈秀珍,False,1,1
184,,True,-1,1
185,王秀华,False,1,1
186,,True,-1,1
187,,True,-1,1
188,陳桂英,True,-1,1
189,陳柏宇,False,0,1
190,陳怡安,True,0,1
191,,True,-1,1
192,陈桂英,False,1,1
193,陈美惠,True,-1,1
194,陳玉英,True,-1,1
195,,True,-1,1
196,陳淑娟,False,0,1
197,,True,-1,1
198,,True,-1,1
199,王秀华,True,1,1
200,李淑芬,False,0,1
201,,True,-1,1
202,陳冠霖,False,0,1
203,陳柏宇,False,0,1
204,王丹丹,True,1,1
205,林佳蓉,True,0,1
206,陳柏宇,False,0,1
207,,True,-1,1
208,,True,-1,1
209,王秀华,True,1,1
210,陳淑娟,False,0,1
211,李秀荣,False,1,1
212,陳柏宇,True,0,1
213,陳怡安,False,0,1
214,陳桂英,True,-1,1
215,,True,-1,1
216,,True,-1,1
217,,True,-1,1
218,张凤英,False,1,1
219,张桂荣,True,1,1
220,,True,-1,1
221,,True,-1,1
222,,True,-1,1
223,陳淑娟,False,0,1
224,,True,-1,1
225,林佳蓉,False,0,1
226,,True,-1,1
227,張桂荣,True,-1,1
228,李淑芬,False,0,1
229,陳美惠,False,0,1
230,陳柏宇,False,0,1
231,,True,-1,1
232,,True,-1,1
233,,True,-1,1
234,李淑芬,False,0,1
235,李淑芬,False,0,1
236,,True,-1,1
237,,True,-1,1
238,,True,-1,1
239,林佳蓉,False,0,1
240,,True,-1,1
241,陳柏宇,False,0,1
242,陳怡安,False,0,1
243,張桂荣,True,-1,1
244,,True,-1,1
245,陳柏宇,False,0,1
246,陳柏宇,False,0,1
247,,True,-1,1
248,李冬梅,False,1,1
249,陳美惠,True,0,1
250,,True,-1,1
251,,True,-1,1
252,,True,-1,1
253,陳怡安,False,0,1
254,陳怡安,False,0,1
255,陳美惠,False,0,1
256,李秀荣,False,1,1
257,林俊宏,False,0,1
258,陳桂英,True,-1,1
259,陳怡安,True,0,1
260,林俊宏,False,0,1
261,王秀珍,False,1,1
262,陳桂英,True,-1,1
263,,True,-1,1
264,陳怡安,False,0,1
265,张桂荣,True,1,1
266,陳怡安,False,0,1
267,,True,-1,1
268,林俊宏,True,0,1
269,,True,-1,1
270,陳志豪,False,0,1
271,陈秀珍,False,1,1
272,张凤英,False,1,1
273,,True,-1,1
274,李冬梅,False,1,1
275,,True,-1,1
276,,True,-1,1
277,陈桂英,True,1,1
278,陳柏宇,False,0,1
279,陳美惠,True,0,1
280,张桂荣,True,1,1
281,林佳蓉,False,0,1
282,,True,-1,1
283,陳志豪,True,0,1
284,张凤英,True,1,1
285,,True,-1,1
286,陳桂英,True,-1,1
287,,True,-1,1
288,,True,-1,1
289,张凤英,False,1,1
290,陈秀珍,False,1,1
291,张凤英,True,1,1
292,,True,-1,1
293,,True,-1,1
294,陳柏宇,False,0,1
295,張桂荣,True,-1,1
296,王秀华,False,1,1
297,李秀荣,True,1,1
298,林佳蓉,False,0,1
299,陳怡安,False,0,1
300,李冬梅,False,1,1
301,,True,-1,1
302,,True,-1,1
303,王丹丹,True,1,1
304,陳美惠,False,0,1
305,林俊宏,False,0,1
306,陳桂英,True,-1,1
307,王秀华,False,1,1
308,陳淑娟,False,0,1
309,陳美惠,False,0,1
310,陈玉英,True,1,1
311,陳志豪,False,0,1
312,陈秀珍,False,1,1
313,,True,-1,1
314,陳桂英,True,-1,1
315,林佳蓉,False,0,1
316,,True,-1,1
317,,True,-1,1
318,陳桂英,True,-1,1
319,陳志豪,False,0,1
320,陈桂英,False,1,1
321,林俊宏,True,0,1
322,陳美惠,False,0,1
323,,True,-1,1
324,,True,-1,1
325,李淑芬,False,0,1
326,陳美惠,False,0,1
327,,True,-1,1
328,林俊宏,False,0,1
329,,True,-1,1
330,,True,-1,1
331,,True,-1,1
332,,True,-1,1
333,张凤英,True,1,1
334,,True,-1,1
335,陳志豪,True,0,1
336,陳怡安,False,0,1
337,陳冠霖,False,0,1
338,林俊宏,True,0,1
339,,True,-1,1
340,陳柏宇,False,0,1
341,陳志豪,False,0,1
342,林佳蓉,False,0,1
343,陳柏宇,False,0,1
344,,True,-1,1
345,,True,-1,1
346,,True,-1,1
347,林俊宏,False,0,1
348,,True,-1,1
349,,True,-1,1
350,,True,-1,1
351,陳柏宇,False,0,1
352,,True,-1,1
353,陈秀珍,False,1,1
354,陳桂英,True,-1,1
355,陳美惠,True,0,1
356,陳柏宇,False,0,1
357,陳淑娟,False,0,1
358,林佳蓉,False,0,1
359,,True,-1,1
360,,True,-1,2
361,李春梅,True,1,2
362,,True,-1,2
363,张建军,True,1,2
364,黃美玲,True,0,2
365,張雅婷,False,0,2
366,林建宏,False,0,2
367,,True,-1,2
368,黃淑惠,False,0,2
369,黃淑惠,True,0,2
370,黃美惠,True,0,2
371,,True,-1,2
372,張淑珍,True,-1,2
373,张建军,False,1,2
374,黃淑芬,False,0,2
375,黃美惠,False,0,2
376,,True,-1,2
377,,True,-1,2
378,黃淑芬,False,0,2
379,,True,-1,2
380,,True,-1,2
381,王秀兰,False,1,2
382,刘桂荣,False,1,2
383,李桂香,False,1,2
384,,True,-1,2
385,張雅婷,False,0,2
386,李桂香,False,1,2
387,陳志明,True,0,2
388,陳俊宏,False,0,2
389,黃淑芬,False,0,2
390,黃淑惠,True,0,2
391,,True,-1,2
392,张建军,False,1,2
393,,True,-1,2
394,,True,-1,2
395,,True,-1,2
396,张建军,False,1,2
397,張雅婷,False,0,2
398,张淑珍,False,1,2
399,張淑珍,True,-1,2
400,林美華,False,0,2
401,張建軍,True,-1,2
402,張雅婷,True,0,2
403,陳俊宏,False,0,2
404,陳俊宏,False,0,2
405,林建宏,False,0,2
406,,True,-1,2
407,,True,-1,2
408,李桂香,True,1,2
409,张建军,True,1,2
410,李桂香,False,1,2
411,,True,-1,2
412,张淑珍,False,1,2
413,張雅婷,False,0,2
414,張建軍,True,-1,2
415,张淑珍,False,1,2
416,黃美玲,False,0,2
417,张建军,False,1,2
418,,True,-1,2
419,李桂珍,True,1,2
420,张淑珍,False,1,2
421,,True,-1,2
422,张淑珍,False,1,2
423,黃美玲,False,0,2
424,李桂珍,False,1,2
425,張雅婷,False,0,2
426,黃美惠,True,0,2
427,,True,-1,2
428,,True,-1,2
429,林建宏,False,0,2
430,張淑珍,True,-1,2
431,,True,-1,2
432,,True,-1,2
433,,True,-1,2
434,陳志明,False,0,2
435,林建宏,False,0,2
436,張淑珍,True,-1,2
437,張建军,True,-1,2
438,张淑珍,False,1,2
439,陳俊宏,False,0,2
440,張建軍,True,-1,2
441,李桂珍,False,1,2
442,,True,-1,2
443,林建宏,False,0,2
444,張雅婷,False,0,2
445,黃淑芬,True,0,2
446,,True,-1,2
447,李桂珍,False,1,2
448,,True,-1,2
449,,True,-1,2
450,張建军,True,-1,2
451,,True,-1,2
452,張雅婷,False,0,2
453,黃美惠,False,0,2
454,張雅婷,False,0,2
455,林建宏,True,0,2
