,extracted_name,refine_flag,region,trial_num
0,張雅婷,False,0,0
1,張桂珍,True,-1,0
2,,True,-1,0
3,,True,-1,0
4,林美華,False,0,0
5,,True,-1,0
6,,True,-1,0
7,陈俊宇,True,-1,0
8,張雅婷,False,0,0
9,,True,-1,0
10,李佳蓉,False,0,0
11,,True,-1,0
12,陳彥廷,True,0,0
13,陈玉兰,False,1,0
14,陳俊宇,False,0,0
15,陳韻如,False,0,0
16,陳俊宇,False,0,0
17,陳俊宇,False,0,0
18,陈俊宇,True,-1,0
19,,True,-1,0
20,,True,-1,0
21,陳俊宇,False,0,0
22,張玉蘭,True,-1,0
23,,True,-1,0
24,林美華,False,0,0
25,,True,-1,0
26,李佳蓉,False,0,0
27,陳冠霖,False,0,0
28,,True,-1,0
29,陈俊宇,True,-1,0
30,李秀珍,False,1,0
31,李志强,False,1,0
32,陳俊宇,False,0,0
33,,True,-1,0
34,,True,-1,0
35,陳韻如,False,0,0
36,,True,-1,0
37,李佳蓉,False,0,0
38,,True,-1,0
39,,True,-1,0
40,,True,-1,0
41,陈俊宇,True,-1,0
42,陳俊宇,False,0,0
43,李志强,False,1,0
44,陈俊宇,True,-1,0
45,,True,-1,0
46,陳彥廷,False,0,0
47,陳彥廷,False,0,0
48,,True,-1,0
49,陈威廷,True,-1,0
50,陳俊宇,False,0,0
51,,True,-1,0
52,,True,-1,0
53,李佳蓉,False,0,0
54,,True,-1,0
55,陳俊宇,False,0,0
56,,True,-1,0
57,,True,-1,0
58,張玉蘭,True,-1,0
59,,True,-1,0
60,,True,-1,0
61,陳俊宇,False,0,0
62,陳冠霖,True,0,0
63,,True,-1,0
64,李紅霞,True,-1,0
65,陈俊宇,True,-1,0
66,,True,-1,0
67,陳俊宇,False,0,0
68,陈俊宇.,True,-1,0
69,陈俊宇,True,-1,0
70,,True,-1,0
71,陈韵如,True,-1,0
72,陈玉兰,False,1,0
73,,True,-1,0
74,陳彥廷,True,0,0
75,陈俊宇,True,-1,0
76,李志强,False,1,0
77,,True,-1,0
78,李玉英,False,1,0
79,,True,-1,0
80,李志强,False,1,0
