,extracted_name,refine_flag,region,trial_num
0,,True,-1,0
1,張麗娟,True,-1,0
2,,True,-1,0
3,,True,-1,0
4,,True,-1,0
5,王丽华,True,1,0
6,陳麗華,True,0,0
7,張丽娟,True,-1,0
8,,True,-1,0
9,,True,-1,0
10,陈丽娟,True,-1,0
11,,True,-1,0
12,陳麗華,True,0,0
13,,True,-1,0
14,陳麗華,True,0,0
15,,True,-1,0
16,王丽华,True,1,0
17,,True,-1,0
18,张丽娟,True,1,0
19,,True,-1,0
20,,True,-1,0
21,,True,-1,0
22,,True,-1,0
23,,True,-1,0
24,王丽华,True,1,0
25,,True,-1,0
26,陈丽华,True,-1,0
27,,True,-1,0
28,张丽娟,True,1,0
29,,True,-1,0
30,,True,-1,0
31,,True,-1,0
32,,True,-1,0
33,,True,-1,0
34,王丽华,True,1,0
35,陳麗華,True,0,0
36,林淑華,True,0,0
37,陳麗華,True,0,0
38,,True,-1,0
39,,True,-1,0
40,,True,-1,0
41,,True,-1,0
42,,True,-1,0
43,陳麗華,True,0,0
44,张丽娟,True,1,0
45,,True,-1,0
46,王淑华,True,1,0
47,張丽娟,True,-1,0
48,陈丽娟,True,-1,0
49,,True,-1,0
50,,True,-1,0
51,,True,-1,0
52,,True,-1,0
53,陳麗華,True,0,0
54,,True,-1,0
55,,True,-1,0
56,,True,-1,0
57,,True,-1,0
58,王淑华,True,1,0
59,,True,-1,0
60,陳麗華,True,0,0
61,,True,-1,0
62,,True,-1,0
63,,True,-1,0
64,,True,-1,0
65,陈丽娟,True,-1,0
66,,True,-1,0
67,陳麗娟,True,0,0
68,,True,-1,0
69,,True,-1,0
70,,True,-1,0
71,,True,-1,0
72,陳麗華,True,0,0
73,,True,-1,0
74,張麗娟,True,-1,0
75,陈丽娟,True,-1,0
76,,True,-1,0
77,,True,-1,0
78,,True,-1,0
79,,True,-1,0
80,张丽娟,True,1,1
81,,True,-1,1
82,王丽华,True,1,1
83,陳麗娟,True,0,1
84,,True,-1,1
85,陳麗娟,True,0,1
86,陳麗華,True,0,1
87,,True,-1,1
88,,True,-1,1
89,陳麗華,True,0,1
90,,True,-1,1
91,陳麗華,True,0,1
92,,True,-1,1
93,,True,-1,1
94,,True,-1,1
95,陳麗華,True,0,1
96,王丽华,True,1,1
97,陈丽娟,True,-1,1
98,陳麗華,True,0,1
99,,True,-1,1
100,陳麗華,True,0,1
101,陳麗華,True,0,1
102,,True,-1,1
103,张丽娟,True,1,1
104,陳麗娟,True,0,1
105,,True,-1,1
106,陳麗華,True,0,1
107,陈丽华,True,-1,1
108,,True,-1,1
109,陳麗華,True,0,1
110,,True,-1,1
111,,True,-1,1
112,,True,-1,1
113,,True,-1,1
114,,True,-1,1
115,陳麗娟,True,0,1
116,,True,-1,1
117,,True,-1,1
118,,True,-1,1
119,,True,-1,1
120,陳麗華,True,0,1
121,,True,-1,1
122,陳麗娟,True,0,1
123,,True,-1,1
124,陳麗華,True,0,1
125,,True,-1,1
126,王丽华,True,1,1
127,,True,-1,1
128,陳麗華,True,0,1
129,王丽华,True,1,1
130,,True,-1,1
131,,True,-1,1
132,王丽华,True,1,1
133,,True,-1,1
134,王丽华,True,1,1
135,,True,-1,1
136,,True,-1,1
137,,True,-1,1
138,,True,-1,1
139,,True,-1,1
140,,True,-1,1
141,,True,-1,1
142,,True,-1,1
143,陳麗娟,True,0,1
144,王丽华,True,1,1
145,,True,-1,1
146,,True,-1,1
147,,True,-1,1
148,,True,-1,1
149,,True,-1,1
150,,True,-1,1
151,,True,-1,1
152,王淑华,True,1,1
153,王丽华,True,1,1
154,,True,-1,1
155,,True,-1,1
156,,True,-1,1
157,,True,-1,1
158,陳麗華,True,0,1
159,,True,-1,1
160,王淑华,True,1,2
161,,True,-1,2
162,,True,-1,2
163,陈丽娟,True,-1,2
164,,True,-1,2
165,,True,-1,2
166,,True,-1,2
167,王丽华,True,1,2
168,,True,-1,2
169,,True,-1,2
170,张丽娟,True,1,2
171,张丽娟,True,1,2
172,,True,-1,2
173,,True,-1,2
174,张丽娟,True,1,2
175,陈丽娟,True,-1,2
176,林淑華,True,0,2
177,陳麗華,True,0,2
178,陳麗華,True,0,2
179,張麗娟,True,-1,2
180,王淑华,True,1,2
181,陈丽娟,True,-1,2
182,王丽华,True,1,2
183,,True,-1,2
184,,True,-1,2
185,陳麗娟,True,0,2
186,,True,-1,2
187,陳麗娟,True,0,2
188,,True,-1,2
189,,True,-1,2
190,张丽娟,True,1,2
191,陳麗娟,True,0,2
192,,True,-1,2
193,陳麗華,True,0,2
194,,True,-1,2
195,王丽华,True,1,2
196,,True,-1,2
197,张丽娟,True,1,2
198,,True,-1,2
199,王丽华,True,1,2
200,,True,-1,2
201,陳麗娟,True,0,2
202,,True,-1,2
203,,True,-1,2
204,,True,-1,2
205,,True,-1,2
206,,True,-1,2
207,陈丽华,True,-1,2
208,,True,-1,2
209,陳麗華,True,0,2
210,,True,-1,2
211,,True,-1,2
212,陳麗華,True,0,2
213,陳麗娟,True,0,2
214,陳麗華,True,0,2
215,,True,-1,2
216,,True,-1,2
217,,True,-1,2
218,陳麗華,True,0,2
219,,True,-1,2
220,,True,-1,2
221,王丽华,True,1,2
222,,True,-1,2
223,王丽华,True,1,2
224,王丽华,True,1,2
225,,True,-1,2
226,陳麗娟,True,0,2
227,王丽华,True,1,2
228,,True,-1,2
229,王淑华,True,1,2
230,,True,-1,2
231,,True,-1,2
232,陳麗華,True,0,2
233,,True,-1,2
234,陈丽娟,True,-1,2
235,陳麗華,True,0,2
236,王淑华,True,1,2
237,,True,-1,2
238,,True,-1,2
239,,True,-1,2
240,,True,-1,3
241,,True,-1,3
242,,True,-1,3
243,,True,-1,3
244,,True,-1,3
245,陳麗華,True,0,3
246,林淑華,True,0,3
247,,True,-1,3
248,,True,-1,3
249,,True,-1,3
250,陳麗華,True,0,3
251,,True,-1,3
252,,True,-1,3
253,,True,-1,3
254,,True,-1,3
255,陳麗娟,True,0,3
256,,True,-1,3
257,,True,-1,3
258,,True,-1,3
259,陳麗華,True,0,3
260,林淑華,True,0,3
261,陳麗華,True,0,3
262,陈丽华,True,-1,3
263,张丽娟.,True,-1,3
264,王丽华,True,1,3
265,陳麗華,True,0,3
266,,True,-1,3
267,王丽华,True,1,3
268,,True,-1,3
269,,True,-1,3
270,,True,-1,3
271,王丽华,True,1,3
272,,True,-1,3
273,,True,-1,3
274,陳麗華,True,0,3
275,,True,-1,3
276,林淑華,True,0,3
277,陈丽华,True,-1,3
278,,True,-1,3
279,,True,-1,3
280,林淑華,True,0,3
281,,True,-1,3
282,,True,-1,3
283,张丽娟,True,1,3
284,陳麗娟,True,0,3
285,,True,-1,3
286,,True,-1,3
287,张丽娟,True,1,3
288,,True,-1,3
289,,True,-1,3
290,,True,-1,3
291,,True,-1,3
