extracted_name,refine_flag,region,trial_num
陳柏諺,False,0,0
陈玉兰,False,1,0
陈玉兰,False,1,0
陈桂英,False,1,0
杨桂英,False,1,0
王志强,False,1,0
刘秀兰,False,1,0
李承恩,False,0,0
陳柏諺,False,0,0
張凱翔,False,0,0
林麗娟,False,0,0
张建军,False,1,0
李承恩,False,0,0
林明德,False,0,0
李桂珍,False,1,0
刘建军,False,1,0
林麗娟,False,0,0
李承恩,False,0,0
陳柏諺,False,0,0
刘秀兰,False,1,0
杨桂英,False,1,0
李承恩,False,0,0
李桂珍,False,1,0
杨桂英,False,1,0
张志强,False,1,0
陳柏諺,False,0,0
林麗娟,False,0,0
張凱翔,False,0,0
李桂珍,False,1,0
王志强,False,1,0
陈玉兰,False,1,0
张志强,False,1,0
杨桂英,False,1,0
李桂珍,False,1,0
李承恩,False,0,0
林明德,False,0,0
陈桂英,False,1,0
陈桂英,False,1,0
林麗娟,False,0,0
林秀美,False,0,0
陈玉兰,False,1,0
陈玉兰,False,1,0
刘建军,False,1,0
陳柏諺,False,0,0
张建军,False,1,0
林麗娟,False,0,0
杨桂英,False,1,0
李桂珍,False,1,0
张建军,False,1,0
李建华,False,1,0
杨桂英,False,1,0
刘建军,False,1,0
刘秀兰,False,1,0
杨桂英,False,1,0
刘建军,False,1,0
李建华,False,1,0
林麗娟,False,0,0
刘建军,False,1,0
陳柏諺,False,0,0
张志强,False,1,0
陳柏諺,False,0,0
李承恩,False,0,0
陳桂英,True,-1,0
林秀美,False,0,0
林明德,False,0,0
张建军,False,1,0
陳柏諺,False,0,0
陈桂英,False,1,0
張凱翔,False,0,0
林麗娟,False,0,0
刘建军,False,1,0
李桂珍,False,1,0
刘秀兰,False,1,0
李桂珍,False,1,0
陈桂英,False,1,0
陳柏諺,False,0,0
陳俊良,False,0,0
李承恩,False,0,0
杨桂英,False,1,0
林秀美,False,0,0
張凱翔,False,0,0
陳柏諺,False,0,0
李承恩,False,0,0
陈俊良,True,-1,0
陈桂英,False,1,0
林秀美,False,0,0
刘建军,False,1,0
李建华,False,1,0
林明德,False,0,0
刘建军,False,1,0
黄鈺婷,True,-1,0
王志强,False,1,0
林麗娟,False,0,0
王志强,False,1,0
李承恩,False,0,0
张志强,False,1,0
刘秀兰,False,1,0
陳俊良,False,0,0
李建华,False,1,0
李承恩,False,0,0
刘建军,False,1,0
陈桂英,False,1,0
陳柏諺,False,0,0
刘秀兰,False,1,0
李承恩,False,0,0
刘建军,False,1,0
李桂珍,False,1,0
李桂珍,False,1,0
李承恩,False,0,0
张建军,False,1,0
陳柏諺,False,0,0
李桂珍,False,1,0
刘建军,False,1,0
陳柏諺,False,0,0
李承恩,False,0,0
陳桂英,True,-1,0
陳柏諺,False,0,0
李承恩,False,0,0
刘秀兰,False,1,0
李桂珍,False,1,0
张志强,False,1,0
王志强,False,1,0
李建华,False,1,0
刘秀兰,False,1,0
杨桂英,False,1,0
李建华,False,1,0
李桂珍,False,1,0
陈柏諺,True,-1,0
王志强,False,1,0
黃鈺婷,False,0,0
陈玉兰,False,1,0
林麗娟,False,0,0
张建军,False,1,0
林明德,False,0,0
刘秀兰,False,1,0
李承恩,False,0,0
林明德,False,0,0
NA,True,-1,0
林秀美,False,0,0
李承恩,False,0,0
张志强,False,1,0
陈桂英,False,1,0
李承恩,False,0,0
陈玉兰,False,1,0
李承恩,False,0,0
張凱翔,False,0,0
李建华,False,1,0
陈玉兰,False,1,0
张凯翔,True,-1,0
林明德,False,0,0
林麗娟,False,0,0
王志强,False,1,0
林秀美,False,0,0
李承恩,False,0,0
刘秀兰,False,1,0
李建华,False,1,0
陳柏諺,False,0,0
张建军,False,1,0
张建军,False,1,0
王志强,False,1,0
林明德,False,0,0
陈桂英,False,1,0
李承恩,False,0,0
王志强,False,1,0
王志强,False,1,0
李建华,False,1,0
杨桂英,False,1,0
李承恩,False,0,0
李承恩,False,0,0
李承恩,False,0,0
陈玉兰,False,1,0
王志强,False,1,0
黃鈺婷,False,0,0
张志强,False,1,0
李桂珍,False,1,0
李建华,False,1,0
林明德,False,0,0
林秀美,False,0,0
李承恩,False,0,0
林麗娟,False,0,0
