name,prob
王秀英,-8.875
李秀英,-5.21875
张秀英,-6.84375
王秀兰,-13.0
李桂英,-7.1875
王桂英,-8.875
张秀兰,-8.625
张桂英,-7.375
王玉兰,-9.0
李秀兰,-10.75
张玉兰,-8.375
王桂兰,-8.625
陈秀英,-9.0
张桂兰,-6.59375
李桂兰,-6.84375
王秀珍,-7.75
李玉兰,-8.625
刘秀英,-8.625
刘桂英,-9.125
杨秀英,-8.75
李秀珍,-6.1875
刘玉兰,-10.75
刘桂兰,-9.625
王玉梅,-8.5
王玉珍,-9.5
张凤英,-6.84375
李凤英,-6.71875
王玉英,-9.625
张玉梅,-7.1875
王凤英,-8.5
张玉英,-7.8125
李红梅,-7.75
张秀珍,-6.6875
王建华,-9.4375
李玉梅,-7.625
李建华,-9.0
张建华,-9.0
张玉珍,-7.625
张兰英,-7.1875
王兰英,-8.8125
李玉珍,-7.9375
陈桂英,-9.5625
王建国,-9.4375
王建军,-9.5
王淑珍,-8.1875
李春梅,-7.875
王海燕,-7.75
李冬梅,-7.8125
王秀荣,-8.125
李桂珍,-6.25
王秀云,-8.125
王桂荣,-9.25
王志强,-10.125
张红梅,-8.5
刘凤英,-8.375
李玉英,-6.375
王秀梅,-6.84375
王丽娟,-10.5625
张婷婷,-7.90625
王婷婷,-8.9375
王玉华,-8.25
张建国,-9.0625
李兰英,-7.5
王桂珍,-8.1875
李秀梅,-5.65625
陈玉兰,-11.0
张玉华,-8.1875
刘玉梅,-9.125
李建军,-9.5
刘玉珍,-9.0
李建国,-9.5625
李桂荣,-8.0
陈秀兰,-11.1875
张建军,-7.96875
李秀荣,-6.96875
张秀梅,-5.71875
李雪梅,-7.3125
张海燕,-7.25
王淑兰,-8.625
李志强,-9.9375
李婷婷,-8.0
张秀荣,-6.96875
刘建华,-10.8125
王丽丽,-9.25
李海燕,-7.4375
张桂荣,-7.65625
刘秀兰,-10.25
张志强,-9.75
李秀云,-7.0625
李秀芳,-6.125
张丽丽,-8.75
张秀云,-6.8125
王淑英,-8.0
王春梅,-9.4375
王红梅,-8.875
李玉华,-7.75
李桂芳,-7.0
黄秀英,-10.25
刘玉英,-9.375
李淑珍,-5.8125
王秀芳,-7.6875
王丽华,-8.9375
王丹丹,-8.875
王桂香,-9.25
张桂珍,-6.5
王淑华,-8.0
张秀芳,-5.875
张桂芳,-7.1875
张丽娟,-8.6875
吴秀英,-4.09375
李桂香,-7.09375
杨秀兰,-6.0
王秀华,-7.5625
李桂芝,-7.8125
王桂芳,-9.25
张春梅,-8.1875
王冬梅,-8.625
李秀华,-6.5
李丹丹,-8.5
刘玉华,-10.25
马秀英,-10.25
张丽华,-9.1875
张淑珍,-6.625
王桂芝,-9.625
张秀华,-6.25
陈建华,-10.875
杨桂英,-8.5625
李淑英,-6.25
陈玉英,-10.625
杨秀珍,-8.4375
孙秀英,-6.15625
刘桂珍,-8.875
刘建军,-9.9375
张淑英,-5.9375
李红霞,-7.5625
赵秀英,-3.71875
王建平,-8.625
张桂芝,-7.8125
王桂花,-9.625
刘婷婷,-10.8125
张淑兰,-5.84375
陈桂兰,-9.125
李淑华,-6.0625
刘建国,-10.875
李桂花,-9.625
王凤兰,-9.0
李淑兰,-6.53125
陈秀珍,-8.5625
刘红梅,-10.75
刘桂荣,-9.375
刘志强,-10.9375
陈凤英,-8.875
陳怡君,-3.34375
林怡君,-1.59375
