name,prob
王秀英,-27.59375
李秀英,-27.34375
张秀英,-31.65625
王秀兰,-27.484375
李桂英,-27.390625
王桂英,-27.71875
张秀兰,-26.421875
张桂英,-30.71875
王玉兰,-28.1875
李秀兰,-27.359375
张玉兰,-27.25
王桂兰,-28.03125
陈秀英,-34.03125
张桂兰,-26.703125
李桂兰,-27.96875
王秀珍,-27.859375
李玉兰,-28.125
刘秀英,-33.59375
刘桂英,-32.03125
杨秀英,-34.15625
李秀珍,-27.734375
刘玉兰,-29.0
刘桂兰,-28.71875
王玉梅,-27.859375
王玉珍,-28.53125
张凤英,-28.71875
李凤英,-29.03125
王玉英,-27.953125
张玉梅,-31.84375
王凤英,-28.34375
张玉英,-33.03125
李红梅,-27.96875
张秀珍,-33.96875
王建华,-26.703125
李玉梅,-27.734375
李建华,-26.703125
张建华,-26.015625
张玉珍,-33.03125
张兰英,-26.453125
王兰英,-27.75
李玉珍,-28.21875
陈桂英,-32.15625
王建国,-26.671875
王建军,-26.765625
王淑珍,-28.421875
李春梅,-27.890625
王海燕,-28.1875
李冬梅,-28.125
王秀荣,-26.765625
李桂珍,-26.90625
王秀云,-27.421875
王桂荣,-28.5625
王志强,-26.890625
张红梅,-27.140625
刘凤英,-30.09375
李玉英,-27.765625
王秀梅,-28.046875
王丽娟,-27.625
张婷婷,-29.9375
王婷婷,-26.9375
王玉华,-26.875
张建国,-26.109375
李兰英,-27.25
王桂珍,-28.15625
李秀梅,-28.171875
陈玉兰,-27.9375
张玉华,-26.0
刘玉梅,-33.28125
李建军,-26.703125
刘玉珍,-35.0
李建国,-26.90625
李桂荣,-28.125
陈秀兰,-27.359375
张建军,-25.390625
李秀荣,-26.890625
张秀梅,-32.65625
李雪梅,-27.171875
张海燕,-31.25
王淑兰,-27.734375
李志强,-26.890625
李婷婷,-26.9375
张秀荣,-26.078125
刘建华,-27.84375
王丽丽,-27.1875
李海燕,-27.75
张桂荣,-28.0625
刘秀兰,-28.625
张志强,-26.015625
李秀云,-27.484375
李秀芳,-28.59375
张丽丽,-25.4296875
张秀云,-29.9375
王淑英,-28.1875
王春梅,-28.515625
王红梅,-28.09375
李玉华,-26.75
李桂芳,-27.765625
黄秀英,-32.65625
刘玉英,-35.21875
李淑珍,-28.171875
王秀芳,-28.65625
王丽华,-27.671875
王丹丹,-26.5625
王桂香,-28.46875
张桂珍,-32.25
王淑华,-27.828125
张秀芳,-34.28125
张桂芳,-32.28125
张丽娟,-26.0625
吴秀英,-34.53125
李桂香,-27.953125
杨秀兰,-28.125
王秀华,-27.015625
李桂芝,-27.40625
王桂芳,-28.078125
张春梅,-32.71875
王冬梅,-28.8125
李秀华,-26.953125
李丹丹,-26.0
刘玉华,-27.8125
马秀英,-34.65625
张丽华,-25.984375
张淑珍,-34.4375
王桂芝,-27.78125
张秀华,-25.765625
陈建华,-27.40625
杨桂英,-31.46875
李淑英,-28.0
陈玉英,-34.40625
杨秀珍,-36.09375
孙秀英,-32.71875
刘桂珍,-33.875
刘建军,-27.65625
张淑英,-32.96875
李红霞,-27.96875
赵秀英,-36.37890625
王建平,-27.734375
张桂芝,-31.03125
王桂花,-28.15625
刘婷婷,-31.59375
张淑兰,-26.296875
陈桂兰,-28.15625
李淑华,-27.390625
刘建国,-28.03125
李桂花,-28.09375
王凤兰,-28.0
李淑兰,-27.671875
陈秀珍,-34.96875
刘红梅,-28.59375
刘桂荣,-29.3125
刘志强,-28.09375
陈凤英,-30.21875
陳怡君,-26.546875
林怡君,-26.796875
陳冠宇,-27.140625
陳淑芬,-27.015625
張雅婷,-27.65625
陳建宏,-27.3125
陳美玲,-26.828125
陳怡如,-26.453125
陳美惠,-28.625
陳淑惠,-27.234375
林淑惠,-27.609375
張家豪,-27.65625
陳俊宏,-27.15625
陳淑貞,-27.15625
陳淑娟,-26.96875
陳麗華,-26.75
林佳慧,-27.578125
林淑芬,-27.140625
陳冠廷,-26.75
林建宏,-27.4375
陳美華,-26.796875
