name,prob
王秀英,-54.6875
李秀英,-54.6875
张秀英,-53.8125
王秀兰,-56.0625
李桂英,-55.4375
王桂英,-55.4375
张秀兰,-55.125
张桂英,-54.5
王玉兰,-53.1875
李秀兰,-56.0625
张玉兰,-52.25
王桂兰,-56.1875
陈秀英,-55.75
张桂兰,-55.25
李桂兰,-56.125
王秀珍,-52.875
李玉兰,-53.0625
刘秀英,-55.1875
刘桂英,-55.9375
杨秀英,-55.4375
李秀珍,-52.8125
刘玉兰,-53.6875
刘桂兰,-56.6875
王玉梅,-55.75
王玉珍,-52.5625
张凤英,-50.0625
李凤英,-51.0
王玉英,-54.1875
张玉梅,-54.875
王凤英,-50.9375
张玉英,-53.25
李红梅,-52.8125
张秀珍,-51.9375
王建华,-51.0
李玉梅,-55.75
李建华,-51.0
张建华,-50.0625
张玉珍,-51.6875
张兰英,-50.125
王兰英,-51.0625
李玉珍,-52.5
陈桂英,-56.5
王建国,-47.75
王建军,-49.0625
王淑珍,-53.625
李春梅,-54.8125
王海燕,-52.625
李冬梅,-50.875
王秀荣,-53.4375
李桂珍,-53.875
王秀云,-56.0625
王桂荣,-52.75
王志强,-55.5625
张红梅,-51.8125
刘凤英,-51.5
李玉英,-54.125
王秀梅,-55.5625
王丽娟,-55.125
张婷婷,-49.75
王婷婷,-50.6875
王玉华,-52.625
张建国,-46.875
李兰英,-51.0
王桂珍,-53.9375
李秀梅,-55.5625
陈玉兰,-54.25
张玉华,-51.75
刘玉梅,-56.3125
李建军,-49.0
刘玉珍,-53.125
李建国,-47.75
李桂荣,-52.8125
陈秀兰,-57.0625
张建军,-48.125
李秀荣,-53.4375
张秀梅,-54.625
李雪梅,-56.0
张海燕,-51.625
王淑兰,-56.875
李志强,-55.5625
李婷婷,-50.75
张秀荣,-52.5625
刘建华,-51.5
王丽丽,-55.75
李海燕,-52.625
张桂荣,-51.875
刘秀兰,-56.5625
张志强,-54.625
李秀云,-56.125
李秀芳,-53.5625
张丽丽,-54.75
张秀云,-55.125
王淑英,-54.875
王春梅,-54.8125
王红梅,-52.75
李玉华,-52.625
李桂芳,-55.8125
黄秀英,-55.375
刘玉英,-54.6875
李淑珍,-53.5
王秀芳,-53.5625
王丽华,-56.375
王丹丹,-53.375
王桂香,-54.5625
张桂珍,-53.0
王淑华,-54.0625
张秀芳,-52.625
张桂芳,-54.875
张丽娟,-54.125
吴秀英,-55.75
李桂香,-54.5625
杨秀兰,-56.8125
王秀华,-55.0
李桂芝,-53.8125
王桂芳,-55.75
张春梅,-53.875
王冬梅,-50.8125
李秀华,-55.0625
李丹丹,-53.375
刘玉华,-53.1875
马秀英,-55.0
张丽华,-55.375
张淑珍,-52.625
王桂芝,-53.8125
张秀华,-54.125
陈建华,-52.0
杨桂英,-56.1875
李淑英,-54.75
陈玉英,-55.25
杨秀珍,-53.5625
孙秀英,-57.0625
刘桂珍,-54.4375
刘建军,-49.5
张淑英,-53.875
李红霞,-45.9375
赵秀英,-55.25
王建平,-55.625
张桂芝,-52.875
王桂花,-50.75
刘婷婷,-51.1875
张淑兰,-55.875
陈桂兰,-57.1875
李淑华,-54.0
刘建国,-48.25
李桂花,-50.75
王凤兰,-52.9375
李淑兰,-56.75
陈秀珍,-53.8125
刘红梅,-53.25
刘桂荣,-53.25
刘志强,-56.125
陈凤英,-52.0
陳怡君,-59.375
林怡君,-55.3125
陳冠宇,-60.0
陳淑芬,-58.0
張雅婷,-59.75
陳建宏,-58.125
陳美玲,-55.75
陳怡如,-57.5
陳美惠,-57.5
陳淑惠,-58.375
林淑惠,-54.25
張家豪,-57.25
陳俊宏,-59.625
陳淑貞,-60.125
陳淑娟,-59.375
陳麗華,-55.75
林佳慧,-56.125
林淑芬,-54.0
陳冠廷,-58.125
林建宏,-54.0625
陳美華,-56.25
陳怡靜,-59.0
陳柏翰,-58.875
楊雅婷,-61.0
陳淑華,-58.0
陳柏宇,-60.125
陳怡伶,-58.125
陳彥廷,-56.375
林麗華,-51.75
張雅惠,-61.875
陳淑美,-60.125
陳秀美,-59.5
陳信宏,-57.75
林俊宏,-55.5
陳韻如,-56.625
陳怡婷,-59.125
黃淑芬,-56.5625
張雅雯,-59.75
陳淑玲,-59.75
陳思妤,-57.875
黃鈺婷,-53.8125
陳麗娟,-54.25
林美惠,-53.375
林美玲,-51.625
林淑娟,-55.25
林秀美,-55.4375
陳志豪,-63.0
陳雅玲,-60.875
張家銘,-58.0
陳美玉,-59.25
陳秀琴,-59.125
許雅婷,-60.625
王俊傑,-53.8125
黃淑惠,-56.875
劉怡君,-60.5
黃俊傑,-57.625
陳冠霖,-56.625
張淑惠,-58.25
陳志明,-56.625
陳美珠,-58.5
陳秀英,-60.0
陳俊宇,-59.75
陳雅惠,-62.0
陳麗珠,-56.5
黃馨儀,-55.3125
林佳蓉,-54.25
林淑華,-54.0
陳怡安,-57.0
林淑貞,-56.125
陳美雲,-57.0
王怡婷,-53.875
林美華,-52.125
林冠宇,-55.875
林冠廷,-54.125
陳秀鳳,-58.5
陳惠美,-55.875
陳思穎,-55.75
張淑芬,-58.0
陳建志,-61.75
陳惠玲,-56.25
陳麗卿,-56.625
林欣怡,-50.8125
黃淑貞,-58.6875
黃美玲,-54.3125
陳威廷,-54.875
李淑芬,-52.8125
陳俊傑,-59.0
陳美麗,-56.25
林秀英,-55.9375
陳雅婷,-59.875
陳麗美,-56.125
黃美惠,-56.0625
李佳蓉,-53.125
李麗華,-50.625
林志明,-52.625
林雅惠,-57.875
陳品妤,-58.0
林欣儀,-53.625
陳秀蘭,-61.0
鄭雅文,-56.71875
陳慧玲,-62.75
黃郁婷,-58.375
陳俊良,-60.125
林彥廷,-52.375
林芳如,-53.5625
陳麗如,-55.5
陳宥蓁,-55.5
黃美華,-54.75
黃淑娟,-57.875
王淑芬,-52.8125
黃麗華,-54.3125
陳冠宏,-55.875
李淑惠,-53.0625
陳姿穎,-57.0
林雅婷,-55.75
林麗娟,-50.25
林美玉,-55.125
張淑娟,-59.25
林宜蓁,-55.375
黃詩涵,-56.0625
陳素貞,-60.125
李怡萱,-53.0
張美玲,-55.75
林秀琴,-55.0625
吳佩珊,-59.34375
林秀玲,-54.4375
張淑貞,-60.125
李俊賢,-53.5
吳宗翰,-60.4375
陳柏宏,-59.25
陳建宇,-61.0
張育誠,-56.75
林哲宇,-56.5
張家瑋,-55.5
陳建良,-61.375
吳俊賢,-56.625
陳柏安,-58.375
陳柏霖,-57.125
張凱翔,-52.0625
陳建成,-57.75
李宗翰,-54.125
吳承翰,-63.15625
李承翰,-57.4375
張哲瑋,-56.125
許家豪,-55.9375
陳威宇,-58.5
陳柏諺,-56.625
陳建銘,-58.375
陳俊廷,-60.875
林信宏,-53.625
張家榮,-57.0
張哲維,-57.75
陳建安,-58.375
李承恩,-53.75
陳志成,-57.625
蔡承翰,-60.3125
林志鴻,-54.5625
吳承恩,-60.03125
張志豪,-63.125
陳志忠,-62.5
蔡宗翰,-57.0625
陳奕安,-58.875
陳俊男,-61.125
陳正雄,-62.25
陳志偉,-60.0
林子傑,-54.625
林明輝,-51.3125
陳志銘,-60.125
陳彥霖,-57.375
李建興,-53.75
陳志宏,-60.25
陳俊豪,-60.125
陳柏睿,-56.625
楊宗翰,-59.375
黃柏翰,-57.5
陳俊吉,-63.0
陳彥宇,-57.375
林子翔,-56.4375
陳俊佑,-60.5
李俊毅,-55.8125
林建成,-53.75
林明德,-55.4375
陳俊雄,-61.5
林冠宏,-51.75
陳文雄,-59.875
林正雄,-58.25
陳文彬,-57.5
陳昱安,-53.0
劉冠廷,-54.90625
王俊凱,-53.0625
蔡承恩,-56.625
劉建宏,-59.8125
陳志強,-60.875
吳俊毅,-61.6875
陳俊銘,-57.75
林建志,-57.8125
楊承翰,-63.15625
黃柏翔,-58.125
陳宥廷,-57.75
林建良,-57.25
