name,prob
王秀英,-28.6875
李秀英,-28.4375
张秀英,-29.375
王秀兰,-28.4375
李桂英,-28.0
王桂英,-28.1875
张秀兰,-29.125
张桂英,-28.875
王玉兰,-28.5
李秀兰,-28.25
张玉兰,-29.1875
王桂兰,-28.4375
陈秀英,-28.5625
张桂兰,-29.0625
李桂兰,-28.25
王秀珍,-28.4375
李玉兰,-28.375
刘秀英,-28.125
刘桂英,-27.625
杨秀英,-29.625
李秀珍,-28.1875
刘玉兰,-28.0
刘桂兰,-27.875
王玉梅,-28.375
王玉珍,-28.125
张凤英,-28.9375
李凤英,-28.0625
王玉英,-28.125
张玉梅,-29.125
王凤英,-28.1875
张玉英,-28.8125
李红梅,-28.25
张秀珍,-29.0625
王建华,-28.875
李玉梅,-28.25
李建华,-28.6875
张建华,-29.5625
张玉珍,-28.8125
张兰英,-29.0
王兰英,-28.3125
李玉珍,-27.9375
陈桂英,-28.0625
王建国,-28.25
王建军,-28.625
王淑珍,-28.5625
李春梅,-28.375
王海燕,-28.4375
李冬梅,-28.25
王秀荣,-28.5625
李桂珍,-27.9375
王秀云,-28.4375
王桂荣,-28.0625
王志强,-28.6875
张红梅,-29.125
刘凤英,-27.6875
李玉英,-27.9375
王秀梅,-28.125
王丽娟,-28.125
张婷婷,-28.5625
王婷婷,-27.875
王玉华,-28.25
张建国,-28.875
李兰英,-28.1875
王桂珍,-28.1875
李秀梅,-27.9375
陈玉兰,-28.4375
张玉华,-28.9375
刘玉梅,-27.875
李建军,-28.375
刘玉珍,-27.625
李建国,-28.0
李桂荣,-27.9375
陈秀兰,-28.375
张建军,-29.25
李秀荣,-28.4375
张秀梅,-28.8125
李雪梅,-27.9375
张海燕,-29.125
王淑兰,-28.3125
李志强,-28.5
李婷婷,-27.75
张秀荣,-29.3125
刘建华,-28.3125
王丽丽,-28.125
李海燕,-28.25
张桂荣,-28.75
刘秀兰,-27.9375
张志强,-29.375
李秀云,-28.25
李秀芳,-28.375
张丽丽,-28.8125
张秀云,-29.0625
王淑英,-28.5
王春梅,-28.625
王红梅,-28.4375
李玉华,-28.125
李桂芳,-27.9375
黄秀英,-29.0625
刘玉英,-27.5625
李淑珍,-28.375
王秀芳,-28.625
王丽华,-28.375
王丹丹,-28.1875
王桂香,-28.0
张桂珍,-28.8125
王淑华,-28.375
张秀芳,-29.25
张桂芳,-28.8125
张丽娟,-28.875
吴秀英,-27.9375
李桂香,-27.8125
杨秀兰,-29.375
王秀华,-28.6875
李桂芝,-28.0
王桂芳,-28.125
张春梅,-29.25
王冬梅,-28.4375
李秀华,-28.5
李丹丹,-28.0625
刘玉华,-27.6875
马秀英,-29.875
张丽华,-29.0625
张淑珍,-29.25
王桂芝,-28.1875
张秀华,-29.375
陈建华,-28.8125
杨桂英,-29.125
李淑英,-28.25
陈玉英,-28.0
杨秀珍,-29.375
孙秀英,-28.3125
刘桂珍,-27.625
刘建军,-28.0
张淑英,-29.125
李红霞,-28.125
赵秀英,-28.4375
王建平,-28.5625
张桂芝,-28.875
王桂花,-28.5625
刘婷婷,-27.375
张淑兰,-29.0
陈桂兰,-28.375
李淑华,-28.1875
刘建国,-27.625
李桂花,-28.375
王凤兰,-28.1875
李淑兰,-28.125
陈秀珍,-28.375
刘红梅,-27.875
刘桂荣,-27.5625
刘志强,-28.125
陈凤英,-28.125
陳怡君,-27.8125
林怡君,-27.5
陳冠宇,-27.5
陳淑芬,-28.0625
張雅婷,-28.8125
陳建宏,-28.1875
陳美玲,-27.5
陳怡如,-27.8125
陳美惠,-27.1875
陳淑惠,-27.9375
林淑惠,-27.5
張家豪,-28.9375
陳俊宏,-28.375
陳淑貞,-28.25
陳淑娟,-27.875
陳麗華,-27.625
