name,prob
王秀英,-16.125
李秀英,-15.25
张秀英,-17.875
王秀兰,-19.75
李桂英,-17.25
王桂英,-20.5
张秀兰,-19.5
张桂英,-19.875
王玉兰,-20.625
李秀兰,-21.25
张玉兰,-20.5
王桂兰,-20.75
陈秀英,-4.15625
张桂兰,-20.25
李桂兰,-19.625
王秀珍,-16.125
李玉兰,-15.3125
刘秀英,-17.125
刘桂英,-17.125
杨秀英,-16.75
李秀珍,-15.1875
刘玉兰,-17.5
刘桂兰,-18.25
王玉梅,-18.5
王玉珍,-18.375
张凤英,-21.75
李凤英,-16.625
王玉英,-20.375
张玉梅,-18.5
王凤英,-18.5
张玉英,-20.25
李红梅,-10.5
张秀珍,-17.625
王建华,-16.625
李玉梅,-15.375
李建华,-15.125
张建华,-16.75
张玉珍,-18.375
张兰英,-18.75
王兰英,-16.75
李玉珍,-15.375
陈桂英,-3.953125
王建国,-22.875
王建军,-19.5
王淑珍,-19.625
李春梅,-14.75
王海燕,-18.375
李冬梅,-13.5
王秀荣,-16.875
李桂珍,-16.25
王秀云,-18.75
王桂荣,-17.75
王志强,-18.625
张红梅,-15.3125
刘凤英,-18.0
李玉英,-16.5
王秀梅,-17.875
王丽娟,-13.125
张婷婷,-17.375
王婷婷,-18.75
王玉华,-17.5
张建国,-25.125
李兰英,-17.0
王桂珍,-18.75
李秀梅,-16.125
陈玉兰,-3.765625
张玉华,-17.5
刘玉梅,-16.0
李建军,-21.125
刘玉珍,-15.0
李建国,-17.375
李桂荣,-16.75
陈秀兰,-7.46875
张建军,-24.0
李秀荣,-17.125
张秀梅,-18.375
李雪梅,-13.6875
张海燕,-16.375
王淑兰,-20.375
李志强,-17.875
李婷婷,-16.75
张秀荣,-18.25
刘建华,-16.125
王丽丽,-13.625
李海燕,-17.5
张桂荣,-19.125
刘秀兰,-19.0
张志强,-18.375
李秀云,-16.75
李秀芳,-17.5
张丽丽,-13.625
张秀云,-18.0
王淑英,-18.25
王春梅,-18.0
王红梅,-14.5625
李玉华,-14.25
李桂芳,-17.5
黄秀英,-21.125
刘玉英,-17.25
李淑珍,-12.375
王秀芳,-19.5
王丽华,-15.1875
王丹丹,-16.0
王桂香,-22.625
张桂珍,-20.125
王淑华,-17.375
张秀芳,-20.25
张桂芳,-19.125
张丽娟,-12.75
吴秀英,-17.875
李桂香,-17.375
杨秀兰,-20.0
王秀华,-18.125
李桂芝,-17.75
王桂芳,-19.875
张春梅,-18.0
王冬梅,-16.375
李秀华,-15.0625
李丹丹,-15.375
刘玉华,-14.5
马秀英,-16.0
张丽华,-13.75
张淑珍,-17.75
王桂芝,-18.75
张秀华,-17.5
陈建华,-6.0
杨桂英,-16.0
李淑英,-11.625
陈玉英,-4.3125
杨秀珍,-17.375
孙秀英,-18.625
刘桂珍,-16.5
刘建军,-16.875
张淑英,-16.0
李红霞,-12.5625
赵秀英,-17.25
王建平,-13.375
张桂芝,-19.375
王桂花,-20.375
刘婷婷,-17.125
张淑兰,-21.375
陈桂兰,-3.734375
李淑华,-14.3125
刘建国,-18.625
李桂花,-16.125
王凤兰,-19.625
李淑兰,-18.125
陈秀珍,-3.515625
刘红梅,-12.0
刘桂荣,-16.125
刘志强,-18.625
陈凤英,-5.59375
陳怡君,-9.125
林怡君,-16.5
陳冠宇,-10.625
陳淑芬,-2.375
張雅婷,-15.8125
陳建宏,-11.6875
陳美玲,-3.203125
陳怡如,-9.875
陳美惠,-8.0
陳淑惠,-8.375
林淑惠,-13.875
張家豪,-17.375
陳俊宏,-8.875
陳淑貞,-7.15625
陳淑娟,-2.875
陳麗華,-1.484375
林佳慧,-15.125
林淑芬,-14.5625
陳冠廷,-11.0625
林建宏,-16.75
陳美華,-1.0234375
陳怡靜,-3.59375
陳柏翰,-5.1875
楊雅婷,-17.125
陳淑華,-0.8515625
陳柏宇,-10.0
陳怡伶,-9.8125
陳彥廷,-9.375
林麗華,-13.6875
張雅惠,-16.875
陳淑美,-6.78125
陳秀美,-6.25
陳信宏,-12.9375
林俊宏,-16.25
陳韻如,-5.125
陳怡婷,-7.9375
黃淑芬,-10.0
張雅雯,-14.9375
陳淑玲,-3.28125
陳思妤,-6.96875
黃鈺婷,-10.75
陳麗娟,-5.03125
林美惠,-15.25
林美玲,-15.0625
林淑娟,-15.25
林秀美,-16.875
陳志豪,-11.125
陳雅玲,-1.71875
張家銘,-8.4375
陳美玉,-9.125
陳秀琴,-9.4375
許雅婷,-19.375
王俊傑,-13.875
黃淑惠,-13.5625
劉怡君,-16.375
黃俊傑,-7.96875
陳冠霖,-9.625
張淑惠,-13.75
陳志明,-6.21875
陳美珠,-2.96875
陳秀英,-6.78125
陳俊宇,-11.75
陳雅惠,-7.96875
陳麗珠,-6.375
黃馨儀,-12.75
林佳蓉,-15.125
林淑華,-11.0625
陳怡安,-10.0
林淑貞,-13.875
陳美雲,-8.0
王怡婷,-19.875
林美華,-13.4375
林冠宇,-17.25
林冠廷,-19.25
陳秀鳳,-5.65625
陳惠美,-5.25
陳思穎,-1.09375
張淑芬,-11.625
陳建志,-5.875
陳惠玲,-7.0625
陳麗卿,-6.6875
林欣怡,-16.0
黃淑貞,-13.4375
黃美玲,-11.75
陳威廷,-11.875
李淑芬,-14.75
陳俊傑,-0.6875
陳美麗,-9.25
林秀英,-17.125
陳雅婷,-7.3125
陳麗美,-6.5625
黃美惠,-15.25
李佳蓉,-15.5
李麗華,-12.375
林志明,-15.6875
林雅惠,-16.25
陳品妤,-4.0
林欣儀,-13.5
陳秀蘭,-5.21875
鄭雅文,-19.625
陳慧玲,-2.46875
黃郁婷,-18.125
陳俊良,-9.9375
林彥廷,-17.75
林芳如,-18.75
陳麗如,-6.125
陳宥蓁,-5.4375
黃美華,-9.875
黃淑娟,-12.5
王淑芬,-16.5
黃麗華,-11.5
陳冠宏,-8.25
李淑惠,-14.9375
陳姿穎,-3.28125
林雅婷,-16.75
林麗娟,-17.375
林美玉,-17.625
張淑娟,-10.875
林宜蓁,-17.625
黃詩涵,-11.125
陳素貞,-5.40625
李怡萱,-17.125
張美玲,-12.8125
林秀琴,-17.375
吳佩珊,-13.75
林秀玲,-17.375
張淑貞,-13.75
李俊賢,-12.9375
吳宗翰,-20.0
陳柏宏,-10.875
陳建宇,-12.3125
張育誠,-10.1875
林哲宇,-20.0
張家瑋,-10.8125
陳建良,-4.59375
吳俊賢,-9.3125
陳柏安,-9.1875
陳柏霖,-9.3125
張凱翔,-11.5
陳建成,-12.25
李宗翰,-20.0
吳承翰,-17.75
李承翰,-19.0
張哲瑋,-10.5625
許家豪,-21.125
陳威宇,-10.375
陳柏諺,-3.484375
陳建銘,-4.84375
陳俊廷,-9.8125
林信宏,-16.375
張家榮,-12.75
張哲維,-11.1875
陳建安,-11.25
李承恩,-15.75
陳志成,-11.4375
蔡承翰,-22.375
林志鴻,-14.9375
吳承恩,-19.375
張志豪,-18.625
陳志忠,-9.0625
蔡宗翰,-22.5
陳奕安,-7.46875
陳俊男,-13.625
陳正雄,-10.125
陳志偉,-3.671875
林子傑,-13.0
林明輝,-12.6875
陳志銘,-7.84375
陳彥霖,-7.6875
李建興,-16.375
陳志宏,-11.375
陳俊豪,-9.5
陳柏睿,-9.625
楊宗翰,-19.25
黃柏翰,-12.25
陳俊吉,-9.375
陳彥宇,-9.5625
林子翔,-18.75
陳俊佑,-7.4375
李俊毅,-14.25
林建成,-16.625
林明德,-20.875
陳俊雄,-4.5
林冠宏,-20.25
陳文雄,-6.28125
林正雄,-16.375
陳文彬,-9.125
陳昱安,-8.875
劉冠廷,-18.375
王俊凱,-12.25
蔡承恩,-22.75
劉建宏,-17.125
陳志強,-5.25
吳俊毅,-16.625
陳俊銘,-2.875
林建志,-16.125
楊承翰,-18.625
黃柏翔,-17.125
陳宥廷,-11.625
林建良,-16.5
