name,prob
王秀英,-32.5
李秀英,-30.109375
张秀英,-39.75
王秀兰,-31.625
李桂英,-30.75
王桂英,-30.9375
张秀兰,-35.5625
张桂英,-39.0625
王玉兰,-31.75
李秀兰,-30.5
张玉兰,-36.9375
王桂兰,-31.6875
陈秀英,-42.625
张桂兰,-35.0
李桂兰,-30.734375
王秀珍,-33.09375
李玉兰,-31.3125
刘秀英,-45.734375
刘桂英,-41.75
杨秀英,-42.015625
李秀珍,-30.0859375
刘玉兰,-38.28125
刘桂兰,-35.828125
王玉梅,-31.609375
王玉珍,-31.609375
张凤英,-32.53125
李凤英,-30.34375
王玉英,-30.90625
张玉梅,-40.9375
王凤英,-30.34375
张玉英,-39.9375
李红梅,-31.265625
张秀珍,-40.125
王建华,-30.90625
李玉梅,-31.671875
李建华,-30.46875
张建华,-31.84375
张玉珍,-40.0
张兰英,-31.8125
王兰英,-31.25
李玉珍,-30.984375
陈桂英,-40.3125
王建国,-33.6875
王建军,-31.0
王淑珍,-31.875
李春梅,-31.34375
王海燕,-32.3125
李冬梅,-30.875
王秀荣,-31.4375
李桂珍,-30.34375
王秀云,-31.96875
王桂荣,-30.46875
王志强,-30.8125
张红梅,-31.765625
刘凤英,-35.4765625
李玉英,-30.96875
王秀梅,-31.46875
王丽娟,-31.34375
张婷婷,-39.625
王婷婷,-30.9375
王玉华,-32.125
张建国,-35.0
李兰英,-30.671875
王桂珍,-30.90625
李秀梅,-30.59375
陈玉兰,-38.1875
张玉华,-32.5
刘玉梅,-44.796875
李建军,-30.5
刘玉珍,-44.484375
李建国,-31.515625
李桂荣,-30.28125
陈秀兰,-37.8125
张建军,-31.875
李秀荣,-30.0625
张秀梅,-39.6875
李雪梅,-31.828125
张海燕,-40.0625
王淑兰,-31.5
李志强,-30.875
李婷婷,-31.4375
张秀荣,-33.6875
刘建华,-33.7109375
王丽丽,-30.6640625
李海燕,-31.8125
张桂荣,-33.21875
刘秀兰,-38.0
张志强,-40.125
李秀云,-31.28125
李秀芳,-31.359375
张丽丽,-33.84375
张秀云,-39.6875
王淑英,-32.25
王春梅,-32.03125
王红梅,-31.578125
李玉华,-31.828125
李桂芳,-30.859375
黄秀英,-39.375
刘玉英,-44.375
李淑珍,-29.734375
王秀芳,-31.984375
王丽华,-31.90625
王丹丹,-34.03125
王桂香,-31.90625
张桂珍,-37.75
王淑华,-31.46875
张秀芳,-40.375
张桂芳,-39.25
张丽娟,-33.84375
吴秀英,-41.9375
李桂香,-30.59375
杨秀兰,-38.125
王秀华,-31.3125
李桂芝,-30.5
王桂芳,-30.921875
张春梅,-39.625
王冬梅,-32.0625
李秀华,-30.75
李丹丹,-32.21875
刘玉华,-35.46875
马秀英,-43.25
张丽华,-33.78125
张淑珍,-38.8125
王桂芝,-31.1875
张秀华,-31.9375
陈建华,-32.53125
杨桂英,-38.8203125
李淑英,-30.046875
陈玉英,-41.25
杨秀珍,-41.03125
孙秀英,-42.875
刘桂珍,-40.5625
刘建军,-33.4296875
张淑英,-39.6875
李红霞,-31.265625
赵秀英,-46.265625
王建平,-30.71875
张桂芝,-38.3125
王桂花,-31.625
刘婷婷,-46.8125
张淑兰,-35.625
陈桂兰,-36.5625
李淑华,-31.03125
刘建国,-36.4921875
李桂花,-30.109375
王凤兰,-30.9375
李淑兰,-30.375
陈秀珍,-43.25
刘红梅,-35.921875
刘桂荣,-35.3671875
刘志强,-44.40625
陈凤英,-34.03125
陳怡君,-30.625
林怡君,-30.4375
陳冠宇,-31.03125
陳淑芬,-31.03125
張雅婷,-30.9921875
陳建宏,-29.859375
陳美玲,-32.765625
陳怡如,-30.15625
陳美惠,-34.4375
陳淑惠,-30.671875
林淑惠,-31.171875
張家豪,-29.875
陳俊宏,-32.875
陳淑貞,-31.90625
陳淑娟,-30.59375
陳麗華,-31.484375
林佳慧,-31.375
林淑芬,-31.09375
陳冠廷,-30.4375
林建宏,-30.046875
陳美華,-31.625
陳怡靜,-30.390625
陳柏翰,-30.8125
楊雅婷,-34.1318359375
陳淑華,-30.984375
陳柏宇,-30.5625
陳怡伶,-30.34375
陳彥廷,-31.125
林麗華,-32.046875
張雅惠,-31.1875
陳淑美,-31.484375
陳秀美,-32.46875
陳信宏,-31.375
林俊宏,-32.9375
陳韻如,-31.125
陳怡婷,-30.6875
黃淑芬,-31.40625
張雅雯,-30.859375
