extracted_name,refine_flag,region,trial_num
李兰英,False,1,0
王海燕,False,1,0
李淑英,False,1,0
蔡承恩,False,0,0
林雅婷,False,0,0
蔡承恩,False,0,0
李淑英,False,1,0
李淑英,False,1,0
陈美惠,True,-1,0
李淑英,False,1,0
李淑英,False,1,0
陳宥蓁,False,0,0
王建平,False,1,0
蔡承恩,False,0,0
蔡承翰,False,0,0
陳宥蓁,False,0,0
陈美惠,True,-1,0
李淑英,False,1,0
李淑英,False,1,0
蔡承翰,False,0,0
李淑英,False,1,0
陈美惠,True,-1,0
李淑英,False,1,0
王建平,False,1,0
蔡承恩,False,0,0
陈美惠,True,-1,0
李淑英,False,1,0
李淑英,False,1,0
蔡承翰,False,0,0
王海燕,False,1,0
李淑英,False,1,0
蔡承翰,False,0,0
林秀美,False,0,0
林秀美,False,0,0
蔡承翰,False,0,0
张海燕,False,1,0
陈文雄,True,-1,0
陳文雄,False,0,0
陈美惠,True,-1,0
李淑英,False,1,0
蔡承翰,False,0,0
李淑英,False,1,0
李淑英,False,1,0
蔡承翰,False,0,0
李淑英,False,1,0
蔡承恩,False,0,0
林秀美,False,0,0
陈美惠,True,-1,0
蔡承恩,False,0,0
李淑英,False,1,0
陳美惠,False,0,0
李淑英,False,1,0
陳文雄,False,0,0
李淑英,False,1,0
李淑英,False,1,0
林雅婷,False,0,0
张海燕,False,1,0
陈美惠,True,-1,0
蔡承恩,False,0,0
陳美惠,False,0,0
蔡承翰,False,0,0
陈美惠,True,-1,0
李淑英,False,1,0
蔡承恩,False,0,0
李淑英,False,1,0
陳美惠,False,0,0
李淑英,False,1,0
蔡承翰,False,0,0
陳宥蓁,False,0,0
蔡承恩,False,0,0
蔡承翰,False,0,0
林秀美,False,0,0
蔡承翰,False,0,0
陈美惠,True,-1,0
陳文雄,False,0,0
蔡承翰,False,0,0
李淑英,False,1,0
劉红梅,True,-1,0
陈宥蓁,True,-1,0
李淑英,False,1,0
楊承翰,False,0,1
陳俊傑,False,0,1
陈志強,True,-1,1
陳品妤,False,0,1
陈桂英,False,1,1
王婷婷,False,1,1
陈志強,True,-1,1
陈俊杰,True,-1,1
陈志強,True,-1,1
陈桂英,False,1,1
刘志强,False,1,1
陳品妤,False,0,1
陈桂英,False,1,1
陳柏翰,False,0,1
陳志強,False,0,1
陳志強,False,0,1
陳志強,False,0,1
陳志強,False,0,1
陳韻如,True,0,1
陳志強,False,0,1
楊承翰,False,0,1
陈志強,True,-1,1
陳志強,False,0,1
陈志強,True,-1,1
陈志強,True,-1,1
陈志強,True,-1,1
陈桂英,False,1,1
陳柏翰,False,0,1
陈志成,True,-1,1
陳品妤,False,0,1
陈俊杰,True,-1,1
陳志成,False,0,1
陳志強,False,0,1
楊承翰,False,0,1
陈桂英,False,1,1
陈桂英,False,1,1
陈桂英,False,1,1
刘志强,True,1,1
陈志強,True,-1,1
陈桂英,False,1,1
陳志強,False,0,1
楊承翰,False,0,1
陈品妤,True,-1,1
陈志強,True,-1,1
陈志成,True,-1,1
张桂芳,False,1,1
陳柏翰,False,0,1
陳志成,False,0,1
张凤英,False,1,1
陈品妤,True,-1,1
陳志強,False,0,1
陈志強,True,-1,1
陳志成,False,0,1
陈桂英,False,1,1
陳志強,False,0,1
陈志強,True,-1,1
陈桂英,False,1,1
陈桂英,False,1,1
陳品妤,False,0,1
陳品妤,False,0,1
陳志強,False,0,1
陈志成,True,-1,1
陈俊杰,True,-1,1
陈桂英,False,1,1
陳志強,False,0,1
陳志強,False,0,1
李桂芳,False,1,1
陳志強,False,0,1
陳品妤,False,0,1
陈俊傑,True,-1,1
陳志成,False,0,1
楊承翰,False,0,1
陈志成,True,-1,1
陈志強,True,-1,1
陳柏翰,False,0,1
陳志強,False,0,1
李桂芳,False,1,1
陳志強,False,0,1
陳志成,False,0,1
陈志成,True,-1,1
NA,True,-1,2
李秀华,False,1,2
张丽华,False,1,2
李秀华,False,1,2
陈韵如,True,-1,2
李秀华,False,1,2
李玉英,False,1,2
李玉兰,False,1,2
陈丽美,True,-1,2
李秀华,False,1,2
张丽华,False,1,2
李玉英,False,1,2
张丽华,False,1,2
陳麗如,False,0,2
陈丽美,True,-1,2
张丽华,False,1,2
张丽娟,False,1,2
李玉兰,False,1,2
李秀华,False,1,2
陈丽美,True,-1,2
李秀华,False,1,2
李玉珍,False,1,2
李玉兰,False,1,2
張丽华,True,-1,2
李秀华,False,1,2
陳麗如,False,0,2
李玉兰,False,1,2
張志豪,False,0,2
张丽华,False,1,2
李玉兰,False,1,2
李玉兰,False,1,2
陈韵如,True,-1,2
李玉兰,False,1,2
张兰英,False,1,2
李秀华,False,1,2
李玉兰,False,1,2
张丽娟,False,1,2
張丽华,True,-1,2
陈丽美,True,-1,2
李秀华,False,1,2
张丽娟,False,1,2
李俊賢,False,0,2
李玉兰,False,1,2
陈丽美,True,-1,2
张丽娟,False,1,2
李秀华,False,1,2
李俊賢,False,0,2
李秀华,False,1,2
李玉珍,False,1,2
张丽华,False,1,2
陳麗美,False,0,2
张秀芳,False,1,2
張志豪,False,0,2
李玉兰,False,1,2
李玉兰,False,1,2
陈韵如,True,-1,2
李玉兰,False,1,2
张秀芳,False,1,2
陳麗如,False,0,2
李秀华,False,1,2
劉建军,True,-1,2
张丽华,False,1,2
張秀芳,True,-1,2
李玉兰,False,1,2
陳麗美,False,0,2
张丽华,False,1,2
陈丽美,True,-1,2
陈韵如,True,-1,2
李俊毅,False,0,2
李秀华,False,1,2
张丽华,False,1,2
陳韻如,False,0,2
张丽华,False,1,2
陈丽美,True,-1,2
張志豪,False,0,2
李秀华,False,1,2
李玉英,False,1,2
李玉英,False,1,2
张丽娟,False,1,2
张丽娟,False,1,2
陳正雄,False,0,3
陈桂兰,False,1,3
陈桂兰,False,1,3
陳正雄,False,0,3
陈昱安,True,-1,3
張桂珍,True,-1,3
張海燕,True,-1,3
陳威宇,False,0,3
张海燕,False,1,3
劉玉梅,True,-1,3
陳正雄,False,0,3
林建宏,False,0,3
刘玉梅,False,1,3
張桂珍,True,-1,3
