extracted_name,refine_flag,region,trial_num
蔡承翰,False,0,0
NA,True,-1,0
NA,True,-1,0
陳美惠,False,0,0
NA,True,-1,0
蔡承恩,False,0,0
NA,True,-1,0
NA,True,-1,0
NA,True,-1,0
陳美惠,False,0,0
刘玉梅,False,1,0
NA,True,-1,0
陈美惠,True,-1,0
NA,True,-1,0
NA,True,-1,0
NA,True,-1,0
陳美惠,False,0,0
NA,True,-1,0
NA,True,-1,0
NA,True,-1,0
NA,True,-1,0
NA,True,-1,0
李淑英,False,1,0
NA,True,-1,0
陈美惠,True,-1,0
NA,True,-1,0
蔡承翰,False,0,0
陳美惠,False,0,0
蔡承翰,False,0,0
陳文雄,False,0,0
蔡承翰,False,0,0
NA,True,-1,0
林雅婷,False,0,0
蔡承恩,False,0,0
NA,True,-1,0
NA,True,-1,0
NA,True,-1,0
陳美惠,False,0,0
NA,True,-1,0
NA,True,-1,0
NA,True,-1,0
林秀美,False,0,0
陳美惠,False,0,0
NA,True,-1,0
林雅婷,False,0,0
蔡承恩,False,0,0
陈美惠,True,-1,0
NA,True,-1,0
劉红梅,True,-1,0
王桂荣,False,1,0
蔡承恩,False,0,0
NA,True,-1,0
NA,True,-1,0
陈美惠,True,-1,0
NA,True,-1,0
陈美惠,True,-1,0
NA,True,-1,0
蔡承恩,False,0,0
蔡承恩,False,0,0
陳美惠,False,0,0
