extracted_name,refine_flag,region
王桂荣,True,1
王海燕,True,1
陳文雄,True,0
李俊毅,True,0
NA,True,-1
李俊毅,True,0
NA,True,-1
李俊毅,True,0
NA,True,-1
NA,True,-1
NA,True,-1
NA,True,-1
李俊毅,True,0
NA,True,-1
王桂荣,True,1
NA,True,-1
NA,True,-1
王建平,True,1
NA,True,-1
NA,True,-1
李淑英,True,1
NA,True,-1
陳文雄,True,0
NA,True,-1
王建平,True,1
NA,True,-1
王桂荣,True,1
NA,True,-1
NA,True,-1
NA,True,-1
王建平,True,1
NA,True,-1
陳文雄,True,0
NA,True,-1
林雅婷,True,0
NA,True,-1
王桂荣,True,1
蔡承翰,True,0
NA,True,-1
NA,True,-1
陳文雄,True,0
NA,True,-1
NA,True,-1
NA,True,-1
NA,True,-1
林雅婷,True,0
李淑英,True,1
NA,True,-1
林雅婷,True,0
王桂荣,True,1
NA,True,-1
NA,True,-1
王桂荣,True,1
NA,True,-1
王桂荣,True,1
NA,True,-1
平,False,1
李俊毅,True,0
李俊毅,True,0
NA,True,-1
NA,True,-1
李俊毅,True,0
林雅婷,True,0
NA,True,-1
NA,True,-1
蔡承翰,True,0
王桂荣,True,1
王桂荣,True,1
NA,True,-1
李淑英,True,1
NA,True,-1
NA,True,-1
NA,True,-1
王桂荣,True,1
NA,True,-1
林雅婷,True,0
王建平,True,1
李淑英,True,1
NA,True,-1
李俊毅,True,0
陳文雄,True,0
NA,True,-1
NA,True,-1
王桂荣,True,1
NA,True,-1
李俊毅,True,0
王桂荣,True,1
王建平,True,1
王桂荣,True,1
王桂荣,True,1
建,False,1
王建平,True,1
王桂荣,True,1
蔡承翰,True,0
李俊毅,True,0
NA,True,-1
NA,True,-1
王桂荣,True,1
李淑英,True,1
王桂荣,True,1
NA,True,-1
蔡承恩,True,0
NA,True,-1
王建平,True,1
NA,True,-1
李俊毅,True,0
林雅婷,True,0
NA,True,-1
NA,True,-1
NA,True,-1
NA,True,-1
李俊毅,True,0
NA,True,-1
NA,True,-1
王海燕,True,1
NA,True,-1
NA,True,-1
王建平,True,1
NA,True,-1
NA,True,-1
NA,True,-1
王桂荣,True,1
NA,True,-1
NA,True,-1
王桂荣,True,1
蔡承恩,True,0
NA,True,-1
NA,True,-1
NA,True,-1
李兰英,True,1
NA,True,-1
王桂荣,True,1
NA,True,-1
NA,True,-1
NA,True,-1
王桂荣,True,1
王建平,True,1
王建平,True,1
王桂荣,True,1
NA,True,-1
王桂荣,True,1
NA,True,-1
NA,True,-1
林雅婷,True,0
