firstname,lastname,prob
秀英,王,-8.75
秀英,李,-10.875
秀英,王,-9.1875
秀英,李,-4.90625
秀英,王,-8.6875
秀英,张,-9.6875
秀英,王,-10.8125
秀英,张,-7.75
秀英,王,-8.625
秀英,陈,-13.1875
秀英,王,-10.75
秀英,陈,-7.875
秀英,李,-5.0625
秀英,张,-8.125
秀英,李,-9.4375
秀英,张,-6.46875
秀英,李,-5.34375
秀英,陈,-11.5625
秀英,李,-10.5625
秀英,陈,-8.25
秀英,张,-6.90625
秀英,陈,-12.125
秀英,张,-7.3125
秀英,陈,-6.25
秀英,刘,-3.28125
秀英,杨,-7.90625
秀英,刘,-9.0
秀英,杨,-4.5625
秀英,吴,-1.265625
秀英,马,-6.71875
秀英,吴,-4.59375
秀英,马,-3.15625
秀英,孙,-0.3515625
秀英,赵,-5.09375
秀英,孙,-5.875
秀英,赵,-0.1787109375
秀兰,王,-13.375
秀兰,张,-10.0625
秀兰,王,-14.8125
秀兰,张,-13.1875
秀兰,王,-13.6875
秀兰,李,-10.3125
秀兰,王,-13.5
秀兰,李,-10.625
秀兰,张,-12.125
秀兰,李,-10.375
秀兰,张,-9.5625
秀兰,李,-9.625
桂英,李,-8.0
桂英,王,-9.6875
桂英,李,-7.875
桂英,王,-9.125
桂英,李,-7.6875
桂英,张,-8.5
桂英,李,-7.46875
桂英,张,-8.625
桂英,王,-8.5
桂英,张,-7.9375
桂英,王,-9.5
桂英,张,-8.0625
玉兰,王,-9.0
玉兰,张,-8.0625
玉兰,王,-9.6875
玉兰,张,-7.25
玉兰,李,-7.5625
玉兰,刘,-8.8125
玉兰,李,-7.875
玉兰,刘,-8.4375
桂兰,王,-8.5
桂兰,张,-7.5
桂兰,王,-8.375
桂兰,张,-6.84375
桂兰,王,-8.875
桂兰,李,-7.4375
桂兰,王,-8.9375
桂兰,李,-7.625
桂兰,张,-7.03125
桂兰,李,-7.03125
桂兰,张,-7.46875
桂兰,李,-7.28125
玉梅,王,-9.0
玉梅,张,-7.96875
玉梅,王,-9.8125
玉梅,张,-7.8125
凤英,张,-7.125
凤英,李,-7.6875
凤英,张,-7.125
凤英,李,-7.625
凤英,张,-7.5625
凤英,王,-10.1875
凤英,张,-7.59375
凤英,王,-10.5
凤英,李,-7.9375
凤英,王,-10.0625
凤英,李,-8.5
凤英,王,-10.375
玉英,王,-9.375
玉英,张,-8.375
玉英,王,-10.5625
玉英,张,-7.4375
建华,王,-9.8125
建华,李,-8.5625
建华,王,-9.6875
建华,李,-8.5
建华,王,-9.875
建华,张,-7.8125
建华,王,-9.5625
建华,张,-7.375
建华,李,-8.5
建华,张,-7.53125
建华,李,-8.3125
建华,张,-7.4375
玉珍,张,-8.1875
玉珍,李,-9.5
玉珍,张,-7.9375
玉珍,李,-7.5
兰英,张,-7.96875
兰英,王,-9.75
兰英,张,-7.375
兰英,王,-9.375
婷婷,张,-7.5
婷婷,王,-8.6875
婷婷,张,-7.0625
婷婷,王,-9.0625
建国,张,-6.375
建国,李,-7.25
建国,张,-6.09375
建国,李,-7.09375
秀梅,李,-11.5
秀梅,张,-11.4375
秀梅,李,-10.625
秀梅,张,-12.0
建军,李,-7.25
建军,张,-6.3125
建军,李,-7.59375
建军,张,-5.96875
海燕,张,-6.875
海燕,李,-6.625
海燕,张,-6.625
海燕,李,-6.9375
志强,李,-8.5625
志强,张,-8.0
志强,李,-8.625
志强,张,-7.9375
丽丽,王,-9.3125
丽丽,张,-7.125
丽丽,王,-9.4375
丽丽,张,-8.0
桂芳,张,-7.34375
桂芳,王,-8.8125
桂芳,张,-7.21875
桂芳,王,-8.5625
秀华,王,-11.5625
秀华,李,-9.625
秀华,王,-11.1875
秀华,李,-10.8125
淑英,李,-5.8125
淑英,张,-7.4375
淑英,李,-6.65625
淑英,张,-6.46875
桂花,王,-8.375
桂花,李,-7.0625
桂花,王,-8.5625
桂花,李,-6.4375
淑兰,张,-7.5
淑兰,李,-7.5625
淑兰,张,-6.65625
淑兰,李,-7.40625
怡君,陳,-2.125
怡君,林,-2.3125
怡君,陳,-3.78125
怡君,林,-1.0859375
建宏,陳,-1.5703125
建宏,林,-1.1953125
建宏,陳,-2.984375
建宏,林,-0.490234375
淑惠,陳,-2.078125
淑惠,林,-2.390625
淑惠,陳,-3.671875
淑惠,林,-0.921875
麗華,陳,-1.6328125
麗華,林,-2.875
麗華,陳,-2.25
麗華,林,-1.7421875
俊傑,王,-9.0
俊傑,黃,-4.78125
俊傑,王,-8.5625
俊傑,黃,-2.1875
承翰,吳,-2.328125
承翰,李,-5.125
承翰,吳,-3.4375
承翰,李,-5.875
承恩,李,-5.3125
承恩,吳,-3.375
承恩,李,-5.9375
承恩,吳,-1.9921875
