firstname,lastname,prob
秀英,王,-7.09375
秀英,李,-10.125
秀英,王,-10.1875
秀英,李,-6.875
秀英,王,-8.3125
秀英,张,-10.8125
秀英,王,-10.0
秀英,张,-4.75
秀英,王,-9.25
秀英,陈,-14.4375
秀英,王,-11.4375
秀英,陈,-9.0
秀英,李,-6.25
秀英,张,-9.0
秀英,李,-8.1875
秀英,张,-4.625
秀英,李,-6.21875
秀英,陈,-12.1875
秀英,李,-10.125
秀英,陈,-8.75
秀英,张,-6.0625
秀英,陈,-11.75
秀英,张,-6.875
秀英,陈,-6.65625
秀英,刘,-3.375
秀英,杨,-6.8125
秀英,刘,-10.75
秀英,杨,-6.21875
秀英,吴,-3.671875
秀英,马,-9.8125
秀英,吴,-6.5
秀英,马,-9.1875
秀英,孙,-0.67578125
秀英,赵,-6.375
秀英,孙,-5.78125
秀英,赵,-0.08984375
秀兰,王,-15.625
秀兰,张,-13.375
秀兰,王,-15.5625
秀兰,张,-14.3125
秀兰,王,-15.75
秀兰,李,-12.75
秀兰,王,-15.375
秀兰,李,-12.5
秀兰,张,-13.5625
秀兰,李,-12.125
秀兰,张,-11.5625
秀兰,李,-11.375
桂英,李,-8.875
桂英,王,-10.0625
桂英,李,-8.1875
桂英,王,-10.0625
桂英,李,-7.875
桂英,张,-8.0625
桂英,李,-7.5625
桂英,张,-8.75
桂英,王,-8.875
桂英,张,-7.90625
桂英,王,-9.875
桂英,张,-8.9375
玉兰,王,-8.4375
玉兰,张,-7.78125
玉兰,王,-10.0
玉兰,张,-8.4375
玉兰,李,-8.5625
玉兰,刘,-10.0
玉兰,李,-7.6875
玉兰,刘,-9.25
桂兰,王,-8.0625
桂兰,张,-6.75
桂兰,王,-8.625
桂兰,张,-7.4375
桂兰,王,-9.5625
桂兰,李,-7.125
桂兰,王,-9.6875
桂兰,李,-7.9375
桂兰,张,-7.625
桂兰,李,-6.875
桂兰,张,-7.625
桂兰,李,-7.125
玉梅,王,-7.71875
玉梅,张,-6.84375
玉梅,王,-8.875
玉梅,张,-8.3125
凤英,张,-8.625
凤英,李,-7.65625
凤英,张,-7.125
凤英,李,-8.1875
凤英,张,-9.1875
凤英,王,-10.0625
凤英,张,-7.125
凤英,王,-9.8125
凤英,李,-9.25
凤英,王,-10.25
凤英,李,-7.6875
凤英,王,-10.0625
玉英,王,-8.1875
玉英,张,-7.40625
玉英,王,-8.875
玉英,张,-7.4375
建华,王,-9.375
建华,李,-8.0625
建华,王,-9.625
建华,李,-8.375
建华,王,-8.5625
建华,张,-7.0
建华,王,-9.5625
建华,张,-8.3125
建华,李,-7.75
建华,张,-7.3125
建华,李,-8.25
建华,张,-8.25
玉珍,张,-8.4375
玉珍,李,-8.3125
玉珍,张,-6.78125
玉珍,李,-6.40625
兰英,张,-9.875
兰英,王,-10.9375
兰英,张,-8.3125
兰英,王,-10.0625
婷婷,张,-8.125
婷婷,王,-8.625
婷婷,张,-6.4375
婷婷,王,-8.9375
建国,张,-6.96875
建国,李,-7.03125
建国,张,-6.1875
建国,李,-6.3125
秀梅,李,-11.375
秀梅,张,-11.1875
秀梅,李,-10.5625
秀梅,张,-13.3125
建军,李,-6.96875
建军,张,-6.21875
建军,李,-7.09375
建军,张,-6.28125
海燕,张,-8.3125
海燕,李,-7.0625
海燕,张,-7.25
海燕,李,-7.8125
志强,李,-7.75
志强,张,-7.3125
志强,李,-7.84375
志强,张,-7.90625
丽丽,王,-8.875
丽丽,张,-6.6875
丽丽,王,-8.8125
丽丽,张,-7.9375
桂芳,张,-8.0
桂芳,王,-8.6875
桂芳,张,-7.40625
桂芳,王,-8.625
秀华,王,-12.0
秀华,李,-11.125
秀华,王,-11.25
秀华,李,-11.3125
淑英,李,-8.625
淑英,张,-7.625
淑英,李,-7.3125
淑英,张,-8.75
桂花,王,-8.8125
桂花,李,-6.09375
桂花,王,-8.25
桂花,李,-6.46875
淑兰,张,-7.875
淑兰,李,-7.375
淑兰,张,-6.78125
淑兰,李,-7.71875
怡君,陳,-3.0625
怡君,林,-1.6796875
怡君,陳,-4.3125
怡君,林,-0.431640625
建宏,陳,-2.6875
建宏,林,-1.1796875
建宏,陳,-3.625
建宏,林,-0.494140625
淑惠,陳,-3.8125
淑惠,林,-2.5
淑惠,陳,-4.9375
淑惠,林,-0.55859375
麗華,陳,-2.671875
麗華,林,-2.296875
麗華,陳,-2.390625
麗華,林,-1.453125
俊傑,王,-8.25
俊傑,黃,-3.875
俊傑,王,-8.625
俊傑,黃,-2.40625
承翰,吳,-2.25
承翰,李,-5.875
承翰,吳,-2.71875
承翰,李,-5.59375
承恩,李,-5.21875
承恩,吳,-1.9609375
承恩,李,-6.1875
承恩,吳,-1.3203125
