firstname,lastname,prob
秀英,王,-7.25
秀英,李,-9.375
秀英,王,-9.25
秀英,李,-7.0
秀英,王,-7.46875
秀英,张,-11.625
秀英,王,-11.125
秀英,张,-9.625
秀英,王,-6.8125
秀英,陈,-12.875
秀英,王,-9.75
秀英,陈,-9.75
秀英,李,-6.53125
秀英,张,-10.0625
秀英,李,-9.3125
秀英,张,-8.9375
秀英,李,-6.25
秀英,陈,-12.125
秀英,李,-8.6875
秀英,陈,-10.25
秀英,张,-8.6875
秀英,陈,-12.375
秀英,张,-8.6875
秀英,陈,-8.3125
秀英,刘,-5.84375
秀英,杨,-9.25
秀英,刘,-10.625
秀英,杨,-8.0625
秀英,吴,-3.203125
秀英,马,-9.375
秀英,吴,-5.1875
秀英,马,-7.0625
秀英,孙,-0.88671875
秀英,赵,-4.5
秀英,孙,-5.3125
秀英,赵,-0.171875
秀兰,王,-12.875
秀兰,张,-11.875
秀兰,王,-12.8125
秀兰,张,-13.0
秀兰,王,-12.375
秀兰,李,-9.875
秀兰,王,-12.5
秀兰,李,-9.6875
秀兰,张,-13.0
秀兰,李,-9.625
秀兰,张,-10.375
秀兰,李,-9.25
桂英,李,-8.5
桂英,王,-10.125
桂英,李,-8.125
桂英,王,-9.75
桂英,李,-7.375
桂英,张,-9.1875
桂英,李,-7.46875
桂英,张,-9.25
桂英,王,-8.625
桂英,张,-9.125
桂英,王,-9.625
桂英,张,-9.875
玉兰,王,-8.8125
玉兰,张,-9.375
玉兰,王,-10.4375
玉兰,张,-9.375
玉兰,李,-8.25
玉兰,刘,-11.1875
玉兰,李,-7.875
玉兰,刘,-9.5
桂兰,王,-7.84375
桂兰,张,-7.90625
桂兰,王,-8.5
桂兰,张,-8.3125
桂兰,王,-9.125
桂兰,李,-7.03125
桂兰,王,-9.25
桂兰,李,-7.40625
桂兰,张,-8.3125
桂兰,李,-6.75
桂兰,张,-8.6875
桂兰,李,-6.8125
玉梅,王,-7.625
玉梅,张,-8.4375
玉梅,王,-8.4375
玉梅,张,-8.4375
凤英,张,-9.75
凤英,李,-7.9375
凤英,张,-8.6875
凤英,李,-8.25
凤英,张,-10.0625
凤英,王,-10.0
凤英,张,-8.125
凤英,王,-9.8125
凤英,李,-8.5
凤英,王,-10.125
凤英,李,-7.9375
凤英,王,-10.125
玉英,王,-7.5625
玉英,张,-9.125
玉英,王,-8.25
玉英,张,-8.8125
建华,王,-8.625
建华,李,-7.71875
建华,王,-9.125
建华,李,-7.65625
建华,王,-8.375
建华,张,-7.40625
建华,王,-8.875
建华,张,-8.75
建华,李,-7.5
建华,张,-7.8125
建华,李,-7.9375
建华,张,-8.875
玉珍,张,-9.625
玉珍,李,-7.84375
玉珍,张,-8.375
玉珍,李,-6.125
兰英,张,-10.1875
兰英,王,-10.0
兰英,张,-8.75
兰英,王,-9.875
婷婷,张,-9.5625
婷婷,王,-8.6875
婷婷,张,-6.875
婷婷,王,-8.8125
建国,张,-7.625
建国,李,-6.625
建国,张,-6.0
建国,李,-5.9375
秀梅,李,-9.25
秀梅,张,-10.4375
秀梅,李,-9.8125
秀梅,张,-13.375
建军,李,-6.90625
建军,张,-6.65625
建军,李,-7.09375
建军,张,-7.34375
海燕,张,-8.875
海燕,李,-7.21875
海燕,张,-7.53125
海燕,李,-7.46875
志强,李,-7.3125
志强,张,-7.3125
志强,李,-7.3125
志强,张,-8.1875
丽丽,王,-8.5625
丽丽,张,-7.3125
丽丽,王,-8.375
丽丽,张,-9.375
桂芳,张,-9.125
桂芳,王,-8.5
桂芳,张,-8.8125
桂芳,王,-7.96875
秀华,王,-10.625
秀华,李,-9.75
秀华,王,-10.5
秀华,李,-10.5625
淑英,李,-8.75
淑英,张,-8.5625
淑英,李,-8.0
淑英,张,-10.0
桂花,王,-8.625
桂花,李,-6.78125
桂花,王,-8.375
桂花,李,-6.78125
淑兰,张,-8.9375
淑兰,李,-7.4375
淑兰,张,-6.59375
淑兰,李,-7.21875
怡君,陳,-2.40625
怡君,林,-2.53125
怡君,陳,-3.390625
怡君,林,-0.83203125
建宏,陳,-2.21875
建宏,林,-2.03125
建宏,陳,-2.625
建宏,林,-1.625
淑惠,陳,-3.1875
淑惠,林,-3.4375
淑惠,陳,-3.9375
淑惠,林,-1.6328125
麗華,陳,-2.8125
麗華,林,-2.9375
麗華,陳,-3.078125
麗華,林,-2.265625
俊傑,王,-8.6875
俊傑,黃,-3.515625
俊傑,王,-9.0
俊傑,黃,-2.46875
承翰,吳,-1.7109375
承翰,李,-6.28125
承翰,吳,-2.203125
承翰,李,-5.6875
承恩,李,-5.125
承恩,吳,-1.6171875
承恩,李,-6.0
承恩,吳,-1.0703125
