firstname,lastname,prob
秀英,王,-22.2109375
秀英,李,-23.4609375
秀英,王,-21.875
秀英,李,-22.0
秀英,王,-22.7578125
秀英,张,-23.8828125
秀英,王,-24.390625
秀英,张,-23.39453125
秀英,王,-22.373046875
秀英,陈,-25.4375
秀英,王,-22.71875
秀英,陈,-23.71875
秀英,李,-22.5546875
秀英,张,-22.6796875
秀英,李,-24.53125
秀英,张,-22.837890625
秀英,李,-21.89453125
秀英,陈,-24.390625
秀英,李,-22.4765625
秀英,陈,-23.1015625
秀英,张,-23.41015625
秀英,陈,-27.09375
秀英,张,-23.181640625
秀英,陈,-25.5625
秀英,刘,-22.2109375
秀英,杨,-22.2734375
秀英,刘,-24.09375
秀英,杨,-22.21484375
秀英,吴,-24.4375
秀英,马,-23.62109375
秀英,吴,-25.40625
秀英,马,-22.9609375
秀英,孙,-24.671875
秀英,赵,-23.92578125
秀英,孙,-27.296875
秀英,赵,-24.36376953125
秀兰,王,-22.8203125
秀兰,张,-21.8828125
秀兰,王,-23.875
秀兰,张,-22.12890625
秀兰,王,-22.1640625
秀兰,李,-23.03125
秀兰,王,-22.3828125
秀兰,李,-22.5078125
秀兰,张,-22.087890625
秀兰,李,-24.46875
秀兰,张,-22.06640625
秀兰,李,-23.8125
桂英,李,-22.18359375
桂英,王,-22.6875
桂英,李,-22.8203125
桂英,王,-22.3203125
桂英,李,-21.66796875
桂英,张,-22.734375
桂英,李,-22.78125
桂英,张,-21.71484375
桂英,王,-21.8828125
桂英,张,-23.0625
桂英,王,-22.8125
桂英,张,-22.05859375
玉兰,王,-22.8984375
玉兰,张,-23.53125
玉兰,王,-23.25
玉兰,张,-22.8125
玉兰,李,-22.8984375
玉兰,刘,-25.96875
玉兰,李,-23.515625
玉兰,刘,-24.390625
桂兰,王,-22.8203125
桂兰,张,-23.875
桂兰,王,-23.46875
桂兰,张,-22.90625
桂兰,王,-23.0390625
桂兰,李,-23.65625
桂兰,王,-23.6875
桂兰,李,-23.1875
桂兰,张,-22.25
桂兰,李,-23.5625
桂兰,张,-23.640625
桂兰,李,-22.890625
玉梅,王,-23.4765625
玉梅,张,-25.28125
玉梅,王,-23.6328125
玉梅,张,-24.1875
凤英,张,-21.388671875
凤英,李,-22.765625
凤英,张,-22.109375
凤英,李,-21.35546875
凤英,张,-21.92578125
凤英,王,-22.421875
凤英,张,-22.3203125
凤英,王,-21.8203125
凤英,李,-21.21484375
凤英,王,-21.71875
凤英,李,-21.8125
凤英,王,-21.44140625
玉英,王,-21.88671875
玉英,张,-23.640625
玉英,王,-22.796875
玉英,张,-22.42578125
建华,王,-23.15625
建华,李,-23.78125
建华,王,-23.484375
建华,李,-23.546875
建华,王,-22.8515625
建华,张,-23.28125
建华,王,-23.5
建华,张,-22.8203125
建华,李,-23.375
建华,张,-23.1796875
建华,李,-23.75
建华,张,-22.4453125
玉珍,张,-24.109375
玉珍,李,-23.859375
玉珍,张,-24.609375
玉珍,李,-23.484375
兰英,张,-21.744140625
兰英,王,-23.375
兰英,张,-22.390625
兰英,王,-21.63671875
婷婷,张,-23.2421875
婷婷,王,-23.625
婷婷,张,-24.703125
婷婷,王,-23.203125
建国,张,-22.5625
建国,李,-23.4375
建国,张,-22.546875
建国,李,-22.484375
秀梅,李,-22.28125
秀梅,张,-21.96875
秀梅,李,-23.03125
秀梅,张,-21.7265625
建军,李,-22.8203125
建军,张,-22.9375
建军,李,-23.5625
建军,张,-22.3046875
海燕,张,-22.515625
海燕,李,-23.328125
海燕,张,-23.5
海燕,李,-22.7578125
志强,李,-23.4140625
志强,张,-23.96875
志强,李,-23.8125
志强,张,-22.6796875
丽丽,王,-22.921875
丽丽,张,-24.296875
丽丽,王,-23.34375
丽丽,张,-23.15625
桂芳,张,-23.5
桂芳,王,-23.5
桂芳,张,-24.65625
桂芳,王,-23.15625
秀华,王,-22.6328125
秀华,李,-22.9375
秀华,王,-22.390625
秀华,李,-22.328125
淑英,李,-21.921875
淑英,张,-22.296875
淑英,李,-23.140625
淑英,张,-22.140625
桂花,王,-23.140625
桂花,李,-23.890625
桂花,王,-23.2421875
桂花,李,-23.4296875
淑兰,张,-22.71875
淑兰,李,-23.96875
淑兰,张,-23.0078125
淑兰,李,-23.1328125
怡君,陳,-25.59375
怡君,林,-24.5859375
怡君,陳,-25.8125
怡君,林,-24.8046875
建宏,陳,-25.8125
建宏,林,-25.2421875
建宏,陳,-26.15625
建宏,林,-25.28125
淑惠,陳,-24.59375
淑惠,林,-24.59375
淑惠,陳,-25.15625
淑惠,林,-24.78125
麗華,陳,-25.140625
麗華,林,-24.703125
麗華,陳,-25.28125
麗華,林,-24.71875
俊傑,王,-24.6875
俊傑,黃,-26.625
俊傑,王,-24.75
俊傑,黃,-26.125
承翰,吳,-25.484375
承翰,李,-25.359375
承翰,吳,-26.078125
承翰,李,-24.890625
承恩,李,-24.453125
承恩,吳,-25.640625
承恩,李,-24.9375
承恩,吳,-25.375
