firstname,lastname,prob
秀英,王,-21.4609375
秀英,李,-23.71875
秀英,王,-21.4375
秀英,李,-21.1875
秀英,王,-21.875
秀英,张,-23.4375
秀英,王,-22.75
秀英,张,-21.8125
秀英,王,-21.41015625
秀英,陈,-24.53125
秀英,王,-21.59375
秀英,陈,-21.71875
秀英,李,-21.6015625
秀英,张,-21.9765625
秀英,李,-23.828125
秀英,张,-21.58203125
秀英,李,-20.9609375
秀英,陈,-23.34375
秀英,李,-21.875
秀英,陈,-21.4375
秀英,张,-21.5234375
秀英,陈,-25.15625
秀英,张,-21.6796875
秀英,陈,-22.1171875
秀英,刘,-21.015625
秀英,杨,-22.203125
秀英,刘,-23.640625
秀英,杨,-21.265625
秀英,吴,-21.7890625
秀英,马,-21.6015625
秀英,吴,-24.484375
秀英,马,-21.416015625
秀英,孙,-22.529296875
秀英,赵,-23.78125
秀英,孙,-25.765625
秀英,赵,-22.0185546875
秀兰,王,-21.3984375
秀兰,张,-21.2734375
秀兰,王,-22.1875
秀兰,张,-20.87109375
秀兰,王,-21.0703125
秀兰,李,-22.0
秀兰,王,-21.5859375
秀兰,李,-21.3984375
秀兰,张,-20.98828125
秀兰,李,-22.796875
秀兰,张,-21.2890625
秀兰,李,-21.9765625
桂英,李,-20.9296875
桂英,王,-21.4921875
桂英,李,-22.34375
桂英,王,-20.7265625
桂英,李,-21.1328125
桂英,张,-21.1953125
桂英,李,-23.09375
桂英,张,-20.654296875
桂英,王,-21.07421875
桂英,张,-21.578125
桂英,王,-22.609375
桂英,张,-20.802734375
玉兰,王,-22.125
玉兰,张,-21.6875
玉兰,王,-22.5
玉兰,张,-21.3125
玉兰,李,-21.703125
玉兰,刘,-23.953125
玉兰,李,-22.34375
玉兰,刘,-23.34375
桂兰,王,-22.21875
桂兰,张,-21.53125
桂兰,王,-22.703125
桂兰,张,-21.328125
桂兰,王,-22.140625
桂兰,李,-22.578125
桂兰,王,-22.6875
桂兰,李,-22.0546875
桂兰,张,-21.21875
桂兰,李,-22.71875
桂兰,张,-21.578125
桂兰,李,-22.140625
玉梅,王,-22.03125
玉梅,张,-21.5234375
玉梅,王,-22.21875
玉梅,张,-21.1015625
凤英,张,-21.248046875
凤英,李,-23.5625
凤英,张,-21.921875
凤英,李,-21.484375
凤英,张,-21.09765625
凤英,王,-22.71875
凤英,张,-22.125
凤英,王,-21.18359375
凤英,李,-21.2109375
凤英,王,-22.2734375
凤英,李,-22.609375
凤英,王,-21.05078125
玉英,王,-21.3046875
玉英,张,-22.6796875
玉英,王,-22.953125
玉英,张,-21.201171875
建华,王,-22.0625
建华,李,-22.25
建华,王,-22.65625
建华,李,-22.09375
建华,王,-22.140625
建华,张,-21.328125
建华,王,-22.609375
建华,张,-21.234375
建华,李,-22.09375
建华,张,-21.4765625
建华,李,-22.46875
建华,张,-21.1015625
玉珍,张,-21.4609375
玉珍,李,-22.59375
玉珍,张,-21.53125
玉珍,李,-22.03125
兰英,张,-21.056640625
兰英,王,-23.0
兰英,张,-21.7265625
兰英,王,-21.1640625
婷婷,张,-21.0625
婷婷,王,-22.1875
婷婷,张,-21.515625
婷婷,王,-21.890625
建国,张,-21.0859375
建国,李,-22.34375
建国,张,-21.3046875
建国,李,-21.8671875
秀梅,李,-22.015625
秀梅,张,-21.265625
秀梅,李,-22.46875
秀梅,张,-20.96875
建军,李,-22.046875
建军,张,-21.421875
建军,李,-22.34375
建军,张,-21.1484375
海燕,张,-21.2734375
海燕,李,-22.46875
海燕,张,-21.65625
海燕,李,-22.15625
志强,李,-22.0
志强,张,-21.3828125
志强,李,-22.375
志强,张,-21.125
丽丽,王,-22.0625
丽丽,张,-21.5
丽丽,王,-22.5
丽丽,张,-21.2421875
桂芳,张,-21.1015625
桂芳,王,-22.46875
桂芳,张,-21.3984375
桂芳,王,-22.03125
秀华,王,-21.4765625
秀华,李,-22.15625
秀华,王,-21.984375
秀华,李,-21.4296875
淑英,李,-21.453125
淑英,张,-21.328125
淑英,李,-23.3125
淑英,张,-21.056640625
桂花,王,-21.625
桂花,李,-22.25
桂花,王,-22.1875
桂花,李,-21.6875
淑兰,张,-21.3515625
淑兰,李,-22.84375
淑兰,张,-21.6484375
淑兰,李,-22.34375
怡君,陳,-24.4375
怡君,林,-22.515625
怡君,陳,-25.125
怡君,林,-22.6171875
建宏,陳,-24.84375
建宏,林,-22.671875
建宏,陳,-25.09375
建宏,林,-22.5234375
淑惠,陳,-23.9375
淑惠,林,-22.5546875
淑惠,陳,-24.6875
淑惠,林,-22.078125
麗華,陳,-23.78125
麗華,林,-22.28125
麗華,陳,-24.59375
麗華,林,-22.0390625
俊傑,王,-21.9375
俊傑,黃,-25.75
俊傑,王,-22.234375
俊傑,黃,-24.875
承翰,吳,-23.25
承翰,李,-22.625
承翰,吳,-24.1875
承翰,李,-22.3125
承恩,李,-21.34375
承恩,吳,-23.28125
承恩,李,-21.546875
承恩,吳,-22.234375
