firstname,lastname,prob
秀英,王,-21.2265625
秀英,李,-23.21875
秀英,王,-21.515625
秀英,李,-21.640625
秀英,王,-22.150390625
秀英,张,-24.46875
秀英,王,-24.4140625
秀英,张,-23.4765625
秀英,王,-21.98828125
秀英,陈,-25.609375
秀英,王,-22.9921875
秀英,陈,-23.1796875
秀英,李,-22.37890625
秀英,张,-22.875
秀英,李,-24.9375
秀英,张,-23.05859375
秀英,李,-21.70703125
秀英,陈,-24.078125
秀英,李,-22.96875
秀英,陈,-22.59375
秀英,张,-23.408203125
秀英,陈,-27.34375
秀英,张,-23.3046875
秀英,陈,-24.4375
秀英,刘,-22.0703125
秀英,杨,-23.5
秀英,刘,-25.03125
秀英,杨,-22.5390625
秀英,吴,-23.34375
秀英,马,-23.40625
秀英,吴,-26.1875
秀英,马,-23.1328125
秀英,孙,-23.544921875
秀英,赵,-25.046875
秀英,孙,-29.0
秀英,赵,-24.06201171875
秀兰,王,-22.203125
秀兰,张,-21.953125
秀兰,王,-23.5625
秀兰,张,-21.81640625
秀兰,王,-21.3828125
秀兰,李,-22.0703125
秀兰,王,-22.2265625
秀兰,李,-21.7890625
秀兰,张,-21.998046875
秀兰,李,-24.125
秀兰,张,-21.91796875
秀兰,李,-23.109375
桂英,李,-21.65625
桂英,王,-22.28125
桂英,李,-22.8125
桂英,王,-21.4296875
桂英,李,-21.33984375
桂英,张,-22.34375
桂英,李,-23.1875
桂英,张,-21.69140625
桂英,王,-21.46875
桂英,张,-22.65625
桂英,王,-23.0625
桂英,张,-21.94140625
玉兰,王,-22.7265625
玉兰,张,-22.4765625
玉兰,王,-23.09375
玉兰,张,-22.1484375
玉兰,李,-22.40625
玉兰,刘,-24.71875
玉兰,李,-22.625
玉兰,刘,-23.8125
桂兰,王,-22.296875
桂兰,张,-22.171875
桂兰,王,-23.25
桂兰,张,-22.0625
桂兰,王,-22.2109375
桂兰,李,-22.65625
桂兰,王,-23.078125
桂兰,李,-22.390625
桂兰,张,-21.6484375
桂兰,李,-22.96875
桂兰,张,-22.1015625
桂兰,李,-22.6015625
玉梅,王,-22.3046875
玉梅,张,-23.125
玉梅,王,-22.734375
玉梅,张,-22.546875
凤英,张,-21.5625
凤英,李,-23.25
凤英,张,-22.09375
凤英,李,-20.97265625
凤英,张,-22.02734375
凤英,王,-23.15625
凤英,张,-23.265625
凤英,王,-21.51171875
凤英,李,-21.08984375
凤英,王,-21.96875
凤英,李,-22.453125
凤英,王,-21.07421875
玉英,王,-21.58203125
玉英,张,-23.640625
玉英,王,-23.3125
玉英,张,-22.18359375
建华,王,-22.28125
建华,李,-22.46875
建华,王,-22.78125
建华,李,-22.2109375
建华,王,-22.390625
建华,张,-22.140625
建华,王,-22.921875
建华,张,-21.796875
建华,李,-22.375
建华,张,-22.0546875
建华,李,-22.765625
建华,张,-21.703125
玉珍,张,-22.703125
玉珍,李,-22.640625
玉珍,张,-22.40625
玉珍,李,-22.21875
兰英,张,-22.015625
兰英,王,-23.578125
兰英,张,-22.515625
兰英,王,-21.51953125
婷婷,张,-22.1640625
婷婷,王,-22.71875
婷婷,张,-22.890625
婷婷,王,-22.328125
建国,张,-21.8671875
建国,李,-22.8125
建国,张,-21.96875
建国,李,-21.96875
秀梅,李,-22.2734375
秀梅,张,-22.0859375
秀梅,李,-22.71875
秀梅,张,-21.78125
建军,李,-22.171875
建军,张,-22.609375
建军,李,-22.78125
建军,张,-22.0390625
海燕,张,-22.078125
海燕,李,-22.328125
海燕,张,-22.625
海燕,李,-21.9296875
志强,李,-22.03125
志强,张,-22.46875
志强,李,-22.75
志强,张,-21.9921875
丽丽,王,-22.1171875
丽丽,张,-22.5
丽丽,王,-22.96875
丽丽,张,-22.34375
桂芳,张,-22.328125
桂芳,王,-22.703125
桂芳,张,-22.78125
桂芳,王,-22.2265625
秀华,王,-22.1171875
秀华,李,-22.5
秀华,王,-22.40625
秀华,李,-21.7734375
淑英,李,-21.5625
淑英,张,-22.1875
淑英,李,-23.71875
淑英,张,-22.03125
桂花,王,-22.703125
桂花,李,-23.265625
桂花,王,-23.09375
桂花,李,-22.5859375
淑兰,张,-21.921875
淑兰,李,-23.359375
淑兰,张,-22.34375
淑兰,李,-22.96875
怡君,陳,-24.328125
怡君,林,-24.140625
怡君,陳,-24.9375
怡君,林,-24.25
建宏,陳,-24.546875
建宏,林,-24.359375
建宏,陳,-24.8125
建宏,林,-24.1953125
淑惠,陳,-24.1875
淑惠,林,-24.25
淑惠,陳,-24.59375
淑惠,林,-23.7265625
麗華,陳,-23.734375
麗華,林,-23.734375
麗華,陳,-24.1875
麗華,林,-23.5703125
俊傑,王,-23.3125
俊傑,黃,-25.5625
俊傑,王,-23.75
俊傑,黃,-25.125
承翰,吳,-24.5625
承翰,李,-24.25
承翰,吳,-25.15625
承翰,李,-23.90625
承恩,李,-22.875
承恩,吳,-24.3125
承恩,李,-22.921875
承恩,吳,-23.421875
