firstname,lastname,prob
秀英,王,-55.625
秀英,李,-55.9375
秀英,王,-53.875
秀英,李,-54.0
秀英,王,-53.625
秀英,张,-52.75
秀英,王,-53.125
秀英,张,-52.0
秀英,王,-55.25
秀英,陈,-56.125
秀英,王,-53.875
秀英,陈,-54.5
秀英,李,-53.3125
秀英,张,-52.25
秀英,李,-53.8125
秀英,张,-52.5
秀英,李,-55.625
秀英,陈,-56.25
秀英,李,-55.0625
秀英,陈,-55.5
秀英,张,-52.5
秀英,陈,-54.375
秀英,张,-51.75
秀英,陈,-53.375
秀英,刘,-54.5625
秀英,杨,-55.0
秀英,刘,-55.0
秀英,杨,-55.25
秀英,吴,-54.75
秀英,马,-54.1875
秀英,吴,-54.4375
秀英,马,-53.625
秀英,孙,-54.75
秀英,赵,-53.0
秀英,孙,-56.375
秀英,赵,-54.375
秀兰,王,-59.75
秀兰,张,-58.875
秀兰,王,-59.375
秀兰,张,-58.25
秀兰,王,-60.875
秀兰,李,-61.125
秀兰,王,-61.0
秀兰,李,-61.125
秀兰,张,-58.625
秀兰,李,-59.9375
秀兰,张,-59.75
秀兰,李,-60.8125
桂英,李,-56.375
桂英,王,-56.25
桂英,李,-56.6875
桂英,王,-56.375
桂英,李,-55.375
桂英,张,-54.25
桂英,李,-55.125
桂英,张,-53.8125
桂英,王,-55.125
桂英,张,-54.25
桂英,王,-54.625
桂英,张,-53.5
玉兰,王,-56.375
玉兰,张,-55.5
玉兰,王,-57.125
玉兰,张,-56.0
玉兰,李,-57.5
玉兰,刘,-57.6875
玉兰,李,-57.0625
玉兰,刘,-57.0625
桂兰,王,-56.625
桂兰,张,-55.75
桂兰,王,-56.75
桂兰,张,-55.5625
桂兰,王,-56.75
桂兰,李,-57.0625
桂兰,王,-56.6875
桂兰,李,-56.8125
桂兰,张,-55.6875
桂兰,李,-57.0
桂兰,张,-56.0
桂兰,李,-57.0625
玉梅,王,-56.0
玉梅,张,-55.125
玉梅,王,-57.0
玉梅,张,-55.875
凤英,张,-52.375
凤英,李,-53.6875
凤英,张,-52.5625
凤英,李,-53.625
凤英,张,-52.0
凤英,王,-53.125
凤英,张,-51.625
凤英,王,-52.5
凤英,李,-54.25
凤英,王,-54.125
凤英,李,-53.75
凤英,王,-53.375
玉英,王,-55.125
玉英,张,-54.25
玉英,王,-55.5
玉英,张,-54.375
建华,王,-56.5
建华,李,-56.8125
建华,王,-56.9375
建华,李,-57.125
建华,王,-55.625
建华,张,-54.75
建华,王,-55.25
建华,张,-54.125
建华,李,-57.625
建华,张,-56.5
建华,李,-57.0625
建华,张,-55.75
玉珍,张,-54.25
玉珍,李,-55.5625
玉珍,张,-54.9375
玉珍,李,-56.0
兰英,张,-54.25
兰英,王,-55.375
兰英,张,-54.375
兰英,王,-55.3125
婷婷,张,-53.0
婷婷,王,-54.125
婷婷,张,-53.0
婷婷,王,-53.9375
建国,张,-54.0
建国,李,-55.3125
建国,张,-54.0
建国,李,-55.125
秀梅,李,-59.5
秀梅,张,-58.375
秀梅,李,-58.8125
秀梅,张,-57.5
建军,李,-54.75
建军,张,-53.625
建军,李,-54.8125
建军,张,-53.5
海燕,张,-52.5625
海燕,李,-53.9375
海燕,张,-53.0
海燕,李,-54.125
志强,李,-56.75
志强,张,-55.625
志强,李,-56.9375
志强,张,-55.625
丽丽,王,-60.0625
丽丽,张,-59.125
丽丽,王,-59.375
丽丽,张,-58.25
桂芳,张,-54.4375
桂芳,王,-55.625
桂芳,张,-54.875
桂芳,王,-55.75
秀华,王,-56.25
秀华,李,-56.5625
秀华,王,-54.875
秀华,李,-55.0
淑英,李,-56.8125
淑英,张,-55.75
淑英,李,-57.625
淑英,张,-56.3125
桂花,王,-58.5
桂花,李,-58.8125
桂花,王,-58.5
桂花,李,-58.625
淑兰,张,-56.25
淑兰,李,-57.5
淑兰,张,-58.0
淑兰,李,-59.0625
怡君,陳,-58.25
怡君,林,-54.5625
怡君,陳,-58.75
怡君,林,-54.75
建宏,陳,-60.5
建宏,林,-56.8125
建宏,陳,-60.0
建宏,林,-56.0
淑惠,陳,-57.375
淑惠,林,-53.75
淑惠,陳,-59.0
淑惠,林,-55.0
麗華,陳,-58.125
麗華,林,-54.4375
麗華,陳,-58.875
麗華,林,-54.875
俊傑,王,-56.875
俊傑,黃,-60.5625
俊傑,王,-56.625
俊傑,黃,-60.0
承翰,吳,-55.46875
承翰,李,-55.125
承翰,吳,-57.8125
承翰,李,-56.75
承恩,李,-55.625
承恩,吳,-56.96875
承恩,李,-54.875
承恩,吳,-55.34375
