firstname,lastname,prob
秀英,王,-52.375
秀英,李,-52.5625
秀英,王,-51.5625
秀英,李,-51.6875
秀英,王,-51.25
秀英,张,-50.375
秀英,王,-51.5625
秀英,张,-50.5625
秀英,王,-52.4375
秀英,陈,-53.375
秀英,王,-54.0
秀英,陈,-54.75
秀英,李,-51.75
秀英,张,-50.8125
秀英,李,-52.5
秀英,张,-51.375
秀英,李,-53.1875
秀英,陈,-54.0
秀英,李,-54.5
秀英,陈,-55.125
秀英,张,-51.125
秀英,陈,-53.0
秀英,张,-52.0625
秀英,陈,-53.75
秀英,刘,-55.125
秀英,杨,-55.625
秀英,刘,-55.125
秀英,杨,-55.375
秀英,吴,-53.8125
秀英,马,-53.1875
秀英,吴,-53.5
秀英,马,-52.75
秀英,孙,-53.75
秀英,赵,-52.0625
秀英,孙,-53.75
秀英,赵,-51.8125
秀兰,王,-56.75
秀兰,张,-55.9375
秀兰,王,-57.0625
秀兰,张,-56.0625
秀兰,王,-57.5
秀兰,李,-57.6875
秀兰,王,-57.9375
秀兰,李,-58.0625
秀兰,张,-56.75
秀兰,李,-57.875
秀兰,张,-56.5625
秀兰,李,-57.5
桂英,李,-54.5625
桂英,王,-54.4375
桂英,李,-53.375
桂英,王,-53.125
桂英,李,-54.5625
桂英,张,-53.5625
桂英,李,-54.625
桂英,张,-53.4375
桂英,王,-52.625
桂英,张,-51.8125
桂英,王,-54.0625
桂英,张,-53.0625
玉兰,王,-55.25
玉兰,张,-54.4375
玉兰,王,-55.8125
玉兰,张,-54.8125
玉兰,李,-56.8125
玉兰,刘,-57.125
玉兰,李,-56.1875
玉兰,刘,-56.4375
桂兰,王,-54.625
桂兰,张,-53.75
桂兰,王,-55.3125
桂兰,张,-54.3125
桂兰,王,-54.25
桂兰,李,-54.5
桂兰,王,-54.9375
桂兰,李,-55.0625
桂兰,张,-54.4375
桂兰,李,-55.5625
桂兰,张,-54.5
桂兰,李,-55.5
玉梅,王,-55.125
玉梅,张,-54.3125
玉梅,王,-55.3125
玉梅,张,-54.375
凤英,张,-52.0
凤英,李,-53.125
凤英,张,-52.625
凤英,李,-53.625
凤英,张,-51.25
凤英,王,-52.1875
凤英,张,-50.9375
凤英,王,-51.75
凤英,李,-53.5
凤英,王,-53.3125
凤英,李,-52.5
凤英,王,-52.25
玉英,王,-54.0
玉英,张,-53.25
玉英,王,-54.6875
玉英,张,-53.75
建华,王,-56.0
建华,李,-56.25
建华,王,-57.0625
建华,李,-57.25
建华,王,-55.875
建华,张,-55.0625
建华,王,-55.4375
建华,张,-54.5
建华,李,-57.3125
建华,张,-56.3125
建华,李,-56.75
建华,张,-55.5625
玉珍,张,-53.625
玉珍,李,-54.75
玉珍,张,-54.0
玉珍,李,-54.9375
兰英,张,-53.6875
兰英,王,-54.6875
兰英,张,-53.625
兰英,王,-54.5
婷婷,张,-53.125
婷婷,王,-54.125
婷婷,张,-53.8125
婷婷,王,-54.6875
建国,张,-56.125
建国,李,-57.25
建国,张,-55.9375
建国,李,-56.9375
秀梅,李,-57.6875
秀梅,张,-56.6875
秀梅,李,-56.6875
秀梅,张,-55.625
建军,李,-57.0625
建军,张,-56.0625
建军,李,-57.0
建军,张,-55.875
海燕,张,-53.5625
海燕,李,-54.75
海燕,张,-52.6875
海燕,李,-53.6875
志强,李,-55.9375
志强,张,-54.9375
志强,李,-55.625
志强,张,-54.4375
丽丽,王,-59.125
丽丽,张,-58.3125
丽丽,王,-59.1875
丽丽,张,-58.1875
桂芳,张,-53.4375
桂芳,王,-54.4375
桂芳,张,-53.75
桂芳,王,-54.625
秀华,王,-52.875
秀华,李,-53.125
秀华,王,-51.9375
秀华,李,-52.0625
淑英,李,-56.625
淑英,张,-55.625
淑英,李,-56.4375
淑英,张,-55.3125
桂花,王,-55.625
桂花,李,-55.875
桂花,王,-56.3125
桂花,李,-56.4375
淑兰,张,-55.0625
淑兰,李,-56.1875
淑兰,张,-55.375
淑兰,李,-56.375
怡君,陳,-59.875
怡君,林,-55.875
怡君,陳,-60.25
怡君,林,-56.125
建宏,陳,-60.5
建宏,林,-56.5
建宏,陳,-59.125
建宏,林,-55.0
淑惠,陳,-59.75
淑惠,林,-55.8125
淑惠,陳,-60.0
淑惠,林,-55.875
麗華,陳,-59.0
麗華,林,-55.0625
麗華,陳,-59.875
麗華,林,-55.75
俊傑,王,-57.1875
俊傑,黃,-61.125
俊傑,王,-55.5
俊傑,黃,-59.25
承翰,吳,-52.03125
承翰,李,-54.0
承翰,吳,-56.25
承翰,李,-55.5625
承恩,李,-54.625
承恩,吳,-55.875
承恩,李,-54.0625
承恩,吳,-52.3125
