firstname,lastname,prob
秀英,王,-51.0
秀英,李,-51.1875
秀英,王,-50.25
秀英,李,-50.375
秀英,王,-53.0625
秀英,张,-52.25
秀英,王,-51.5
秀英,张,-50.5
秀英,王,-53.25
秀英,陈,-54.25
秀英,王,-52.3125
秀英,陈,-53.125
秀英,李,-52.0
秀英,张,-51.0
秀英,李,-51.625
秀英,张,-50.5
秀英,李,-52.25
秀英,陈,-53.125
秀英,李,-52.875
秀英,陈,-53.625
秀英,张,-50.3125
秀英,陈,-52.25
秀英,张,-50.75
秀英,陈,-52.5
秀英,刘,-54.9375
秀英,杨,-55.4375
秀英,刘,-53.625
秀英,杨,-53.875
秀英,吴,-53.625
秀英,马,-53.0
秀英,吴,-53.875
秀英,马,-53.0625
秀英,孙,-52.875
秀英,赵,-51.25
秀英,孙,-54.0
秀英,赵,-52.125
秀兰,王,-56.25
秀兰,张,-55.4375
秀兰,王,-56.5
秀兰,张,-55.5
秀兰,王,-57.125
秀兰,李,-57.3125
秀兰,王,-56.6875
秀兰,李,-56.75
秀兰,张,-56.0
秀兰,李,-57.125
秀兰,张,-55.4375
秀兰,李,-56.375
桂英,李,-55.375
桂英,王,-55.25
桂英,李,-54.125
桂英,王,-53.875
桂英,李,-56.5
桂英,张,-55.5
桂英,李,-56.1875
桂英,张,-55.0
桂英,王,-54.875
桂英,张,-54.0
桂英,王,-56.125
桂英,张,-55.125
玉兰,王,-56.75
玉兰,张,-55.9375
玉兰,王,-57.0
玉兰,张,-56.0625
玉兰,李,-57.125
玉兰,刘,-57.5625
玉兰,李,-56.6875
玉兰,刘,-56.9375
桂兰,王,-56.125
桂兰,张,-55.25
桂兰,王,-56.4375
桂兰,张,-55.375
桂兰,王,-55.5
桂兰,李,-55.6875
桂兰,王,-56.75
桂兰,李,-56.875
桂兰,张,-55.4375
桂兰,李,-56.625
桂兰,张,-55.875
桂兰,李,-56.875
玉梅,王,-57.125
玉梅,张,-56.3125
玉梅,王,-56.875
玉梅,张,-55.9375
凤英,张,-53.1875
凤英,李,-54.3125
凤英,张,-52.6875
凤英,李,-53.625
凤英,张,-52.9375
凤英,王,-53.875
凤英,张,-52.1875
凤英,王,-53.0
凤英,李,-53.8125
凤英,王,-53.6875
凤英,李,-53.75
凤英,王,-53.5
玉英,王,-57.375
玉英,张,-56.5625
玉英,王,-57.0
玉英,张,-56.0625
建华,王,-55.75
建华,李,-56.0
建华,王,-55.75
建华,李,-55.875
建华,王,-57.9375
建华,张,-57.1875
建华,王,-58.625
建华,张,-57.625
建华,李,-58.625
建华,张,-57.6875
建华,李,-59.1875
建华,张,-58.0
玉珍,张,-55.0625
玉珍,李,-56.1875
玉珍,张,-56.25
玉珍,李,-57.125
兰英,张,-54.25
兰英,王,-55.3125
兰英,张,-54.25
兰英,王,-55.125
婷婷,张,-54.1875
婷婷,王,-55.1875
婷婷,张,-54.1875
婷婷,王,-55.0
建国,张,-56.25
建国,李,-57.4375
建国,张,-55.4375
建国,李,-56.375
秀梅,李,-57.875
秀梅,张,-56.9375
秀梅,李,-57.6875
秀梅,张,-56.5625
建军,李,-57.5
建军,张,-56.5625
建军,李,-57.125
建军,张,-56.0
海燕,张,-54.5
海燕,李,-55.6875
海燕,张,-51.875
海燕,李,-52.875
志强,李,-56.0
志强,张,-55.0
志强,李,-57.125
志强,张,-56.0625
丽丽,王,-58.75
丽丽,张,-57.875
丽丽,王,-59.0625
丽丽,张,-58.0
桂芳,张,-55.375
桂芳,王,-56.375
桂芳,张,-55.125
桂芳,王,-55.9375
秀华,王,-53.0
秀华,李,-53.25
秀华,王,-51.9375
秀华,李,-52.0
淑英,李,-57.75
淑英,张,-56.75
淑英,李,-57.125
淑英,张,-56.0
桂花,王,-58.25
桂花,李,-58.5
桂花,王,-58.0
桂花,李,-58.1875
淑兰,张,-55.125
淑兰,李,-56.25
淑兰,张,-56.0
淑兰,李,-57.0
怡君,陳,-58.875
怡君,林,-55.0625
怡君,陳,-58.125
怡君,林,-54.375
建宏,陳,-59.125
建宏,林,-55.3125
建宏,陳,-58.875
建宏,林,-55.0
淑惠,陳,-59.0
淑惠,林,-55.25
淑惠,陳,-58.5
淑惠,林,-54.6875
麗華,陳,-58.25
麗華,林,-54.5
麗華,陳,-58.5
麗華,林,-54.625
俊傑,王,-54.5
俊傑,黃,-58.0625
俊傑,王,-54.8125
俊傑,黃,-58.125
承翰,吳,-51.40625
承翰,李,-53.25
承翰,吳,-55.125
承翰,李,-54.0625
承恩,李,-52.5
承恩,吳,-54.1875
承恩,李,-52.625
承恩,吳,-51.21875
