firstname,lastname,prob
秀英,王,-30.25
秀英,李,-29.375
秀英,王,-30.75
秀英,李,-29.875
秀英,王,-28.8125
秀英,张,-30.25
秀英,王,-29.125
秀英,张,-30.5
秀英,王,-28.75
秀英,陈,-28.6875
秀英,王,-29.25
秀英,陈,-29.1875
秀英,李,-29.25
秀英,张,-31.5625
秀英,李,-29.0625
秀英,张,-31.3125
秀英,李,-29.625
秀英,陈,-30.5
秀英,李,-29.625
秀英,陈,-30.4375
秀英,张,-29.9375
秀英,陈,-28.5
秀英,张,-30.375
秀英,陈,-28.9375
秀英,刘,-28.25
秀英,杨,-29.0625
秀英,刘,-28.0625
秀英,杨,-28.8125
秀英,吴,-32.5625
秀英,马,-29.3125
秀英,吴,-31.6875
秀英,马,-28.4375
秀英,孙,-30.9375
秀英,赵,-27.0625
秀英,孙,-32.0
秀英,赵,-28.0
秀兰,王,-29.4375
秀兰,张,-30.875
秀兰,王,-29.625
秀兰,张,-31.0
秀兰,王,-30.25
秀兰,李,-29.4375
秀兰,王,-29.9375
秀兰,李,-29.0625
秀兰,张,-31.4375
秀兰,李,-29.25
秀兰,张,-31.0
秀兰,李,-28.75
桂英,李,-28.625
桂英,王,-29.4375
桂英,李,-28.75
桂英,王,-29.625
桂英,李,-28.5
桂英,张,-30.75
桂英,李,-28.8125
桂英,张,-31.0625
桂英,王,-29.0
桂英,张,-30.375
桂英,王,-29.125
桂英,张,-30.5
玉兰,王,-29.8125
玉兰,张,-31.1875
玉兰,王,-30.0625
玉兰,张,-31.375
玉兰,李,-29.375
玉兰,刘,-27.8125
玉兰,李,-29.5
玉兰,刘,-27.875
桂兰,王,-29.9375
桂兰,张,-31.375
桂兰,王,-30.25
桂兰,张,-31.625
桂兰,王,-30.3125
桂兰,李,-29.4375
桂兰,王,-30.125
桂兰,李,-29.1875
桂兰,张,-31.6875
桂兰,李,-29.5
桂兰,张,-31.5
桂兰,李,-29.1875
玉梅,王,-29.75
玉梅,张,-31.125
玉梅,王,-30.0
玉梅,张,-31.3125
凤英,张,-31.625
凤英,李,-29.4375
凤英,张,-31.125
凤英,李,-28.875
凤英,张,-31.0625
凤英,王,-29.75
凤英,张,-31.0
凤英,王,-29.625
凤英,李,-29.0
凤英,王,-29.875
凤英,李,-29.3125
凤英,王,-30.1875
玉英,王,-28.8125
玉英,张,-30.1875
玉英,王,-29.0
玉英,张,-30.3125
建华,王,-30.3125
建华,李,-29.4375
建华,王,-30.3125
建华,李,-29.4375
建华,王,-29.9375
建华,张,-31.3125
建华,王,-30.1875
建华,张,-31.5
建华,李,-29.3125
建华,张,-31.5625
建华,李,-29.5625
建华,张,-31.8125
玉珍,张,-31.375
玉珍,李,-29.125
玉珍,张,-31.1875
玉珍,李,-28.9375
兰英,张,-30.75
兰英,王,-29.4375
兰英,张,-30.5625
兰英,王,-29.1875
婷婷,张,-31.625
婷婷,王,-30.25
婷婷,张,-31.4375
婷婷,王,-30.0625
建国,张,-31.75
建国,李,-29.5625
建国,张,-31.6875
建国,李,-29.4375
秀梅,李,-28.75
秀梅,张,-31.0625
秀梅,李,-29.125
秀梅,张,-31.3125
建军,李,-29.5
建军,张,-31.75
建军,李,-29.6875
建军,张,-31.875
海燕,张,-31.9375
海燕,李,-29.75
海燕,张,-31.6875
海燕,李,-29.4375
志强,李,-29.6875
志强,张,-32.0
志强,李,-29.75
志强,张,-31.9375
丽丽,王,-30.375
丽丽,张,-31.75
丽丽,王,-30.5
丽丽,张,-31.875
桂芳,张,-31.5625
桂芳,王,-30.1875
桂芳,张,-31.25
桂芳,王,-29.8125
秀华,王,-30.0625
秀华,李,-29.25
秀华,王,-29.75
秀华,李,-28.9375
淑英,李,-28.1875
淑英,张,-30.5
淑英,李,-28.875
淑英,张,-31.125
桂花,王,-30.5
桂花,李,-29.6875
桂花,王,-30.3125
桂花,李,-29.4375
淑兰,张,-31.875
淑兰,李,-29.6875
淑兰,张,-31.375
淑兰,李,-29.0625
怡君,陳,-29.3125
怡君,林,-30.375
怡君,陳,-29.3125
怡君,林,-30.3125
建宏,陳,-29.1875
建宏,林,-30.3125
建宏,陳,-29.1875
建宏,林,-30.1875
淑惠,陳,-29.25
淑惠,林,-30.375
淑惠,陳,-29.1875
淑惠,林,-30.1875
麗華,陳,-29.1875
麗華,林,-30.3125
麗華,陳,-29.0625
麗華,林,-30.0625
俊傑,王,-30.0625
俊傑,黃,-30.0
俊傑,王,-30.0625
俊傑,黃,-30.0
承翰,吳,-31.25
承翰,李,-29.5
承翰,吳,-31.125
承翰,李,-29.4375
承恩,李,-29.5
承恩,吳,-31.257781982421875
承恩,李,-29.75
承恩,吳,-31.5
