firstname,lastname,prob
秀英,王,-29.0
秀英,李,-29.625
秀英,王,-29.1875
秀英,李,-29.75
秀英,王,-28.8125
秀英,张,-30.0625
秀英,王,-28.8125
秀英,张,-30.0625
秀英,王,-28.875
秀英,陈,-29.25
秀英,王,-29.0625
秀英,陈,-29.375
秀英,李,-29.75
秀英,张,-30.375
秀英,李,-29.8125
秀英,张,-30.4375
秀英,李,-29.6875
秀英,陈,-29.4375
秀英,李,-29.8125
秀英,陈,-29.5625
秀英,张,-30.25
秀英,陈,-29.375
秀英,张,-30.25
秀英,陈,-29.375
秀英,刘,-29.1875
秀英,杨,-30.6875
秀英,刘,-28.9375
秀英,杨,-30.5
秀英,吴,-29.0625
秀英,马,-30.0
秀英,吴,-29.0
秀英,马,-30.0
秀英,孙,-28.75
秀英,赵,-28.75
秀英,孙,-29.8125
秀英,赵,-29.8125
秀兰,王,-28.9375
秀兰,张,-30.125
秀兰,王,-28.9375
秀兰,张,-30.125
秀兰,王,-29.0625
秀兰,李,-29.6875
秀兰,王,-29.0
秀兰,李,-29.5625
秀兰,张,-30.4375
秀兰,李,-29.8125
秀兰,张,-30.1875
秀兰,李,-29.5625
桂英,李,-29.3125
桂英,王,-28.6875
桂英,李,-29.125
桂英,王,-28.5
桂英,李,-29.375
桂英,张,-30.0
桂英,李,-29.25
桂英,张,-29.875
桂英,王,-28.375
桂英,张,-29.625
桂英,王,-28.4375
桂英,张,-29.6875
玉兰,王,-28.6875
玉兰,张,-29.875
玉兰,王,-28.6875
玉兰,张,-29.875
玉兰,李,-29.25
玉兰,刘,-28.6875
玉兰,李,-29.4375
玉兰,刘,-28.875
桂兰,王,-28.1875
桂兰,张,-29.4375
桂兰,王,-28.3125
桂兰,张,-29.5625
桂兰,王,-28.3125
桂兰,李,-28.9375
桂兰,王,-28.4375
桂兰,李,-29.0625
桂兰,张,-29.625
桂兰,李,-29.0
桂兰,张,-29.625
桂兰,李,-29.0
玉梅,王,-28.5
玉梅,张,-29.6875
玉梅,王,-28.5
玉梅,张,-29.6875
凤英,张,-29.75
凤英,李,-29.125
凤英,张,-29.9375
凤英,李,-29.25
凤英,张,-29.8125
凤英,王,-28.5625
凤英,张,-29.625
凤英,王,-28.375
凤英,李,-29.1875
凤英,王,-28.625
凤英,李,-29.0625
凤英,王,-28.5
玉英,王,-29.0625
玉英,张,-30.25
玉英,王,-29.0625
玉英,张,-30.25
建华,王,-28.4375
建华,李,-29.0625
建华,王,-28.5
建华,李,-29.125
建华,王,-28.4375
建华,张,-29.6875
建华,王,-28.5625
建华,张,-29.75
建华,李,-29.0625
建华,张,-29.75
建华,李,-29.1875
建华,张,-29.8125
玉珍,张,-29.75
玉珍,李,-29.125
玉珍,张,-29.5625
玉珍,李,-28.875
兰英,张,-30.9375
兰英,王,-29.75
兰英,张,-31.375
兰英,王,-30.1875
婷婷,张,-29.0
婷婷,王,-27.8125
婷婷,张,-28.875
婷婷,王,-27.625
建国,张,-29.8125
建国,李,-29.1875
建国,张,-29.75
建国,李,-29.125
秀梅,李,-28.9375
秀梅,张,-29.5625
秀梅,李,-29.0
秀梅,张,-29.625
建军,李,-29.3125
建军,张,-29.9375
建军,李,-29.3125
建军,张,-30.0
海燕,张,-29.75
海燕,李,-29.125
海燕,张,-29.625
海燕,李,-29.0
志强,李,-28.875
志强,张,-29.5625
志强,李,-28.875
志强,张,-29.5625
丽丽,王,-28.5625
丽丽,张,-29.8125
丽丽,王,-28.625
丽丽,张,-29.8125
桂芳,张,-29.4375
桂芳,王,-28.1875
桂芳,张,-29.3125
桂芳,王,-28.0625
秀华,王,-28.8125
秀华,李,-29.4375
秀华,王,-28.75
秀华,李,-29.3125
淑英,李,-29.875
淑英,张,-30.5
淑英,李,-29.75
淑英,张,-30.375
桂花,王,-28.25
桂花,李,-28.875
桂花,王,-28.375
桂花,李,-29.0
淑兰,张,-29.75
淑兰,李,-29.125
淑兰,张,-29.75
淑兰,李,-29.125
怡君,陳,-27.6875
怡君,林,-27.75
怡君,陳,-27.875
怡君,林,-27.9375
建宏,陳,-27.875
建宏,林,-27.9375
建宏,陳,-28.0
建宏,林,-28.0625
淑惠,陳,-27.4375
淑惠,林,-27.5
淑惠,陳,-27.6875
淑惠,林,-27.75
麗華,陳,-27.75
麗華,林,-27.8125
麗華,陳,-27.8125
麗華,林,-27.9375
俊傑,王,-28.375
俊傑,黃,-27.75
俊傑,王,-28.4375
俊傑,黃,-27.75
承翰,吳,-27.9375
承翰,李,-29.1875
承翰,吳,-27.960693359375
承翰,李,-29.1875
承恩,李,-29.0
承恩,吳,-27.788330078125
承恩,李,-29.0625
承恩,吳,-27.8125
