firstname,lastname,prob
秀英,王,-29.75
秀英,李,-30.3125
秀英,王,-29.875
秀英,李,-30.4375
秀英,王,-29.625
秀英,张,-30.875
秀英,王,-29.5625
秀英,张,-30.8125
秀英,王,-29.4375
秀英,陈,-29.8125
秀英,王,-29.75
秀英,陈,-30.125
秀英,李,-30.3125
秀英,张,-31.0
秀英,李,-30.375
秀英,张,-31.0625
秀英,李,-30.1875
秀英,陈,-30.0
秀英,李,-30.3125
秀英,陈,-30.125
秀英,张,-30.6875
秀英,陈,-29.8125
秀英,张,-30.8125
秀英,陈,-29.9375
秀英,刘,-29.5
秀英,杨,-31.0625
秀英,刘,-29.0625
秀英,杨,-30.625
秀英,吴,-29.875
秀英,马,-30.9375
秀英,吴,-29.5625
秀英,马,-30.625
秀英,孙,-28.8125
秀英,赵,-28.8125
秀英,孙,-30.3125
秀英,赵,-30.3125
秀兰,王,-28.8125
秀兰,张,-30.0625
秀兰,王,-28.9375
秀兰,张,-30.1875
秀兰,王,-29.1875
秀兰,李,-29.75
秀兰,王,-29.125
秀兰,李,-29.6875
秀兰,张,-30.375
秀兰,李,-29.6875
秀兰,张,-30.25
秀兰,李,-29.5625
桂英,李,-29.5
桂英,王,-28.9375
桂英,李,-29.4375
桂英,王,-28.875
桂英,李,-29.3125
桂英,张,-30.0
桂英,李,-29.0625
桂英,张,-29.75
桂英,王,-28.5625
桂英,张,-29.8125
桂英,王,-28.5
桂英,张,-29.75
玉兰,王,-28.5625
玉兰,张,-29.8125
玉兰,王,-28.5
玉兰,张,-29.75
玉兰,李,-29.125
玉兰,刘,-28.625
玉兰,李,-29.1875
玉兰,刘,-28.6875
桂兰,王,-28.1875
桂兰,张,-29.4375
桂兰,王,-28.3125
桂兰,张,-29.5625
桂兰,王,-28.375
桂兰,李,-28.9375
桂兰,王,-28.4375
桂兰,李,-29.0
桂兰,张,-29.5625
桂兰,李,-28.875
桂兰,张,-29.625
桂兰,李,-28.875
玉梅,王,-28.4375
玉梅,张,-29.6875
玉梅,王,-28.375
玉梅,张,-29.625
凤英,张,-29.875
凤英,李,-29.1875
凤英,张,-29.875
凤英,李,-29.1875
凤英,张,-29.875
凤英,王,-28.625
凤英,张,-29.6875
凤英,王,-28.375
凤英,李,-29.1875
凤英,王,-28.5625
凤英,李,-29.125
凤英,王,-28.5
玉英,王,-29.125
玉英,张,-30.375
玉英,王,-29.0625
玉英,张,-30.3125
建华,王,-28.5625
建华,李,-29.125
建华,王,-28.5625
建华,李,-29.125
建华,王,-28.5625
建华,张,-29.8125
建华,王,-28.5
建华,张,-29.75
建华,李,-29.125
建华,张,-29.8125
建华,李,-29.0625
建华,张,-29.75
玉珍,张,-29.6875
玉珍,李,-29.0
玉珍,张,-29.6875
玉珍,李,-28.9375
兰英,张,-31.0625
兰英,王,-29.8125
兰英,张,-31.5
兰英,王,-30.25
婷婷,张,-29.0
婷婷,王,-27.75
婷婷,张,-29.0
婷婷,王,-27.8125
建国,张,-29.8125
建国,李,-29.125
建国,张,-29.75
建国,李,-29.0625
秀梅,李,-28.8125
秀梅,张,-29.5
秀梅,李,-29.0
秀梅,张,-29.6875
建军,李,-29.25
建军,张,-30.0
建军,李,-29.3125
建军,张,-30.0
海燕,张,-29.625
海燕,李,-28.9375
海燕,张,-29.75
海燕,李,-29.0625
志强,李,-28.875
志强,张,-29.625
志强,李,-28.8125
志强,张,-29.5625
丽丽,王,-28.5625
丽丽,张,-29.8125
丽丽,王,-28.4375
丽丽,张,-29.6875
桂芳,张,-29.4375
桂芳,王,-28.1875
桂芳,张,-29.375
桂芳,王,-28.125
秀华,王,-28.8125
秀华,李,-29.375
秀华,王,-28.75
秀华,李,-29.3125
淑英,李,-29.9375
淑英,张,-30.625
淑英,李,-29.875
淑英,张,-30.5625
桂花,王,-28.3125
桂花,李,-28.8125
桂花,王,-28.5625
桂花,李,-29.125
淑兰,张,-29.875
淑兰,李,-29.1875
淑兰,张,-29.8125
淑兰,李,-29.125
怡君,陳,-27.9375
怡君,林,-28.0
怡君,陳,-28.125
怡君,林,-28.1875
建宏,陳,-28.0
建宏,林,-28.125
建宏,陳,-28.0625
建宏,林,-28.1875
淑惠,陳,-27.75
淑惠,林,-27.8125
淑惠,陳,-27.8125
淑惠,林,-27.875
麗華,陳,-27.8125
麗華,林,-27.875
麗華,陳,-27.9375
麗華,林,-28.0
俊傑,王,-28.625
俊傑,黃,-28.0625
俊傑,王,-28.8125
俊傑,黃,-28.1875
承翰,吳,-28.125
承翰,李,-29.4375
承翰,吳,-28.132781982421875
承翰,李,-29.375
承恩,李,-29.25
承恩,吳,-28.007781982421875
承恩,李,-29.1875
承恩,吳,-27.875
