firstname,lastname,prob
秀英,王,-5.59375
秀英,李,-9.8125
秀英,王,-9.4375
秀英,李,-2.59375
秀英,王,-6.40625
秀英,张,-11.5
秀英,王,-12.25
秀英,张,-6.84375
秀英,王,-4.6875
秀英,陈,-0.86328125
秀英,王,-14.875
秀英,陈,0.0
秀英,李,-3.390625
秀英,张,-10.3125
秀英,李,-10.5625
秀英,张,-7.4375
秀英,李,-3.171875
秀英,陈,-0.54296875
秀英,李,-13.3125
秀英,陈,0.0
秀英,张,-4.90625
秀英,陈,-0.3359375
秀英,张,-16.0
秀英,陈,0.0
秀英,刘,-6.40625
秀英,杨,-11.25
秀英,刘,-9.5
秀英,杨,-6.3125
秀英,吴,-1.5546875
秀英,马,-9.8125
秀英,吴,-11.0
秀英,马,-8.4375
秀英,孙,-8.625
秀英,赵,-9.875
秀英,孙,-11.1875
秀英,赵,-4.875
秀兰,王,-8.8125
秀兰,张,-11.8125
秀兰,王,-10.75
秀兰,张,-9.9375
秀兰,王,-9.9375
秀兰,李,-10.875
秀兰,王,-11.625
秀兰,李,-8.3125
秀兰,张,-11.875
秀兰,李,-11.5
秀兰,张,-14.5
秀兰,李,-8.25
桂英,李,-4.875
桂英,王,-8.125
桂英,李,-9.125
桂英,王,-5.375
桂英,李,-5.0
桂英,张,-9.75
桂英,李,-10.125
桂英,张,-7.90625
桂英,王,-4.1875
桂英,张,-8.6875
桂英,王,-8.75
桂英,张,-6.84375
玉兰,王,-10.375
玉兰,张,-12.8125
玉兰,王,-12.5625
玉兰,张,-12.625
玉兰,李,-10.0625
玉兰,刘,-16.125
玉兰,李,-9.6875
玉兰,刘,-13.5
桂兰,王,-7.875
桂兰,张,-10.0
桂兰,王,-11.0625
桂兰,张,-9.8125
桂兰,王,-8.5625
桂兰,李,-9.3125
桂兰,王,-11.3125
桂兰,李,-7.8125
桂兰,张,-10.0625
桂兰,李,-10.375
桂兰,张,-10.6875
桂兰,李,-7.65625
玉梅,王,-8.9375
玉梅,张,-11.75
玉梅,王,-11.4375
玉梅,张,-12.1875
凤英,张,-9.625
凤英,李,-11.625
凤英,张,-12.125
凤英,李,-6.625
凤英,张,-9.625
凤英,王,-9.875
凤英,张,-11.625
凤英,王,-6.625
凤英,李,-7.71875
凤英,王,-10.4375
凤英,李,-11.375
凤英,王,-7.625
玉英,王,-6.0625
玉英,张,-12.5
玉英,王,-9.375
玉英,张,-10.125
建华,王,-9.1875
建华,李,-9.75
建华,王,-11.5
建华,李,-8.25
建华,王,-9.8125
建华,张,-12.375
建华,王,-11.6875
建华,张,-11.375
建华,李,-8.5625
建华,张,-13.0
建华,李,-10.625
建华,张,-11.3125
玉珍,张,-13.0625
玉珍,李,-11.625
玉珍,张,-13.5
玉珍,李,-8.875
兰英,张,-8.125
兰英,王,-9.3125
兰英,张,-10.1875
兰英,王,-5.21875
婷婷,张,-13.3125
婷婷,王,-13.9375
婷婷,张,-13.375
婷婷,王,-12.8125
建国,张,-13.5625
建国,李,-13.5
建国,张,-13.4375
建国,李,-11.75
秀梅,李,-6.4375
秀梅,张,-15.875
秀梅,李,-9.875
秀梅,张,-12.0
建军,李,-11.3125
建军,张,-13.9375
建军,李,-12.875
建军,张,-14.25
海燕,张,-11.5
海燕,李,-9.0
海燕,张,-12.3125
海燕,李,-8.5
志强,李,-9.9375
志强,张,-14.1875
志强,李,-12.5
志强,张,-12.625
丽丽,王,-15.25
丽丽,张,-16.625
丽丽,王,-17.625
丽丽,张,-16.875
桂芳,张,-9.8125
桂芳,王,-10.0
桂芳,张,-10.1875
桂芳,王,-8.75
秀华,王,-9.8125
秀华,李,-11.25
秀华,王,-10.875
秀华,李,-8.3125
淑英,李,-6.03125
淑英,张,-12.9375
淑英,李,-10.625
淑英,张,-8.8125
桂花,王,-6.40625
桂花,李,-7.96875
桂花,王,-10.875
桂花,李,-3.453125
淑兰,张,-9.25
淑兰,李,-10.875
淑兰,张,-14.75
淑兰,李,-8.25
怡君,陳,-1.59375
怡君,林,-9.625
怡君,陳,-2.03125
怡君,林,-9.75
建宏,陳,-1.4609375
建宏,林,-9.5625
建宏,陳,-2.03125
建宏,林,-10.375
淑惠,陳,-0.27734375
淑惠,林,-9.0625
淑惠,陳,-0.55078125
淑惠,林,-9.1875
麗華,陳,-1.140625
麗華,林,-8.625
麗華,陳,-2.203125
麗華,林,-8.8125
俊傑,王,-11.25
俊傑,黃,-10.5
俊傑,王,-13.375
俊傑,黃,-11.625
承翰,吳,-11.0
承翰,李,-12.3125
承翰,吳,-8.75
承翰,李,-11.75
承恩,李,-11.9375
承恩,吳,-5.8125
承恩,李,-11.5
承恩,吳,-9.5625
