firstname,lastname,prob
秀英,王,-4.875
秀英,李,-7.1875
秀英,王,-7.5
秀英,李,-3.90625
秀英,王,-4.0625
秀英,张,-16.0
秀英,王,-8.25
秀英,张,-14.1875
秀英,王,-4.25
秀英,陈,-4.0625
秀英,王,-9.4375
秀英,陈,-2.953125
秀英,李,-3.28125
秀英,张,-16.25
秀英,李,-7.3125
秀英,张,-14.125
秀英,李,-3.203125
秀英,陈,-3.765625
秀英,李,-8.3125
秀英,陈,-2.359375
秀英,张,-10.3125
秀英,陈,-2.953125
秀英,张,-17.5
秀英,陈,-1.71875
秀英,刘,-8.4375
秀英,杨,-10.25
秀英,刘,-12.25
秀英,杨,-7.78125
秀英,吴,-1.8359375
秀英,马,-12.6875
秀英,吴,-7.625
秀英,马,-10.5625
秀英,孙,-9.875
秀英,赵,-9.75
秀英,孙,-10.625
秀英,赵,-8.1875
秀兰,王,-10.125
秀兰,张,-18.25
秀兰,王,-12.3125
秀兰,张,-19.25
秀兰,王,-12.625
秀兰,李,-11.5
秀兰,王,-12.4375
秀兰,李,-10.375
秀兰,张,-18.125
秀兰,李,-11.0
秀兰,张,-17.5
秀兰,李,-7.65625
桂英,李,-5.9375
桂英,王,-8.0
桂英,李,-9.1875
桂英,王,-6.90625
桂英,李,-4.375
桂英,张,-13.125
桂英,李,-9.375
桂英,张,-11.75
桂英,王,-5.0625
桂英,张,-14.375
桂英,王,-8.0625
桂英,张,-12.1875
玉兰,王,-10.3125
玉兰,张,-15.375
玉兰,王,-10.9375
玉兰,张,-15.625
玉兰,李,-11.625
玉兰,刘,-17.5
玉兰,李,-10.6875
玉兰,刘,-16.625
桂兰,王,-8.8125
桂兰,张,-15.1875
桂兰,王,-9.375
桂兰,张,-14.0
桂兰,王,-9.5
桂兰,李,-9.25
桂兰,王,-10.0
桂兰,李,-9.4375
桂兰,张,-13.5625
桂兰,李,-9.5
桂兰,张,-14.375
桂兰,李,-7.5625
玉梅,王,-8.5
玉梅,张,-15.375
玉梅,王,-11.5
玉梅,张,-15.4375
凤英,张,-11.625
凤英,李,-8.75
凤英,张,-13.25
凤英,李,-5.25
凤英,张,-12.6875
凤英,王,-8.875
凤英,张,-14.0
凤英,王,-5.53125
凤英,李,-6.96875
凤英,王,-8.125
凤英,李,-8.5
凤英,王,-6.75
玉英,王,-7.21875
玉英,张,-16.0
玉英,王,-10.0
玉英,张,-14.0
建华,王,-8.75
建华,李,-10.8125
建华,王,-9.625
建华,李,-10.625
建华,王,-8.5625
建华,张,-14.875
建华,王,-9.625
建华,张,-14.25
建华,李,-10.1875
建华,张,-15.1875
建华,李,-11.1875
建华,张,-14.1875
玉珍,张,-15.9375
玉珍,李,-12.0
玉珍,张,-16.5
玉珍,李,-10.1875
兰英,张,-11.3125
兰英,王,-8.5
兰英,张,-13.25
兰英,王,-3.703125
婷婷,张,-14.875
婷婷,王,-10.25
婷婷,张,-15.375
婷婷,王,-10.5625
建国,张,-16.0
建国,李,-13.1875
建国,张,-15.5
建国,李,-12.875
秀梅,李,-6.96875
秀梅,张,-19.625
秀梅,李,-9.1875
秀梅,张,-17.375
建军,李,-12.0625
建军,张,-15.75
建军,李,-12.6875
建军,张,-16.5
海燕,张,-13.375
海燕,李,-9.125
海燕,张,-14.0625
海燕,李,-8.125
志强,李,-11.4375
志强,张,-15.625
志强,李,-12.625
志强,张,-15.5625
丽丽,王,-10.625
丽丽,张,-15.625
丽丽,王,-11.5625
丽丽,张,-16.0
桂芳,张,-14.625
桂芳,王,-8.9375
桂芳,张,-15.375
桂芳,王,-8.6875
秀华,王,-9.875
秀华,李,-11.8125
秀华,王,-11.25
秀华,李,-13.25
淑英,李,-4.5
淑英,张,-15.875
淑英,李,-7.96875
淑英,张,-12.0
桂花,王,-9.3125
桂花,李,-7.78125
桂花,王,-9.875
桂花,李,-4.53125
淑兰,张,-14.3125
淑兰,李,-9.125
淑兰,张,-15.375
淑兰,李,-7.5625
怡君,陳,-1.25
怡君,林,-9.6875
怡君,陳,-1.8359375
怡君,林,-9.9375
建宏,陳,-2.625
建宏,林,-10.0
建宏,陳,-3.5625
建宏,林,-10.4375
淑惠,陳,-0.283203125
淑惠,林,-9.0625
淑惠,陳,-0.416015625
淑惠,林,-9.3125
麗華,陳,-1.0078125
麗華,林,-9.4375
麗華,陳,-1.1171875
麗華,林,-8.5
俊傑,王,-12.75
俊傑,黃,-12.375
俊傑,王,-14.25
俊傑,黃,-13.0
承翰,吳,-12.4375
承翰,李,-12.625
承翰,吳,-11.625
承翰,李,-12.5625
承恩,李,-11.5
承恩,吳,-8.5
承恩,李,-10.8125
承恩,吳,-9.9375
