firstname,lastname,prob
秀英,王,-31.34765625
秀英,李,-32.28125
秀英,王,-32.7890625
秀英,李,-31.353515625
秀英,王,-30.873046875
秀英,张,-32.6875
秀英,王,-31.4140625
秀英,张,-30.9140625
秀英,王,-30.765625
秀英,陈,-33.515625
秀英,王,-30.84375
秀英,陈,-31.15625
秀英,李,-31.919921875
秀英,张,-34.171875
秀英,李,-31.78125
秀英,张,-31.65234375
秀英,李,-31.494140625
秀英,陈,-34.6875
秀英,李,-31.140625
秀英,陈,-31.203125
秀英,张,-30.33984375
秀英,陈,-32.09375
秀英,张,-30.6328125
秀英,陈,-31.0703125
秀英,刘,-32.7255859375
秀英,杨,-32.431640625
秀英,刘,-35.1375732421875
秀英,杨,-32.3074951171875
秀英,吴,-31.68743896484375
秀英,马,-35.421875
秀英,吴,-32.1395263671875
秀英,马,-33.390625
秀英,孙,-31.8084716796875
秀英,赵,-33.8095703125
秀英,孙,-33.2100830078125
秀英,赵,-31.8631591796875
秀兰,王,-31.984375
秀兰,张,-33.859375
秀兰,王,-32.296875
秀兰,张,-32.734375
秀兰,王,-32.0625
秀兰,李,-31.9375
秀兰,王,-32.328125
秀兰,李,-31.640625
秀兰,张,-33.125
秀兰,李,-31.9296875
秀兰,张,-34.125
秀兰,李,-31.8203125
桂英,李,-31.890625
桂英,王,-32.390625
桂英,李,-32.71875
桂英,王,-32.28125
桂英,李,-31.6875
桂英,张,-34.3125
桂英,李,-31.53125
桂英,张,-32.28125
桂英,王,-31.84375
桂英,张,-33.90625
桂英,王,-31.59375
桂英,张,-31.84375
玉兰,王,-31.9375
玉兰,张,-34.375
玉兰,王,-32.078125
玉兰,张,-33.265625
玉兰,李,-31.796875
玉兰,刘,-34.16796875
玉兰,李,-32.03125
玉兰,刘,-33.765625
桂兰,王,-32.125
桂兰,张,-34.625
桂兰,王,-32.09375
桂兰,张,-33.09375
桂兰,王,-32.15625
桂兰,李,-32.40625
桂兰,王,-32.375
桂兰,李,-32.125
桂兰,张,-33.1875
桂兰,李,-31.8125
桂兰,张,-34.5625
桂兰,李,-31.984375
玉梅,王,-32.03125
玉梅,张,-34.53125
玉梅,王,-32.03125
玉梅,张,-33.96875
凤英,张,-32.0625
凤英,李,-31.25
凤英,张,-33.28125
凤英,李,-30.9765625
凤英,张,-31.515625
凤英,王,-31.203125
凤英,张,-33.265625
凤英,王,-31.515625
凤英,李,-30.875
凤英,王,-31.875
凤英,李,-31.5
凤英,王,-31.4375
玉英,王,-31.3671875
玉英,张,-33.8125
玉英,王,-31.25
玉英,张,-32.0
建华,王,-31.5625
建华,李,-31.5625
建华,王,-31.734375
建华,李,-31.171875
建华,王,-31.71875
建华,张,-33.96875
建华,王,-31.6875
建华,张,-33.125
建华,李,-31.625
建华,张,-33.9375
建华,李,-31.359375
建华,张,-33.125
玉珍,张,-32.703125
玉珍,李,-31.640625
玉珍,张,-34.28125
玉珍,李,-31.46875
兰英,张,-31.671875
兰英,王,-31.671875
兰英,张,-33.546875
兰英,王,-31.546875
婷婷,张,-33.8125
婷婷,王,-32.0625
婷婷,张,-35.5
婷婷,王,-32.140625
建国,张,-33.1875
建国,李,-31.484375
建国,张,-33.75
建国,李,-31.5625
秀梅,李,-31.1015625
秀梅,张,-33.53125
秀梅,李,-31.296875
秀梅,张,-32.859375
建军,李,-31.515625
建军,张,-34.0
建军,李,-31.703125
建军,张,-33.75
海燕,张,-32.671875
海燕,李,-31.046875
海燕,张,-34.0
海燕,李,-31.046875
志强,李,-31.96875
志强,张,-34.90625
志强,李,-31.8125
志强,张,-33.5
丽丽,王,-31.859375
丽丽,张,-34.5
丽丽,王,-32.28125
丽丽,张,-33.21875
桂芳,张,-33.1875
桂芳,王,-31.9375
桂芳,张,-35.0
桂芳,王,-31.875
秀华,王,-31.7421875
秀华,李,-31.4921875
秀华,王,-31.78125
秀华,李,-31.0390625
淑英,李,-33.421875
淑英,张,-36.6875
淑英,李,-32.90625
淑英,张,-32.90625
桂花,王,-32.203125
桂花,李,-32.328125
桂花,王,-32.4375
桂花,李,-32.25
淑兰,张,-33.65625
淑兰,李,-32.65625
淑兰,张,-36.90625
淑兰,李,-33.46875
怡君,陳,-32.015625
怡君,林,-32.578125
怡君,陳,-32.421875
怡君,林,-32.546875
建宏,陳,-32.171875
建宏,林,-32.359375
建宏,陳,-32.234375
建宏,林,-32.296875
淑惠,陳,-32.359375
淑惠,林,-33.921875
淑惠,陳,-33.171875
淑惠,林,-33.234375
麗華,陳,-32.171875
麗華,林,-32.671875
麗華,陳,-32.484375
麗華,林,-32.671875
俊傑,王,-32.390625
俊傑,黃,-34.125
俊傑,王,-32.421875
俊傑,黃,-33.625
承翰,吳,-33.2733154296875
承翰,李,-32.71875
承翰,吳,-32.8358154296875
承翰,李,-32.75
承恩,李,-32.40625
承恩,吳,-32.7108154296875
承恩,李,-32.75
承恩,吳,-33.023193359375
