firstname,lastname,prob
秀英,王,-30.90625
秀英,李,-31.84375
秀英,王,-32.0859375
秀英,李,-30.6484375
秀英,王,-30.41015625
秀英,张,-32.34375
秀英,王,-30.7578125
秀英,张,-30.6328125
秀英,王,-30.29296875
秀英,陈,-32.734375
秀英,王,-30.4296875
秀英,陈,-30.8046875
秀英,李,-31.03515625
秀英,张,-32.46875
秀英,李,-30.96875
秀英,张,-30.83984375
秀英,李,-30.64453125
秀英,陈,-33.515625
秀英,李,-30.65625
秀英,陈,-30.78125
秀英,张,-29.88671875
秀英,陈,-31.703125
秀英,张,-30.3125
秀英,陈,-30.5
秀英,刘,-31.802978515625
秀英,杨,-31.2392578125
秀英,刘,-32.83203125
秀英,杨,-30.857147216796875
秀英,吴,-31.2889404296875
秀英,马,-34.71875
秀英,吴,-30.889892578125
秀英,马,-32.1015625
秀英,孙,-30.739227294921875
秀英,赵,-31.88525390625
秀英,孙,-31.204559326171875
秀英,赵,-31.292236328125
秀兰,王,-30.8984375
秀兰,张,-32.65625
秀兰,王,-31.3828125
秀兰,张,-31.9375
秀兰,王,-31.09375
秀兰,李,-31.21875
秀兰,王,-32.0
秀兰,李,-30.875
秀兰,张,-32.0625
秀兰,李,-31.1953125
秀兰,张,-32.609375
秀兰,李,-30.859375
桂英,李,-31.296875
桂英,王,-31.921875
桂英,李,-31.75
桂英,王,-31.25
桂英,李,-31.1796875
桂英,张,-33.125
桂英,李,-31.46875
桂英,张,-32.15625
桂英,王,-31.296875
桂英,张,-33.296875
桂英,王,-31.390625
桂英,张,-31.828125
玉兰,王,-32.046875
玉兰,张,-33.359375
玉兰,王,-32.125
玉兰,张,-33.0
玉兰,李,-31.90625
玉兰,刘,-33.984375
玉兰,李,-32.09375
玉兰,刘,-33.765625
桂兰,王,-32.3125
桂兰,张,-33.4375
桂兰,王,-32.40625
桂兰,张,-33.09375
桂兰,王,-32.1875
桂兰,李,-32.0625
桂兰,王,-32.421875
桂兰,李,-31.921875
桂兰,张,-32.96875
桂兰,李,-31.90625
桂兰,张,-33.203125
桂兰,李,-32.015625
玉梅,王,-32.28125
玉梅,张,-33.71875
玉梅,王,-32.453125
玉梅,张,-33.515625
凤英,张,-32.0
凤英,李,-31.1171875
凤英,张,-32.96875
凤英,李,-31.0234375
凤英,张,-31.59375
凤英,王,-30.96875
凤英,张,-32.96875
凤英,王,-30.8515625
凤英,李,-30.9765625
凤英,王,-31.96875
凤英,李,-31.59375
凤英,王,-31.1484375
玉英,王,-31.515625
玉英,张,-33.703125
玉英,王,-31.53125
玉英,张,-31.96875
建华,王,-31.421875
建华,李,-31.484375
建华,王,-32.078125
建华,李,-31.140625
建华,王,-31.734375
建华,张,-33.4375
建华,王,-31.9375
建华,张,-32.8125
建华,李,-31.359375
建华,张,-33.171875
建华,李,-31.3125
建华,张,-32.6875
玉珍,张,-32.453125
玉珍,李,-31.390625
玉珍,张,-32.96875
玉珍,李,-31.21875
兰英,张,-31.828125
兰英,王,-31.703125
兰英,张,-32.921875
兰英,王,-31.171875
婷婷,张,-33.546875
婷婷,王,-32.546875
婷婷,张,-33.875
婷婷,王,-32.25
建国,张,-33.015625
建国,李,-31.640625
建国,张,-33.078125
建国,李,-31.578125
秀梅,李,-30.390625
秀梅,张,-31.828125
秀梅,李,-31.078125
秀梅,张,-32.015625
建军,李,-31.453125
建军,张,-33.3125
建军,李,-31.5625
建军,张,-33.125
海燕,张,-32.609375
海燕,李,-31.296875
海燕,张,-32.96875
海燕,李,-31.28125
志强,李,-31.875
志强,张,-33.375
志强,李,-31.75
志强,张,-33.0
丽丽,王,-31.9375
丽丽,张,-33.3125
丽丽,王,-32.125
丽丽,张,-32.6875
桂芳,张,-33.15625
桂芳,王,-32.21875
桂芳,张,-33.515625
桂芳,王,-32.078125
秀华,王,-31.1171875
秀华,李,-31.6171875
秀华,王,-32.09375
秀华,李,-30.8359375
淑英,李,-32.53125
淑英,张,-34.96875
淑英,李,-32.21875
淑英,张,-31.9140625
桂花,王,-31.84375
桂花,李,-31.71875
桂花,王,-32.0625
桂花,李,-31.5625
淑兰,张,-32.875
淑兰,李,-32.1875
淑兰,张,-33.9375
淑兰,李,-32.3125
怡君,陳,-32.59375
怡君,林,-31.90625
怡君,陳,-34.0
怡君,林,-31.921875
建宏,陳,-32.59375
建宏,林,-31.71875
建宏,陳,-33.625
建宏,林,-31.984375
淑惠,陳,-31.3125
淑惠,林,-32.75
淑惠,陳,-34.1875
淑惠,林,-32.328125
麗華,陳,-32.375
麗華,林,-31.9375
麗華,陳,-33.40625
麗華,林,-31.96875
俊傑,王,-32.25
俊傑,黃,-35.0
俊傑,王,-32.359375
俊傑,黃,-34.1875
承翰,吳,-32.93359375
承翰,李,-31.859375
承翰,吳,-32.98046875
承翰,李,-31.765625
承恩,李,-31.53125
承恩,吳,-32.82421875
承恩,李,-31.609375
承恩,吳,-32.8671875
