firstname,lastname,prob
秀英,王,-30.37109375
秀英,李,-31.5625
秀英,王,-31.96875
秀英,李,-30.345703125
秀英,王,-30.2109375
秀英,张,-32.09375
秀英,王,-30.875
秀英,张,-30.06640625
秀英,王,-29.994140625
秀英,陈,-32.4375
秀英,王,-30.90625
秀英,陈,-30.40625
秀英,李,-31.517578125
秀英,张,-33.453125
秀英,李,-31.0
秀英,张,-30.37890625
秀英,李,-30.5078125
秀英,陈,-33.125
秀英,李,-31.0625
秀英,陈,-30.375
秀英,张,-29.64453125
秀英,陈,-31.515625
秀英,张,-30.578125
秀英,陈,-30.390625
秀英,刘,-32.2816162109375
秀英,杨,-31.92919921875
秀英,刘,-33.868133544921875
秀英,杨,-31.517059326171875
秀英,吴,-31.1932373046875
秀英,马,-35.0625
秀英,吴,-31.6025390625
秀英,马,-32.125
秀英,孙,-30.971923828125
秀英,赵,-32.087890625
秀英,孙,-31.65234375
秀英,赵,-31.25146484375
秀兰,王,-31.4375
秀兰,张,-33.875
秀兰,王,-31.5703125
秀兰,张,-32.0
秀兰,王,-31.609375
秀兰,李,-31.984375
秀兰,王,-32.015625
秀兰,李,-31.640625
秀兰,张,-32.375
秀兰,李,-31.5625
秀兰,张,-33.8125
秀兰,李,-31.6328125
桂英,李,-31.953125
桂英,王,-32.390625
桂英,李,-32.375
桂英,王,-31.7578125
桂英,李,-31.7265625
桂英,张,-34.90625
桂英,李,-31.1484375
桂英,张,-31.59375
桂英,王,-31.234375
桂英,张,-34.4375
桂英,王,-31.109375
桂英,张,-30.984375
玉兰,王,-32.171875
玉兰,张,-34.875
玉兰,王,-32.140625
玉兰,张,-33.6875
玉兰,李,-32.734375
玉兰,刘,-36.6640625
玉兰,李,-32.296875
玉兰,刘,-35.7578125
桂兰,王,-31.90625
桂兰,张,-34.71875
桂兰,王,-31.640625
桂兰,张,-33.078125
桂兰,王,-32.046875
桂兰,李,-32.234375
桂兰,王,-31.9375
桂兰,李,-31.9375
桂兰,张,-33.015625
桂兰,李,-31.515625
桂兰,张,-34.4375
桂兰,李,-31.984375
玉梅,王,-32.40625
玉梅,张,-35.40625
玉梅,王,-32.140625
玉梅,张,-34.25
凤英,张,-31.625
凤英,李,-30.9921875
凤英,张,-34.3125
凤英,李,-31.3125
凤英,张,-30.734375
凤英,王,-30.484375
凤英,张,-34.3125
凤英,王,-31.015625
凤英,李,-31.296875
凤英,王,-32.109375
凤英,李,-32.0625
凤英,王,-31.4453125
玉英,王,-31.0859375
玉英,张,-34.40625
玉英,王,-30.4296875
玉英,张,-30.9375
建华,王,-31.390625
建华,李,-31.703125
建华,王,-31.671875
建华,李,-31.421875
建华,王,-31.546875
建华,张,-33.4375
建华,王,-31.421875
建华,张,-33.0
建华,李,-31.578125
建华,张,-33.328125
建华,李,-31.203125
建华,张,-32.75
玉珍,张,-32.84375
玉珍,李,-31.5390625
玉珍,张,-34.3125
玉珍,李,-31.8125
兰英,张,-31.0625
兰英,王,-31.125
兰英,张,-34.0
兰英,王,-30.9921875
婷婷,张,-34.0625
婷婷,王,-31.9375
婷婷,张,-35.53125
婷婷,王,-31.90625
建国,张,-33.015625
建国,李,-31.578125
建国,张,-33.265625
建国,李,-31.828125
秀梅,李,-31.265625
秀梅,张,-33.578125
秀梅,李,-31.2421875
秀梅,张,-32.5
建军,李,-31.78125
建军,张,-33.53125
建军,李,-31.453125
建军,张,-33.3125
海燕,张,-33.25
海燕,李,-31.546875
海燕,张,-34.34375
海燕,李,-31.46875
志强,李,-32.171875
志强,张,-34.875
志强,李,-31.859375
志强,张,-33.5625
丽丽,王,-31.609375
丽丽,张,-34.6875
丽丽,王,-31.484375
丽丽,张,-32.546875
桂芳,张,-33.4375
桂芳,王,-31.6875
桂芳,张,-34.9375
桂芳,王,-31.671875
秀华,王,-30.828125
秀华,李,-31.328125
秀华,王,-31.5
秀华,李,-31.1328125
淑英,李,-32.7265625
淑英,张,-35.96875
淑英,李,-32.15625
淑英,张,-31.34375
桂花,王,-32.265625
桂花,李,-32.390625
桂花,王,-32.4375
桂花,李,-32.4375
淑兰,张,-32.53125
淑兰,李,-31.84375
淑兰,张,-35.84375
淑兰,李,-32.40625
怡君,陳,-32.515625
怡君,林,-32.890625
怡君,陳,-32.65625
怡君,林,-32.84375
建宏,陳,-32.40625
建宏,林,-32.59375
建宏,陳,-32.171875
建宏,林,-32.484375
淑惠,陳,-31.4296875
淑惠,林,-33.5625
淑惠,陳,-32.75
淑惠,林,-32.75
麗華,陳,-32.703125
麗華,林,-33.078125
麗華,陳,-32.796875
麗華,林,-33.046875
俊傑,王,-32.15625
俊傑,黃,-33.96875
俊傑,王,-32.015625
俊傑,黃,-33.5
承翰,吳,-33.039031982421875
承翰,李,-32.59375
承翰,吳,-32.578094482421875
承翰,李,-32.375
承恩,李,-32.078125
承恩,吳,-32.121063232421875
承恩,李,-32.21875
承恩,吳,-32.281219482421875
