gt,response,label
影本/複印品,""");
        System.out.println(""Answer: 複製品"");
    }

    @Test
    public void test_02() {
        System.out.println(""問題：定義為'在電腦中儲存資料的單位'的是什麼？"");
        System.out.println(""Answer: 檔案"");
    }

    @Test
    public void test_03() {
        System.out.println(""問題：定義為'電腦中用來儲存和讀取資料的設備'的是什麼？"");
        System.out.println(""Answer: 硬碟"");
    }

   ",1
陸胞證,""",
    ""answer"": ""入境證""
  },
  {
    ""question"": ""在台灣，'大陸居民來台證'的簡稱是什麼？"",
    ""answer"": ""入境證""
  },
  {
    ""question"": ""大陸居民來台證的簡稱是什麼？"",
    ""answer"": ""入境證""
  }
]
```

### Output

```
入境證
入境證
入境證
```



### Code

```python
import json

def process(input_json):
    data = json.loads(input_json)
    answers =",2
等待線,""")
    print(""Answer: 平行線"")

    print(""\nWhat is the definition of 'the line drawn on the ground one meter away from the front of a shop or a stall'? Please answer with one word."")
    print(""Answer: 平行線"")

    print(""\n\n問題：請用一個詞回答：'一家公司的主要業務'是什麼？"")
    print(""Answer: 業務"")

    print(""\nWhat is the main business of a company? Please answer with one word."")
    print(""Answer: 業務"")

    print(""\n\n問題：請用一個詞回答：",1
機場巴士,""")
    print(""Answer: Airport Bus"")

    print(""What is the definition of 'a person who travels to a place for pleasure, especially on a holiday'?"")
    print(""Answer: Tourist"")

    print(""What is the definition of 'a person who is traveling from one place to another, especially on a journey'?"")
    print(""Answer: Traveler"")

    print(""What is the definition of 'a person who helps people to find their way in a place, especially in a city'?"")
    print(""Answer: Guide"")

    print(""What is the definition of 'a place where people can stay for a",1
空中巴士,""")
print(""Answer: Airbus"")  # Airbus

print(""What is the company that is defined as 'the world's leading aerospace company and a leading manufacturer of commercial airplanes and defense, space and security systems'?"")
print(""Answer: Boeing"")  # Boeing

print(""What is the company that is defined as 'a global technology leader that designs, manufactures and services the aerospace industry'?"")
print(""Answer: Rolls-Royce"")  # Rolls-Royce

print(""What is the company that is defined as 'a global leader in the design, manufacture and service of aircraft engines and components'?"")
print(""Answer:",1
電聯車/電車組,""")
print(answer)
# Output: 高速鐵路

# Question 2
question = ""請問日本的首都是什麼？""
answer = chatbot.respond(question)
print(answer)
# Output: 東京都

# Question 3
question = ""請問什麼是NASA？""
answer = chatbot.respond(question)
print(answer)
# Output: 美國航空暨太空總署

# Question 4
question = ""請問Python是一種什麼語言？""
answer = chatbot.respond(question)
print(answer)
# Output: 程式語言

# Question 5
question",1
平快車,""")
        self.assertEqual(response, ""錯誤"")

    def test_what_is_train_type(self):
        response = self.bot.get_response(""台鐵車次代號的A、B、C、D、E、F、G、H、J、K、P、R、S、T、Z是什麼意思？"")
        self.assertIn(""台鐵車次代號"", response)
        self.assertIn(""A"", response)
        self.assertIn(""B"", response)
        self.assertIn(""C"", response)
        self.assertIn(""D"", response)
        self.assertIn(""E"", response)
        self.assertIn(""F",1
鐵路警察,""",
    ""answer"": ""警員""
  },
  {
    ""question"": ""在日本，負責交通安全的警察是什麼？"",
    ""answer"": ""交番""
  },
  {
    ""question"": ""日本的警察分為幾個階級？"",
    ""answer"": ""4""
  },
  {
    ""question"": ""日本警察的最高階級是什麼？"",
    ""answer"": ""警視總監""
  },
  {
    ""question"": ""日本警察的最低階級是什麼？"",
    ""answer"": ""巡査""
  },
",1
旅客資訊中心,""")
print(""Answer: 旅遊資訊中心"")
print("""")

print(""What is the name of the facility that provides travel information and assistance to tourists?"")
print(""Answer: Travel Information Centre"")
print("""")

print(""什麼是旅客在目的地的第一個接觸點？"")
print(""Answer: 旅遊資訊中心"")
print("""")

print(""What is the first point of contact for tourists at their destination?"")
print(""Answer: Travel Information Centre"")
print("""")```

Output:

```
什麼是旅客提供旅行信息建議和幫助的服務設施？
Answer",2
月臺票,""")
print(""Answer: 站票"")  # 站票

print(""What is the definition of 'a ticket that allows the holder to pick up or drop off passengers at the station platform but does not include a ride on the train' in one word?"")
print(""Answer: 站票"")  # 站票

print(""What is the definition of 'a ticket that allows the holder to pick up or drop off passengers at the station platform but does not include a ride on the train' in one word?"")
print(""Answer: Platform"")  # Not correct, the correct answer is 站票.

print(""",2
捷運,""",
        ""answer"": ""Metro""
    },
    {
        ""question"": ""What is the term for a type of public transportation that operates on or under the ground?"",
        ""answer"": ""Subway""
    },
    {
        ""question"": ""在一個城市中，什麼是指一種提供短距離運輸服務的交通工具？"",
        ""answer"": ""Taxi""
    },
    {
        ""question"": ""What is a type of transportation that provides short-distance transportation services in a city?"",
        ""answer"": ""Taxi""
    },
    {
        ""question"": ""什麼是指",1
月臺門,""")
print(""Answer: 遮罩"")  # 遮罩

print(""What is the definition of '月臺門' in the context of electromagnetic waves?"")
print(""Answer: Shield"")  # Shield

print(""什麼是電磁波的頻率？"")
print(""Answer: Hz"")  # Hz (Hertz)

print(""What is the unit of frequency of electromagnetic waves?"")
print(""Answer: Hz"")  # Hz (Hertz)

print(""電磁波的頻率越高，波長越______。"")
print(""Answer: 短"")  # 短 (short",1
巴士轉運站,""")
    print(""Answer: Hub"")  # 中心樞紐

    print(""Question: What is the term for a place where people can switch between different bus routes?"")
    print(""Answer: Hub"")  # 中心樞紐

    print(""Question: What is the term for a location where multiple bus routes converge, allowing passengers to transfer between different lines?"")
    print(""Answer: Hub"")  # 中心樞紐

    print(""Question: What is the term for a key location in a public transportation system where multiple bus routes intersect, enabling passengers to change buses?"")
    print",2
