word,count
王秀英,1
李秀英,10
张秀英,1
王秀兰,2
李桂英,11
王桂英,2
张秀兰,3
张桂英,1
王玉兰,1
李秀兰,3
张玉兰,3
王桂兰,1
陈秀英,1
张桂兰,2
李桂兰,6
王秀珍,1
李玉兰,4
刘秀英,1
刘桂英,0
杨秀英,2
李秀珍,2
刘玉兰,4
刘桂兰,1
王玉梅,6
王玉珍,4
张凤英,1
李凤英,1
王玉英,1
张玉梅,7
王凤英,4
张玉英,1
李红梅,7
张秀珍,2
王建华,11
李玉梅,3
李建华,19
张建华,21
张玉珍,3
张兰英,0
王兰英,0
李玉珍,2
陈桂英,1
王建国,18
王建军,19
王淑珍,3
李春梅,6
王海燕,28
李冬梅,4
王秀荣,2
李桂珍,0
王秀云,0
王桂荣,1
王志强,11
张红梅,6
刘凤英,1
李玉英,2
王秀梅,6
王丽娟,12
张婷婷,14
王婷婷,19
王玉华,3
张建国,9
李兰英,0
王桂珍,2
李秀梅,4
陈玉兰,3
张玉华,5
刘玉梅,1
李建军,14
刘玉珍,0
李建国,14
李桂荣,0
陈秀兰,0
张建军,7
李秀荣,1
张秀梅,1
李雪梅,6
张海燕,7
王淑兰,0
李志强,19
李婷婷,31
张秀荣,0
刘建华,4
王丽丽,8
李海燕,20
张桂荣,1
刘秀兰,1
张志强,23
李秀云,2
李秀芳,1
张丽丽,22
张秀云,1
王淑英,2
王春梅,2
王红梅,11
李玉华,4
李桂芳,1
黄秀英,0
刘玉英,0
李淑珍,0
王秀芳,0
王丽华,12
王丹丹,13
王桂香,2
张桂珍,0
王淑华,3
张秀芳,3
张桂芳,2
张丽娟,17
吴秀英,0
李桂香,1
杨秀兰,1
王秀华,2
李桂芝,0
王桂芳,0
张春梅,10
王冬梅,7
李秀华,3
李丹丹,15
刘玉华,1
马秀英,1
张丽华,8
张淑珍,0
王桂芝,1
张秀华,1
陈建华,10
杨桂英,2
李淑英,3
陈玉英,0
杨秀珍,0
孙秀英,1
刘桂珍,0
刘建军,8
张淑英,0
李红霞,3
赵秀英,0
王建平,11
张桂芝,1
王桂花,0
刘婷婷,9
张淑兰,0
陈桂兰,1
李淑华,0
刘建国,15
李桂花,0
王凤兰,1
李淑兰,0
陈秀珍,0
刘红梅,10
刘桂荣,2
刘志强,7
陈凤英,1
