word,count
陳冠宇,4
陳建宏,3
張家豪,2
陳俊宏,1
陳冠廷,0
林建宏,2
陳柏翰,1
陳柏宇,6
陳彥廷,0
陳信宏,1
林俊宏,2
陳志豪,2
張家銘,2
王俊傑,3
黃俊傑,2
陳冠霖,3
陳志明,1
陳俊宇,2
林冠宇,0
林冠廷,0
陳建志,1
陳威廷,0
陳俊傑,5
林志明,1
陳俊良,3
林彥廷,0
陳冠宏,0
李俊賢,0
吳宗翰,0
陳柏宏,0
陳建宇,1
張育誠,1
林哲宇,1
張家瑋,0
陳建良,1
吳俊賢,1
陳柏安,0
陳柏霖,2
張凱翔,1
陳建成,0
李宗翰,24
吳承翰,1
李承翰,8
張哲瑋,1
許家豪,0
陳威宇,0
陳柏諺,0
陳建銘,0
陳俊廷,1
林信宏,1
張家榮,3
張哲維,0
陳建安,2
李承恩,1
陳志成,3
蔡承翰,0
林志鴻,1
吳承恩,0
張志豪,1
陳志忠,0
蔡宗翰,1
陳奕安,0
陳俊男,1
陳正雄,0
陳志偉,0
林子傑,0
林明輝,0
陳志銘,0
陳彥霖,0
李建興,2
陳志宏,0
陳俊豪,3
陳柏睿,0
楊宗翰,2
陳俊吉,0
黃柏翰,1
陳彥宇,0
林子翔,0
陳俊佑,0
李俊毅,6
林建成,3
林明德,1
陳俊雄,0
林冠宏,1
陳文雄,0
林正雄,0
陳文彬,0
陳昱安,1
劉冠廷,5
王俊凱,9
蔡承恩,0
劉建宏,2
陳志強,5
吳俊毅,0
陳俊銘,2
林建志,1
楊承翰,0
黃柏翔,0
陳宥廷,0
林建良,4
陳怡君,1
林怡君,4
陳淑芬,1
張雅婷,1
陳美玲,1
陳怡如,2
陳美惠,2
陳淑惠,2
林淑惠,1
陳淑貞,1
陳淑娟,3
陳麗華,1
林佳慧,0
林淑芬,4
陳美華,1
陳怡靜,2
楊雅婷,0
陳淑華,0
陳怡伶,4
林麗華,1
張雅惠,1
陳淑美,0
陳秀美,0
陳韻如,4
陳怡婷,1
黃淑芬,1
張雅雯,1
陳淑玲,0
陳思妤,1
黃鈺婷,2
陳麗娟,4
林美惠,2
林美玲,1
林淑娟,1
林秀美,0
陳雅玲,0
陳美玉,0
陳秀琴,0
許雅婷,6
黃淑惠,0
劉怡君,0
張淑惠,0
陳美珠,0
陳秀英,0
陳雅惠,0
林佳蓉,1
陳麗珠,1
黃馨儀,2
林淑華,4
陳怡安,2
林淑貞,0
陳美雲,1
王怡婷,0
林美華,1
陳秀鳳,0
陳惠美,0
陳思穎,1
張淑芬,1
陳惠玲,0
陳麗卿,3
林欣怡,1
黃淑貞,2
黃美玲,1
李淑芬,2
陳美麗,0
林秀英,1
陳雅婷,0
陳麗美,2
黃美惠,0
李佳蓉,0
李麗華,1
林雅惠,1
陳品妤,0
林欣儀,1
陳秀蘭,1
鄭雅文,3
陳慧玲,1
黃郁婷,1
林芳如,1
陳麗如,0
陳宥蓁,1
黃美華,0
黃淑娟,1
王淑芬,5
黃麗華,0
李淑惠,0
林雅婷,1
陳姿穎,2
林麗娟,1
林美玉,2
張淑娟,3
林宜蓁,0
黃詩涵,2
陳素貞,0
張美玲,4
李怡萱,0
林秀琴,0
吳佩珊,2
林秀玲,1
張淑貞,0
