word,count
复印件,48
通行证,19
一米线/一米等待线,0
空乘人员,0
机场大巴,16
空中客车,26
动车,40
普快/普通快速列车,114
乘警,0
铁警,0
磁悬浮列车,23
旅客信息中心,0
站台,49
站台票,2
地铁,1352
屏蔽门,0
中转站,10
公交枢纽站,4
公共交通,259
公交车,140
售票员,7
老幼病残孕专座,0
立交桥,49
道口,11
转盘,9
警示桶,0
隔离墩,2
高𡶶时刻,0
出租汽车,11
打的,9
起步价,8
班车,7
面包车,9
协警,0
长途汽车,15
私家车,13
黑车,3
房车,5
拖挂车,1
自行车,330
山地车,36
摩托,68
踏板摩托车,0
车距,0
交通拥堵,1
追尾,4
酒精测试仪,3
驾校,49
违规记分,0
罚款,28
后备箱,9
反视镜,0
示廓灯,0
后位灯,0
转向灯,3
挂挡,0
减挡,2
自动挡,15
手动挡,7
尾气,0
旅游局,39
旅游胜地,343
步行街,60
拼车,11
双人自行车,8
大堂经理,2
商住楼,94
复式楼,1
猫眼/门镜,13
房屋中介,2
液化气,29
液化气罐,0
煤气灶,3
燃气管,0
燃气表,0
建筑垃圾,2
排风扇,4
残品,0
虚假广告,4
断码货,0
中间商,16
一口价,4
保质期,152
保修,279
网上购物,287
自动售货机,10
连衣裙,41
裙裤,2
蝙蝠衫,2
秋裤,0
秋衣,1
紧身短裤,0
坡跟鞋,0
西兰花,159
淀粉/团粉/生粉,1906
菠萝,245
番石榴,30
橙子,124
羊蝎子,3
三文鱼,44
金枪鱼,41
牡蛎,126
数字电视,198
录像机,17
数码相机,530
卫生巾,25
避孕套/安全套,19
圆珠笔,11
创可贴,9
桑拿浴/桑拿,103
