word,count
复印件,57
通行证,19
一米线/一米等待线,1
空乘人员,2
机场大巴,11
空中客车,12
动车,36
普快/普通快速列车,1
乘警,1
铁警,3
磁悬浮列车,3
旅客信息中心,0
站台,32
站台票,1
地铁,568
屏蔽门,1
中转站,0
公交枢纽站,2
公共交通,123
公交车,64
售票员,0
老幼病残孕专座,0
立交桥,10
道口,5
转盘,5
警示桶,0
隔离墩,2
高𡶶时刻,0
出租汽车,2
打的,4
起步价,38
班车,27
面包车,59
协警,3
长途汽车,12
私家车,44
黑车,15
房车,67
拖挂车,0
自行车,122
山地车,22
摩托,56
踏板摩托车,17
车距,0
交通拥堵,1
追尾,6
酒精测试仪,3
驾校,232
违规记分,0
罚款,92
后备箱,4
反视镜,0
示廓灯,0
后位灯,0
转向灯,10
挂挡,0
减挡,0
自动挡,63
手动挡,22
尾气,1
旅游局,110
旅游胜地,20
步行街,75
拼车,33
双人自行车,1
大堂经理,61
商住楼,17
复式楼,3
猫眼/门镜,22
房屋中介,15
液化气,14
液化气罐,1
煤气灶,8
燃气管,5
燃气表,3
建筑垃圾,8
排风扇,5
残品,1
虚假广告,1
断码货,0
中间商,5
一口价,27
保质期,214
保修,23
网上购物,45
自动售货机,11
连衣裙,127
裙裤,2
蝙蝠衫,0
秋裤,8
秋衣,3
紧身短裤,0
坡跟鞋,3
西兰花,12
淀粉/团粉/生粉,25
菠萝,31
番石榴,4
橙子,20
羊蝎子,6
三文鱼,30
金枪鱼,15
牡蛎,4
数字电视,16
录像机,31
数码相机,76
卫生巾,11
避孕套/安全套,9
圆珠笔,10
创可贴,3
桑拿浴/桑拿,152
