word,count
复印件,48
通行证,1
一米线/一米等待线,0
空乘人员,0
机场大巴,12
空中客车,3
动车,9
普快/普通快速列车,5
乘警,2
铁警,0
磁悬浮列车,11
旅客信息中心,0
站台,87
站台票,1
地铁,724
屏蔽门,0
中转站,3
公交枢纽站,0
公共交通,186
公交车,91
售票员,5
老幼病残孕专座,0
立交桥,9
道口,1
转盘,3
警示桶,0
隔离墩,0
高𡶶时刻,0
出租汽车,66
打的,2
起步价,18
班车,8
面包车,3
协警,0
长途汽车,43
私家车,10
黑车,6
房车,5
拖挂车,0
自行车,97
山地车,3
摩托,6
踏板摩托车,0
车距,0
交通拥堵,1
追尾,3
酒精测试仪,0
驾校,6
违规记分,0
罚款,14
后备箱,8
反视镜,0
示廓灯,0
后位灯,0
转向灯,2
挂挡,1
减挡,0
自动挡,5
手动挡,6
尾气,1
旅游局,9
旅游胜地,26
步行街,12
拼车,1
双人自行车,1
大堂经理,6
商住楼,10
复式楼,0
猫眼/门镜,5
房屋中介,0
液化气,11
液化气罐,0
煤气灶,0
燃气管,0
燃气表,2
建筑垃圾,2
排风扇,0
残品,0
虚假广告,4
断码货,0
中间商,5
一口价,3
保质期,58
保修,27
网上购物,15
自动售货机,7
连衣裙,12
裙裤,1
蝙蝠衫,3
秋裤,1
秋衣,0
紧身短裤,0
坡跟鞋,0
西兰花,27
淀粉/团粉/生粉,125
菠萝,83
番石榴,6
橙子,47
羊蝎子,1
三文鱼,28
金枪鱼,28
牡蛎,117
数字电视,14
录像机,8
数码相机,27
卫生巾,9
避孕套/安全套,28
圆珠笔,8
创可贴,6
桑拿浴/桑拿,50
