word,count
复印件,68
通行证,9
一米线/一米等待线,4
空乘人员,0
机场大巴,2
空中客车,2
动车,4
普快/普通快速列车,0
乘警,0
铁警,1
磁悬浮列车,0
旅客信息中心,0
站台,9
站台票,0
地铁,235
屏蔽门,0
中转站,2
公交枢纽站,0
公共交通,7
公交车,8
售票员,0
老幼病残孕专座,0
立交桥,2
道口,1
转盘,1
警示桶,0
隔离墩,0
高𡶶时刻,0
出租汽车,2
打的,12
起步价,17
班车,4
面包车,5
协警,0
长途汽车,0
私家车,3
黑车,1
房车,5
拖挂车,0
自行车,15
山地车,1
摩托,7
踏板摩托车,0
车距,0
交通拥堵,1
追尾,0
酒精测试仪,0
驾校,5
违规记分,0
罚款,57
后备箱,0
反视镜,0
示廓灯,0
后位灯,0
转向灯,1
挂挡,0
减挡,0
自动挡,3
手动挡,3
尾气,2
旅游局,1
旅游胜地,0
步行街,7
拼车,4
双人自行车,0
大堂经理,3
商住楼,0
复式楼,2
猫眼/门镜,5
房屋中介,1
液化气,3
液化气罐,0
煤气灶,0
燃气管,0
燃气表,0
建筑垃圾,1
排风扇,0
残品,0
虚假广告,1
断码货,0
中间商,2
一口价,11
保质期,12
保修,13
网上购物,1
自动售货机,5
连衣裙,4
裙裤,0
蝙蝠衫,0
秋裤,1
秋衣,0
紧身短裤,0
坡跟鞋,0
西兰花,9
淀粉/团粉/生粉,14
菠萝,6
番石榴,2
橙子,11
羊蝎子,0
三文鱼,2
金枪鱼,1
牡蛎,5
数字电视,0
录像机,6
数码相机,5
卫生巾,3
避孕套/安全套,1
圆珠笔,2
创可贴,4
桑拿浴/桑拿,4
