word,count
复印件,0
通行证,1
一米线/一米等待线,0
空乘人员,0
机场大巴,0
空中客车,0
动车,1
普快/普通快速列车,1
乘警,2
铁警,0
磁悬浮列车,1
旅客信息中心,0
站台,253
站台票,1
地铁,350
屏蔽门,0
中转站,0
公交枢纽站,0
公共交通,759
公交车,99
售票员,0
老幼病残孕专座,0
立交桥,14
道口,0
转盘,0
警示桶,0
隔离墩,0
高𡶶时刻,0
出租汽车,6
打的,4
起步价,0
班车,1
面包车,6
协警,1
长途汽车,32
私家车,1
黑车,0
房车,0
拖挂车,0
自行车,276
山地车,0
摩托,6
踏板摩托车,0
车距,0
交通拥堵,11
追尾,0
酒精测试仪,0
驾校,0
违规记分,0
罚款,1
后备箱,1
反视镜,0
示廓灯,0
后位灯,0
转向灯,0
挂挡,0
减挡,0
自动挡,0
手动挡,0
尾气,0
旅游局,0
旅游胜地,6
步行街,17
拼车,0
双人自行车,1
大堂经理,0
商住楼,0
复式楼,0
猫眼/门镜,0
房屋中介,0
液化气,0
液化气罐,0
煤气灶,0
燃气管,0
燃气表,0
建筑垃圾,0
排风扇,0
残品,0
虚假广告,0
断码货,0
中间商,0
一口价,0
保质期,0
保修,1
网上购物,0
自动售货机,0
连衣裙,0
裙裤,0
蝙蝠衫,0
秋裤,0
秋衣,0
紧身短裤,0
坡跟鞋,0
西兰花,0
淀粉/团粉/生粉,4
菠萝,0
番石榴,5
橙子,0
羊蝎子,0
三文鱼,0
金枪鱼,0
牡蛎,0
数字电视,58
录像机,0
数码相机,6
卫生巾,0
避孕套/安全套,7
圆珠笔,3
创可贴,1
桑拿浴/桑拿,12
