word,count
影本/複印品,1
陸胞證,0
等待線,0
空服人員,3
機場巴士,2
空中巴士,2
電聯車/電車組,0
平快車,0
鐵路警察,0
路警,0
磁浮列車,0
旅客資訊中心,0
月臺,0
月臺票,0
捷運,49
月臺門,0
轉運站,1
巴士轉運站,0
大衆運輸,0
公車,20
車掌,0
博愛座,1
交流道,10
平交道,0
圓環,6
交通錐,0
紐澤西護欄,0
尖峰畤刻,0
計程車,16
搭計程車,0
起跳價,0
交通車,2
箱型車,1
義警,0
客運汽車,0
家庭車,0
白牌車,0
露營車,5
聯結车,0
腳踏車,36
越野車,4
機車,73
速可達,0
行車距離,0
交通堵塞,1
追撞,2
酒測器,0
駕訓班,5
違規記點,0
罰鍰,1
後車廂,0
後照鏡,1
邊燈,0
後車燈,0
方向燈,1
入擋,0
退擋,0
自動排擋,0
手動排擋,0
廢氣,0
觀光局,7
觀光勝地,3
徒步區,0
共乘,7
協力車,0
𣘗𡑔絰理,0
住商大樓,0
樓中樓,3
門眼/防盗眼,0
房仲業,3
液化瓦斯,10
瓦斯鋼瓶,0
瓦斯爐,17
夭然瓦斯管道,0
瓦斯表,0
建築廢棄物,0
抽風機,2
瑕疵品,0
不實廣告,0
零碼,1
中盤商/中盤,1
不二價,9
保存期限,70
保固,57
網路購物,1126
自動販賣機,18
連身裙,20
褲裙,2
蝴蝶䄂,0
衛生褲,0
衛生衣,1
熱褲,2
楔型鞋,4
綠花椰菜,1
太白粉,14
鳳梨,20
芭樂,6
柳橙,4
羊大骨,1
鮭魚,23
鮪魚,19
蚵仔,1
數位電視,18
錄影機,1
數位相機,89
衛生棉,11
衛生套/保險套,17
原子筆,10
OK繃,0
三温暖,1
