word,count
影本/複印品,14
陸胞證,0
等待線,0
空服人員,0
機場巴士,7
空中巴士,5
電聯車/電車組,0
平快車,0
鐵路警察,0
路警,0
磁浮列車,1
旅客資訊中心,0
月臺,2
月臺票,0
捷運,34
月臺門,0
轉運站,5
巴士轉運站,0
大衆運輸,0
公車,38
車掌,0
博愛座,2
交流道,3
平交道,0
圓環,5
交通錐,0
紐澤西護欄,0
尖峰畤刻,0
計程車,13
搭計程車,0
起跳價,0
交通車,1
箱型車,0
義警,0
客運汽車,0
家庭車,0
白牌車,1
露營車,7
聯結车,0
腳踏車,14
越野車,6
機車,34
速可達,0
行車距離,0
交通堵塞,2
追撞,0
酒測器,0
駕訓班,0
違規記點,0
罰鍰,1
後車廂,0
後照鏡,0
邊燈,0
後車燈,0
方向燈,0
入擋,0
退擋,0
自動排擋,0
手動排擋,0
廢氣,32
觀光局,1
觀光勝地,0
徒步區,0
共乘,2
協力車,1
𣘗𡑔絰理,0
住商大樓,0
樓中樓,2
門眼/防盗眼,0
房仲業,1
液化瓦斯,1
瓦斯鋼瓶,0
瓦斯爐,6
夭然瓦斯管道,0
瓦斯表,0
建築廢棄物,0
抽風機,1
瑕疵品,2
不實廣告,0
零碼,0
中盤商/中盤,1
不二價,0
保存期限,23
保固,14
網路購物,6
自動販賣機,0
連身裙,4
褲裙,0
蝴蝶䄂,0
衛生褲,0
衛生衣,0
熱褲,0
楔型鞋,0
綠花椰菜,1
太白粉,1
鳳梨,11
芭樂,4
柳橙,2
羊大骨,0
鮭魚,11
鮪魚,5
蚵仔,2
數位電視,2
錄影機,2
數位相機,6
衛生棉,2
衛生套/保險套,8
原子筆,2
OK繃,0
三温暖,1
