word,count
影本/複印品,2
陸胞證,0
等待線,1
空服人員,0
機場巴士,1
空中巴士,2
電聯車/電車組,2
平快車,0
鐵路警察,0
路警,0
磁浮列車,0
旅客資訊中心,0
月臺,0
月臺票,0
捷運,14
月臺門,0
轉運站,3
巴士轉運站,0
大衆運輸,0
公車,19
車掌,0
博愛座,0
交流道,2
平交道,0
圓環,0
交通錐,1
紐澤西護欄,0
尖峰畤刻,0
計程車,6
搭計程車,0
起跳價,0
交通車,0
箱型車,0
義警,0
客運汽車,0
家庭車,0
白牌車,0
露營車,3
聯結车,0
腳踏車,2
越野車,0
機車,14
速可達,0
行車距離,0
交通堵塞,2
追撞,0
酒測器,0
駕訓班,0
違規記點,0
罰鍰,1
後車廂,0
後照鏡,0
邊燈,0
後車燈,0
方向燈,1
入擋,0
退擋,0
自動排擋,0
手動排擋,0
廢氣,2
觀光局,1
觀光勝地,0
徒步區,0
共乘,1
協力車,0
𣘗𡑔絰理,0
住商大樓,0
樓中樓,0
門眼/防盗眼,0
房仲業,0
液化瓦斯,0
瓦斯鋼瓶,0
瓦斯爐,1
夭然瓦斯管道,0
瓦斯表,0
建築廢棄物,0
抽風機,0
瑕疵品,0
不實廣告,0
零碼,1
中盤商/中盤,1
不二價,0
保存期限,8
保固,7
網路購物,1
自動販賣機,1
連身裙,3
褲裙,0
蝴蝶䄂,0
衛生褲,0
衛生衣,0
熱褲,1
楔型鞋,0
綠花椰菜,2
太白粉,5
鳳梨,3
芭樂,1
柳橙,1
羊大骨,0
鮭魚,2
鮪魚,3
蚵仔,0
數位電視,1
錄影機,0
數位相機,3
衛生棉,2
衛生套/保險套,0
原子筆,2
OK繃,0
三温暖,1
