word,count
影本/複印品,0
陸胞證,0
等待線,0
空服人員,0
機場巴士,1
空中巴士,0
電聯車/電車組,0
平快車,0
鐵路警察,0
路警,0
磁浮列車,0
旅客資訊中心,0
月臺,0
月臺票,0
捷運,6
月臺門,0
轉運站,0
巴士轉運站,0
大衆運輸,0
公車,0
車掌,0
博愛座,0
交流道,0
平交道,0
圓環,4
交通錐,0
紐澤西護欄,0
尖峰畤刻,0
計程車,0
搭計程車,0
起跳價,0
交通車,0
箱型車,0
義警,0
客運汽車,0
家庭車,13
白牌車,0
露營車,1
聯結车,0
腳踏車,0
越野車,7
機車,74
速可達,0
行車距離,0
交通堵塞,72
追撞,0
酒測器,0
駕訓班,0
違規記點,0
罰鍰,0
後車廂,0
後照鏡,0
邊燈,0
後車燈,0
方向燈,0
入擋,0
退擋,0
自動排擋,0
手動排擋,0
廢氣,0
觀光局,0
觀光勝地,0
徒步區,0
共乘,0
協力車,0
𣘗𡑔絰理,0
住商大樓,0
樓中樓,0
門眼/防盗眼,0
房仲業,0
液化瓦斯,0
瓦斯鋼瓶,0
瓦斯爐,0
夭然瓦斯管道,0
瓦斯表,0
建築廢棄物,0
抽風機,0
瑕疵品,0
不實廣告,0
零碼,0
中盤商/中盤,0
不二價,0
保存期限,0
保固,0
網路購物,0
自動販賣機,0
連身裙,0
褲裙,0
蝴蝶䄂,0
衛生褲,0
衛生衣,0
熱褲,0
楔型鞋,0
綠花椰菜,0
太白粉,0
鳳梨,0
芭樂,0
柳橙,0
羊大骨,0
鮭魚,174
鮪魚,0
蚵仔,0
數位電視,0
錄影機,0
數位相機,0
衛生棉,0
衛生套/保險套,0
原子筆,0
OK繃,0
三温暖,0
