word,count
影本/複印品,1
陸胞證,4
等待線,0
空服人員,4
機場巴士,60
空中巴士,393
電聯車/電車組,60
平快車,3
鐵路警察,12
路警,2
磁浮列車,18
旅客資訊中心,0
月臺,13
月臺票,0
捷運,284
月臺門,0
轉運站,61
巴士轉運站,0
大衆運輸,0
公車,478
車掌,2
博愛座,7
交流道,675
平交道,7
圓環,17
交通錐,3
紐澤西護欄,4
尖峰畤刻,0
計程車,197
搭計程車,0
起跳價,0
交通車,0
箱型車,0
義警,2
客運汽車,0
家庭車,0
白牌車,0
露營車,2
聯結车,0
腳踏車,15
越野車,21
機車,106
速可達,0
行車距離,0
交通堵塞,82
追撞,0
酒測器,0
駕訓班,13
違規記點,0
罰鍰,0
後車廂,0
後照鏡,4
邊燈,0
後車燈,0
方向燈,0
入擋,0
退擋,0
自動排擋,0
手動排擋,0
廢氣,0
觀光局,25
觀光勝地,0
徒步區,1
共乘,1
協力車,0
𣘗𡑔絰理,0
住商大樓,0
樓中樓,0
門眼/防盗眼,0
房仲業,3
液化瓦斯,0
瓦斯鋼瓶,0
瓦斯爐,1
夭然瓦斯管道,0
瓦斯表,0
建築廢棄物,0
抽風機,0
瑕疵品,3
不實廣告,7
零碼,0
中盤商/中盤,20
不二價,1
保存期限,4
保固,0
網路購物,1
自動販賣機,10
連身裙,1
褲裙,0
蝴蝶䄂,0
衛生褲,0
衛生衣,1
熱褲,0
楔型鞋,0
綠花椰菜,8
太白粉,4
鳳梨,28
芭樂,16
柳橙,7
羊大骨,0
鮭魚,18
鮪魚,13
蚵仔,3
數位電視,123
錄影機,19
數位相機,49
衛生棉,12
衛生套/保險套,23
原子筆,18
OK繃,5
三温暖,1
