word,count
影本/複印品,23
陸胞證,0
等待線,0
空服人員,7
機場巴士,41
空中巴士,29
電聯車/電車組,2
平快車,0
鐵路警察,2
路警,0
磁浮列車,3
旅客資訊中心,0
月臺,2
月臺票,0
捷運,691
月臺門,0
轉運站,11
巴士轉運站,0
大衆運輸,0
公車,367
車掌,1
博愛座,11
交流道,137
平交道,11
圓環,34
交通錐,5
紐澤西護欄,2
尖峰畤刻,0
計程車,302
搭計程車,8
起跳價,3
交通車,23
箱型車,17
義警,3
客運汽車,0
家庭車,3
白牌車,12
露營車,62
聯結车,0
腳踏車,697
越野車,57
機車,1479
速可達,5
行車距離,1
交通堵塞,4
追撞,6
酒測器,5
駕訓班,55
違規記點,0
罰鍰,23
後車廂,7
後照鏡,53
邊燈,3
後車燈,1
方向燈,38
入擋,0
退擋,0
自動排擋,0
手動排擋,0
廢氣,8
觀光局,95
觀光勝地,38
徒步區,8
共乘,21
協力車,9
𣘗𡑔絰理,0
住商大樓,1
樓中樓,127
門眼/防盗眼,4
房仲業,18
液化瓦斯,174
瓦斯鋼瓶,0
瓦斯爐,333
夭然瓦斯管道,0
瓦斯表,2
建築廢棄物,0
抽風機,51
瑕疵品,9
不實廣告,0
零碼,10
中盤商/中盤,10
不二價,99
保存期限,1100
保固,1137
網路購物,22661
自動販賣機,140
連身裙,395
褲裙,39
蝴蝶䄂,0
衛生褲,9
衛生衣,43
熱褲,24
楔型鞋,69
綠花椰菜,13
太白粉,102
鳳梨,277
芭樂,135
柳橙,92
羊大骨,2
鮭魚,398
鮪魚,298
蚵仔,32
數位電視,230
錄影機,29
數位相機,1315
衛生棉,237
衛生套/保險套,284
原子筆,228
OK繃,13
三温暖,0
