gt,qwen,baichuan2,chatglm2,breeze,taiwan-llm,ds,gpt4o,gpt4,gpt3.5,llama3-70b,llama3-8b
复印件,"15,0,0","0,0,15","11,0,4","15,0,0","0,0,15","15,0,0","15,0,0","15,0,0","0,15,0","5,0,10","0,0,15"
通行证,"0,0,15","0,0,15","0,0,15","0,0,15","0,0,15","9,0,6","0,0,15","0,0,15","0,0,15","8,0,7","6,0,9"
一米线/一米等待线,"15,0,0","0,0,15","0,0,15","0,0,15","0,0,15","15,0,0","15,0,0","0,0,15","0,0,15","11,0,4","1,0,14"
空乘人员,"15,0,0","15,0,0","15,0,0","15,0,0","15,0,0","11,0,4","15,0,0","15,0,0","15,0,0","1,0,14","7,0,8"
机场大巴,"0,0,15","0,0,15","0,0,15","0,0,15","0,0,15","0,12,3","3,12,0","0,15,0","0,15,0","4,1,10","4,2,9"
空中客车,"15,0,0","15,0,0","15,0,0","15,0,0","15,0,0","15,0,0","15,0,0","15,0,0","15,0,0","2,0,13","6,0,9"
动车,"0,0,15","0,0,15","0,0,15","0,0,15","0,0,15","4,0,11","0,0,15","0,0,15","0,0,15","0,0,15","1,0,14"
普快/普通快速列车,"0,0,15","0,0,15","0,0,15","0,0,15","0,0,15","13,0,2","0,0,15","0,0,15","0,0,15","3,0,12","0,0,15"
乘警,"15,0,0","0,0,15","0,0,15","0,15,0","0,0,15","14,1,0","15,0,0","0,15,0","0,0,15","2,3,10","2,5,8"
铁警,"0,0,15","0,15,0","0,0,15","0,0,15","0,0,15","13,2,0","15,0,0","15,0,0","15,0,0","8,5,2","0,14,1"
磁悬浮列车,"15,0,0","15,0,0","0,0,15","0,0,15","0,0,15","14,1,0","15,0,0","15,0,0","15,0,0","2,8,5","8,2,5"
旅客信息中心,"0,0,15","0,0,15","0,0,15","0,0,15","0,0,15","2,0,13","0,0,15","0,0,15","0,0,15","0,0,15","0,0,15"
站台,"0,0,15","0,0,15","0,0,15","0,0,15","12,0,3","13,1,1","15,0,0","15,0,0","0,0,15","6,1,8","11,0,4"
站台票,"15,0,0","15,0,0","0,0,15","0,0,15","0,0,15","15,0,0","15,0,0","15,0,0","0,15,0","4,0,11","5,0,10"
地铁,"15,0,0","15,0,0","15,0,0","15,0,0","15,0,0","15,0,0","15,0,0","15,0,0","15,0,0","7,0,8","6,0,9"
屏蔽门,"10,0,5","0,0,15","15,0,0","15,0,0","0,0,15","13,0,2","15,0,0","15,0,0","0,0,15","6,0,9","6,0,9"
中转站,"15,0,0","15,0,0","7,1,7","0,15,0","0,0,15","14,0,1","15,0,0","15,0,0","15,0,0","12,0,3","4,0,11"
公交枢纽站,"0,0,15","0,0,15","0,0,15","15,0,0","0,0,15","4,0,11","0,0,15","0,0,15","0,0,15","2,0,13","0,0,15"
公共交通,"15,0,0","15,0,0","0,0,15","0,0,15","15,0,0","15,0,0","15,0,0","15,0,0","15,0,0","0,0,15","0,0,15"
公交车,"15,0,0","0,0,15","0,0,15","0,0,15","4,0,11","10,0,5","15,0,0","15,0,0","15,0,0","1,0,14","6,0,9"
售票员,"15,0,0","15,0,0","15,0,0","15,0,0","15,0,0","15,0,0","15,0,0","15,0,0","15,0,0","10,0,5","9,0,6"
老幼病残孕专座,"0,0,15","0,0,15","0,0,15","0,0,15","0,0,15","0,0,15","0,0,15","0,0,15","0,0,15","1,0,14","3,0,12"
立交桥,"15,0,0","15,0,0","1,0,14","0,0,15","0,0,15","13,0,2","15,0,0","15,0,0","15,0,0","8,0,7","1,1,13"
道口,"0,0,15","0,0,15","0,0,15","0,0,15","0,0,15","9,6,0","15,0,0","0,10,5","0,0,15","1,0,14","1,0,14"
转盘,"10,0,5","0,0,15","8,0,7","0,0,15","0,0,15","1,0,14","0,0,15","0,0,15","0,0,15","7,0,8","5,0,10"
警示桶,"0,0,15","0,0,15","0,0,15","0,0,15","0,0,15","1,1,13","0,0,15","0,15,0","0,0,15","0,0,15","0,0,15"
隔离墩,"0,0,15","0,0,15","0,0,15","0,0,15","0,0,15","0,0,15","0,0,15","0,0,15","0,0,15","0,0,15","0,0,15"
高𡶶时刻,"0,0,15","0,0,15","0,0,15","0,0,15","0,0,15","1,0,14","0,0,15","0,0,15","0,0,15","2,0,13","4,0,11"
出租汽车,"15,0,0","15,0,0","0,0,15","0,0,15","0,0,15","15,0,0","15,0,0","15,0,0","15,0,0","4,0,11","1,0,14"
打的,"0,0,15","0,0,15","0,0,15","0,0,15","0,0,15","9,0,6","10,0,5","0,0,15","0,0,15","1,0,14","0,0,15"
起步价,"0,0,15","0,0,15","0,0,15","0,0,15","0,0,15","1,0,14","8,0,7","0,0,15","0,0,15","0,0,15","2,0,13"
班车,"0,0,15","0,0,15","0,0,15","0,0,15","0,0,15","15,0,0","15,0,0","15,0,0","15,0,0","5,0,10","1,0,14"
面包车,"0,0,15","0,0,15","0,0,15","0,0,15","0,0,15","8,0,7","0,0,15","4,0,11","0,0,15","2,0,13","1,0,14"
协警,"15,0,0","15,0,0","0,0,15","0,0,15","0,0,15","11,0,4","15,0,0","15,0,0","0,0,15","13,0,2","3,0,12"
长途汽车,"15,0,0","0,0,15","6,0,9","0,0,15","0,0,15","0,0,15","0,0,15","0,0,15","0,0,15","0,0,15","0,0,15"
私家车,"15,0,0","0,0,15","0,0,15","15,0,0","0,0,15","15,0,0","15,0,0","15,0,0","15,0,0","3,0,12","6,0,9"
黑车,"0,0,15","15,0,0","2,0,13","0,0,15","0,0,15","15,0,0","15,0,0","15,0,0","15,0,0","13,0,2","3,0,12"
房车,"0,0,15","15,0,0","0,0,15","0,0,15","0,1,14","15,0,0","15,0,0","15,0,0","15,0,0","10,0,5","5,0,10"
拖挂车,"0,0,15","0,0,15","0,0,15","0,0,15","0,0,15","3,0,12","0,0,15","0,0,15","0,0,15","3,0,12","1,0,14"
自行车,"15,0,0","15,0,0","10,0,5","15,0,0","0,0,15","14,1,0","15,0,0","15,0,0","15,0,0","8,0,7","10,1,4"
山地车,"15,0,0","0,0,15","2,0,13","0,0,15","15,0,0","15,0,0","15,0,0","15,0,0","15,0,0","11,0,4","6,3,6"
摩托,"0,0,15","0,0,15","0,0,15","7,0,8","5,0,10","10,0,5","11,0,4","7,0,8","0,0,15","4,0,11","6,0,9"
踏板摩托车,"0,0,15","0,0,15","0,0,15","0,0,15","0,0,15","1,0,14","0,0,15","0,0,15","0,0,15","6,0,9","0,0,15"
车距,"15,0,0","15,0,0","7,0,8","15,0,0","0,0,15","15,0,0","15,0,0","15,0,0","15,0,0","1,0,14","5,0,10"
交通拥堵,"9,0,6","0,0,15","15,0,0","0,0,15","15,0,0","12,0,3","0,0,15","1,14,0","0,0,15","1,0,14","5,3,7"
追尾,"15,0,0","0,0,15","0,0,15","0,0,15","8,0,7","15,0,0","15,0,0","15,0,0","0,0,15","5,1,9","2,0,13"
酒精测试仪,"0,0,15","0,0,15","0,0,15","0,0,15","0,0,15","12,0,3","15,0,0","15,0,0","0,0,15","2,0,13","6,0,9"
驾校,"15,0,0","15,0,0","3,0,12","0,15,0","15,0,0","15,0,0","15,0,0","15,0,0","15,0,0","12,0,3","5,0,10"
违规记分,"0,0,15","0,0,15","0,0,15","0,0,15","0,0,15","2,0,13","0,0,15","0,0,15","0,0,15","3,0,12","0,0,15"
罚款,"15,0,0","15,0,0","4,0,11","15,0,0","15,0,0","15,0,0","15,0,0","15,0,0","15,0,0","6,0,9","10,0,5"
后备箱,"15,0,0","15,0,0","0,0,15","0,0,15","0,0,15","10,0,5","15,0,0","0,0,15","0,0,15","4,0,11","2,0,13"
反视镜,"15,0,0","15,0,0","0,0,15","15,0,0","15,0,0","1,0,14","15,0,0","15,0,0","15,0,0","5,0,10","6,2,7"
示廓灯,"0,0,15","0,0,15","0,0,15","0,0,15","0,0,15","14,0,1","15,0,0","15,0,0","0,0,15","0,0,15","1,0,14"
后位灯,"0,0,15","0,0,15","2,0,13","0,0,15","0,0,15","2,0,13","0,0,15","0,0,15","0,0,15","2,0,13","3,0,12"
转向灯,"15,0,0","15,0,0","1,0,14","0,0,15","1,14,0","15,0,0","15,0,0","15,0,0","15,0,0","5,0,10","2,1,12"
挂挡,"2,0,13","0,0,15","0,0,15","0,0,15","0,0,15","10,0,5","0,0,15","1,0,14","5,0,10","1,0,14","0,0,15"
减挡,"15,0,0","0,0,15","0,0,15","0,0,15","0,0,15","13,0,2","15,0,0","15,0,0","15,0,0","5,0,10","5,0,10"
自动挡,"0,0,15","0,0,15","0,0,15","0,0,15","0,0,15","4,0,11","0,0,15","0,0,15","0,0,15","5,0,10","6,0,9"
手动挡,"15,0,0","15,0,0","0,0,15","0,0,15","0,0,15","6,0,9","15,0,0","15,0,0","0,0,15","0,0,15","8,0,7"
尾气,"15,0,0","15,0,0","0,15,0","15,0,0","0,0,15","15,0,0","15,0,0","15,0,0","15,0,0","2,9,4","0,15,0"
旅游局,"15,0,0","15,0,0","0,0,15","15,0,0","15,0,0","15,0,0","15,0,0","15,0,0","15,0,0","5,0,10","3,0,12"
旅游胜地,"0,0,15","15,0,0","11,0,4","0,0,15","0,0,15","1,0,14","0,0,15","0,0,15","0,0,15","1,0,14","1,0,14"
步行街,"0,0,15","0,0,15","0,0,15","0,0,15","0,0,15","1,0,14","8,0,7","15,0,0","15,0,0","1,0,14","6,0,9"
拼车,"15,0,0","15,0,0","2,2,11","0,15,0","0,14,1","15,0,0","15,0,0","15,0,0","15,0,0","6,0,9","3,7,5"
双人自行车,"15,0,0","15,0,0","1,0,14","0,0,15","0,0,15","3,11,1","15,0,0","15,0,0","15,0,0","12,0,3","6,0,9"
大堂经理,"13,0,2","0,0,15","0,0,15","0,0,15","0,0,15","4,0,11","12,0,3","0,0,15","0,0,15","1,0,14","2,0,13"
商住楼,"15,0,0","15,0,0","15,0,0","0,0,15","0,0,15","15,0,0","15,0,0","0,0,15","4,0,11","2,0,13","1,0,14"
复式楼,"0,0,15","0,0,15","0,0,15","0,0,15","0,0,15","10,1,4","0,0,15","9,0,6","15,0,0","5,0,10","4,0,11"
猫眼/门镜,"15,0,0","0,0,15","3,0,12","0,0,15","0,0,15","15,0,0","15,0,0","15,0,0","4,0,11","4,0,11","3,0,12"
房屋中介,"0,0,15","0,0,15","12,0,3","0,0,15","10,0,5","6,0,9","0,0,15","0,0,15","0,0,15","5,0,10","5,0,10"
液化气,"15,0,0","0,0,15","1,0,14","0,0,15","0,0,15","15,0,0","0,0,15","0,0,15","9,0,6","4,0,11","2,0,13"
液化气罐,"0,0,15","0,0,15","0,0,15","0,0,15","15,0,0","0,0,15","0,0,15","0,0,15","0,0,15","1,0,14","2,0,13"
煤气灶,"15,0,0","0,0,15","0,0,15","0,0,15","6,0,9","14,0,1","15,0,0","15,0,0","15,0,0","3,0,12","3,0,12"
燃气管,"0,0,15","0,0,15","0,0,15","15,0,0","0,0,15","14,0,1","0,0,15","0,0,15","0,0,15","0,0,15","2,0,13"
燃气表,"15,0,0","15,0,0","0,0,15","15,0,0","14,0,1","14,0,1","15,0,0","15,0,0","15,0,0","3,0,12","1,0,14"
建筑垃圾,"15,0,0","0,0,15","13,0,2","15,0,0","13,0,2","14,1,0","15,0,0","15,0,0","0,0,15","7,0,8","2,0,13"
排风扇,"0,0,15","0,0,15","0,0,15","0,0,15","0,0,15","4,0,11","12,0,3","15,0,0","0,0,15","3,0,12","2,0,13"
残品,"0,0,15","0,0,15","0,0,15","0,0,15","0,0,15","2,0,13","0,0,15","0,0,15","0,0,15","2,0,13","2,0,13"
虚假广告,"15,0,0","0,0,15","0,0,15","0,0,15","2,0,13","15,0,0","15,0,0","15,0,0","15,0,0","8,0,7","4,0,11"
断码货,"0,0,15","0,0,15","0,0,15","0,0,15","0,0,15","2,0,13","0,0,15","0,0,15","0,0,15","1,0,14","4,0,11"
中间商,"15,0,0","0,0,15","0,0,15","0,0,15","15,0,0","12,0,3","15,0,0","15,0,0","15,0,0","9,0,6","1,0,14"
一口价,"0,0,15","0,0,15","0,0,15","0,0,15","0,0,15","6,9,0","0,0,15","0,0,15","0,0,15","0,0,15","0,0,15"
保质期,"15,0,0","15,0,0","15,0,0","0,0,15","15,0,0","15,0,0","15,0,0","15,0,0","15,0,0","4,0,11","2,1,12"
保修,"0,0,15","15,0,0","0,0,15","15,0,0","15,0,0","15,0,0","15,0,0","15,0,0","15,0,0","10,0,5","5,0,10"
