gt,qwen,baichuan2,chatglm2,breeze,taiwan-llm,ds,gpt4o,gpt4,gpt3.5,llama3-70b,llama3-8b
影本/複印品,"0,15,0","0,15,0","0,0,15","0,0,15","0,0,15","1,14,0","0,10,5","0,15,0","10,0,5","0,0,15","5,2,8"
陸胞證,"0,0,15","15,0,0","0,4,11","15,0,0","3,0,12","8,3,4","0,0,15","0,0,15","15,0,0","1,0,14","13,0,2"
等待線,"0,15,0","0,0,15","0,0,15","0,0,15","0,0,15","0,15,0","0,0,15","0,0,15","0,0,15","0,0,15","0,0,15"
空服人員,"0,15,0","0,15,0","15,0,0","15,0,0","6,9,0","6,6,3","15,0,0","15,0,0","15,0,0","10,0,5","10,0,5"
機場巴士,"0,0,15","0,0,15","0,0,15","0,0,15","0,0,15","15,0,0","15,0,0","15,0,0","0,0,15","5,0,10","1,0,14"
空中巴士,"15,0,0","0,15,0","6,9,0","15,0,0","0,15,0","8,7,0","15,0,0","15,0,0","5,10,0","5,0,10","3,0,12"
電聯車/電車組,"0,0,15","0,0,15","0,0,15","0,0,15","0,0,15","5,0,10","0,0,15","0,0,15","0,0,15","0,0,15","1,0,14"
平快車,"0,0,15","0,0,15","0,0,15","0,0,15","0,0,15","6,4,5","0,11,4","0,0,15","0,0,15","0,0,15","0,0,15"
鐵路警察,"0,15,0","0,0,15","0,0,15","0,15,0","0,0,15","0,15,0","5,10,0","0,5,10","0,0,15","1,6,8","2,2,11"
路警,"0,15,0","0,15,0","0,0,15","0,15,0","0,0,15","0,15,0","0,15,0","0,15,0","0,15,0","0,15,0","0,5,10"
磁浮列車,"0,15,0","0,15,0","3,3,9","15,0,0","0,15,0","10,5,0","15,0,0","15,0,0","15,0,0","7,0,8","3,0,12"
旅客資訊中心,"0,0,15","0,0,15","0,0,15","0,0,15","0,0,15","2,0,13","0,0,15","0,0,15","0,0,15","1,0,14","1,0,14"
月臺,"0,15,0","0,0,15","0,0,15","0,0,15","0,2,13","3,11,1","1,14,0","1,13,1","0,0,15","0,15,0","0,10,5"
月臺票,"0,8,7","15,0,0","14,0,1","0,0,15","0,0,15","0,15,0","15,0,0","6,9,0","15,0,0","1,2,12","2,5,8"
捷運,"0,15,0","0,15,0","0,15,0","0,0,15","0,15,0","0,14,1","0,15,0","0,15,0","0,15,0","2,6,7","1,4,10"
月臺門,"0,15,0","0,15,0","0,5,10","0,0,15","4,0,11","0,14,1","0,0,15","0,3,12","0,15,0","1,5,9","1,0,14"
轉運站,"0,15,0","0,15,0","1,0,14","15,0,0","0,13,2","0,15,0","0,15,0","15,0,0","15,0,0","0,12,3","1,7,7"
巴士轉運站,"0,15,0","0,0,15","0,0,15","0,0,15","0,0,15","0,2,13","0,0,15","0,0,15","0,0,15","0,0,15","0,0,15"
大衆運輸,"0,15,0","0,15,0","0,15,0","15,0,0","0,15,0","0,15,0","0,15,0","0,15,0","0,15,0","2,0,13","0,2,13"
公車,"15,0,0","4,0,11","2,0,13","15,0,0","15,0,0","4,8,3","15,0,0","15,0,0","15,0,0","1,0,14","6,0,9"
車掌,"0,15,0","0,15,0","0,15,0","0,15,0","0,15,0","0,15,0","0,15,0","0,15,0","0,15,0","0,14,1","0,8,7"
博愛座,"0,0,15","0,0,15","0,0,15","0,0,15","0,0,15","4,0,11","15,0,0","0,0,15","0,0,15","0,0,15","0,0,15"
交流道,"0,15,0","0,15,0","0,0,15","0,0,15","0,0,15","0,14,1","0,15,0","0,15,0","0,15,0","0,1,14","0,1,14"
平交道,"0,0,15","0,0,15","0,0,15","0,0,15","0,0,15","14,1,0","15,0,0","15,0,0","0,15,0","1,0,14","0,0,15"
圓環,"0,0,15","15,0,0","7,0,8","0,0,15","0,0,15","12,0,3","15,0,0","0,0,15","8,0,7","1,0,14","3,0,12"
交通錐,"0,0,15","0,0,15","0,0,15","0,0,15","15,0,0","9,0,6","0,0,15","15,0,0","0,0,15","4,0,11","0,0,15"
紐澤西護欄,"0,0,15","0,0,15","0,0,15","0,0,15","0,0,15","0,0,15","0,0,15","0,0,15","0,0,15","0,0,15","0,0,15"
尖峰畤刻,"0,0,15","0,0,15","0,0,15","0,0,15","0,0,15","0,0,15","0,0,15","0,0,15","0,0,15","5,0,10","4,0,11"
計程車,"15,0,0","15,0,0","0,0,15","0,0,15","0,0,15","11,0,4","15,0,0","15,0,0","15,0,0","0,0,15","0,0,15"
搭計程車,"15,0,0","0,0,15","0,0,15","0,0,15","0,0,15","2,7,6","0,7,8","15,0,0","0,0,15","0,0,15","0,1,14"
起跳價,"0,0,15","0,0,15","0,0,15","0,0,15","0,0,15","0,0,15","0,0,15","0,0,15","0,0,15","1,1,13","2,0,13"
交通車,"0,0,15","0,0,15","0,0,15","0,0,15","0,0,15","0,15,0","0,15,0","0,8,7","0,8,7","0,7,8","2,1,12"
箱型車,"0,0,15","0,0,15","5,0,10","0,0,15","0,0,15","10,3,2","0,15,0","0,0,15","0,0,15","0,0,15","3,0,12"
義警,"0,0,15","0,0,15","0,0,15","15,0,0","0,0,15","3,0,12","0,6,9","15,0,0","0,0,15","4,0,11","0,0,15"
客運汽車,"0,0,15","0,0,15","0,0,15","0,0,15","0,0,15","1,0,14","0,0,15","0,0,15","0,0,15","0,0,15","0,0,15"
家庭車,"0,15,0","0,15,0","0,7,8","0,15,0","0,0,15","0,15,0","0,15,0","0,15,0","0,15,0","1,11,3","0,14,1"
白牌車,"0,0,15","0,15,0","0,0,15","0,0,15","0,0,15","0,15,0","0,15,0","0,15,0","0,15,0","0,13,2","0,1,14"
露營車,"0,0,15","0,15,0","0,2,13","15,0,0","15,0,0","0,15,0","0,15,0","15,0,0","0,15,0","3,7,5","3,0,12"
聯結车,"0,0,15","0,0,15","0,0,15","0,0,15","0,0,15","5,0,10","0,0,15","0,0,15","0,0,15","8,0,7","4,0,11"
腳踏車,"15,0,0","0,15,0","0,15,0","0,15,0","15,0,0","0,15,0","0,15,0","0,15,0","0,15,0","8,6,1","0,14,1"
越野車,"0,0,15","0,0,15","0,0,15","0,0,15","0,0,15","0,15,0","0,15,0","0,15,0","0,15,0","7,0,8","4,0,11"
機車,"0,8,7","0,15,0","0,0,15","0,15,0","0,6,9","0,15,0","0,15,0","0,15,0","9,6,0","7,6,2","1,12,2"
速可達,"0,0,15","0,0,15","0,14,1","0,0,15","0,0,15","0,0,15","0,0,15","0,0,15","0,0,15","0,0,15","1,0,14"
行車距離,"0,15,0","0,15,0","0,12,3","0,0,15","0,14,1","0,15,0","0,15,0","0,15,0","0,15,0","0,4,11","1,2,12"
交通堵塞,"0,0,15","14,0,1","0,15,0","0,0,15","5,10,0","7,4,4","12,0,3","15,0,0","15,0,0","4,0,11","2,6,7"
追撞,"0,15,0","0,0,15","0,1,14","0,15,0","0,15,0","0,15,0","0,15,0","0,15,0","0,15,0","3,5,7","1,0,14"
酒測器,"0,0,15","0,0,15","0,0,15","0,0,15","0,12,3","0,6,9","0,0,15","0,15,0","4,0,11","2,0,13","1,0,14"
