gt,response,label
等待線,"


A. 繩線
B. 營業線
C. 窗線
D. 櫃線

Answer: B. 營業線
Explanation: According to the definition, the correct answer is B. 營業線 (営業線), which means the line drawn on the floor one meter in front of the business window or counter.",2
機場巴士,"


A. Shuttle
B. Taxi
C. Bus
D. Limousine

Answer: A. Shuttle
Explanation: A shuttle is a type of transportation service that runs between two or more locations, typically on a fixed schedule, and is often used to transport passengers between a city and an airport. It is designed to provide a convenient and efficient way for passengers to get to and from the airport, and is often used by airlines and travel companies. In this context, the definition of a shuttle is ""a special bus used to pick up and drop off passengers between the city and the airport"".",2
空中巴士,"

A. Airbus
B. Boeing
C. Bombardier
D. Embraer

Answer: A. Airbus

Note: Airbus is a European multinational corporation that designs, manufactures, and delivers commercial aircraft, as well as military aircraft and helicopters. It is one of the largest and most successful aircraft manufacturers in the world. Boeing is an American multinational corporation that is also a major aircraft manufacturer, but it is not headquartered in Europe. Bombardier and Embraer are Canadian and Brazilian companies, respectively, that also manufacture aircraft, but they are not as large or well-known as Airbus.",2
電聯車/電車組,"


A. 高速鐵路
B. 城市軌道交通
C. 客運鐵路
D. 貨運鐵路

答案：A. 高速鐵路
解釋：高速鐵路是指時速在200~250公里的鐵路線路，是一種高速運輸的交通方式。其他選項並不正確。


2. 下面哪個詞是指一個城市的交通系統？
A. 高速鐵路
B. 城市軌道交通
C. 客運鐵路
D. 貨運鐵路

答案",1
平快車,"`

Answer: `無`

(No) - The definition is ""A train number without a letter to indicate the type"" which means it doesn't have a letter to indicate the type. So, the answer is `無` (No).",2
鐵路警察,"



Answer: 檢警



Explanation: 檢警 is the abbreviation for ""檢查警官"" in Chinese, which refers to the police officers responsible for maintaining law and order on public transportation, such as trains. They are also known as ""railway police"" or ""transportation police"".",2
路警,"



A. 警察局
B. 鐵路警察
C. 鐵路局
D. 鐵路警察局

Answer: D. 鐵路警察局

Explanation: According to the definition, the correct answer is D. 鐵路警察局, which means the railway police station. The definition states that the railway police is responsible for railway safety and security work, which is a specific responsibility of the railway police station. Therefore, the correct answer is D. 鐵路警察局.",2
磁浮列車,"》

Answer: 鐵道機車 (locomotive)。

（Note: This is a literal translation of the phrase, which is not commonly used in English. A more idiomatic translation would be ""maglev train"" or ""maglev"".）



#### 7. What is the meaning of ""磁浮"" in the context of transportation?

Answer: Magnetic levitation, or maglev. It refers to a method of propulsion and suspension where a vehicle is lifted and propelled by magnetic forces, rather than wheels or other physical contact with the track.",1
月臺,"（Hint：它是一個英文單字。）」

Answer: Platform

（註：Platform 在這裡指的是火車站、公交站等交通設施的上下車區域。）



**問題 2**

「請用一個詞回答，以下詞彙的定義為'一種用於描述事物的方式'的是什麼，請用一個詞回答？（Hint：它是一個英文單字。）」

Answer: Description

（註：Description 在這裡指的是用文字或其他方式來描述事物的方法。）



**",1
月臺票,"**

A. Non-transferable
B. Non-refundable
C. Non-redeemable
D. Non-boarding

**Answer: D. Non-boarding**



**Note:** Non-boarding ticket is a type of ticket that allows the holder to pick up passengers at the station platform but not to board the train. This is a specific type of ticket that is not transferable, refundable, or redeemable for a different ticket.",2
